filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error,publication_year
PMID 20525992 a_Summary_SoE.pdf,Arm C (MDX-010 Monotherapy),intervention,1.0,2.0,5.0,8.0,10.0,11.0,21.0,"Day 1, 22, 43, 64 (Treatment Phase); Day 78, 106, 134, 162, 190, 246, 330 (Follow-up Phase)",,2010.0
PMID 20525993 a_Summary_SoE.pdf,Nilotinib 300 mg BID,intervention,1.0,4.0,6.0,9.0,10.0,11.0,28.0,"Cycle 1: Days 1, 8, 15, 28. Cycles 2-6: Monthly (Days 56, 84, 112, 140, 168). Cycles 9, 12: Every 3 months (Days 252, 336).",,2010.0
PMID 20525993 a_Summary_SoE.pdf,Nilotinib 400 mg BID,intervention,1.0,4.0,6.0,9.0,10.0,11.0,28.0,"Cycle 1: Days 1, 8, 15, 28. Cycles 2-6: Monthly (Days 56, 84, 112, 140, 168). Cycles 9, 12: Every 3 months (Days 252, 336).",,2010.0
PMID 20525993 a_Summary_SoE.pdf,Imatinib 400 mg QD,control,1.0,4.0,6.0,9.0,10.0,11.0,28.0,"Cycle 1: Days 1, 8, 15, 28. Cycles 2-6: Monthly (Days 56, 84, 112, 140, 168). Cycles 9, 12: Every 3 months (Days 252, 336).",,2010.0
PMID 20525995 a_Summary_SoE.pdf,Dasatinib (100 mg daily),intervention,2.0,3.0,5.0,6.0,7.0,8.0,0.0,"Screening (2 days), Day 1, Weeks 2, 4, 6, then every 3 months (Months 3, 6, 9, 12).",,2010.0
PMID 20525995 a_Summary_SoE.pdf,Imatinib (400 mg daily),control,2.0,3.0,5.0,6.0,7.0,8.0,0.0,"Screening (2 days), Day 1, Weeks 2, 4, 6, then every 3 months (Months 3, 6, 9, 12).",,2010.0
PMID 20570559 CT a_Summary_SoE.pdf,Vandetanib (100 mg) + Docetaxel (75 mg/m²),intervention,1.0,2.0,5.0,9.0,13.0,18.0,21.0,"Day 1 of each 21-day cycle. Docetaxel IV for 6 cycles, then oral monotherapy.",,2010.0
PMID 20570559 CT a_Summary_SoE.pdf,Placebo + Docetaxel (75 mg/m²),control,1.0,2.0,5.0,9.0,13.0,18.0,21.0,"Day 1 of each 21-day cycle. Docetaxel IV for 6 cycles, then oral monotherapy.",,2010.0
PMID 20818862 a_Summary_SoE.pdf,Sipuleucel-T (APC8015),intervention,3.0,5.0,7.0,10.0,12.0,14.0,14.0,"Three treatment cycles at Weeks 0, 2, and 4. Each cycle requires a leukapheresis visit (approx. 2-3 days prior) and an infusion visit.",,2010.0
PMID 20818862 a_Summary_SoE.pdf,Placebo (APC-Placebo),control,3.0,5.0,7.0,10.0,12.0,14.0,14.0,"Identical to treatment arm; placebo subjects undergo the same leukapheresis and infusion schedule at Weeks 0, 2, and 4.",,2010.0
PMID 20826719 a_Summary_SoE.pdf,Voriconazole,intervention,3.0,0.0,0.0,0.0,0.0,0.0,0.0,No visit schedule or cycle structure is provided in the protocol summary.,,2010.0
PMID 20826719 a_Summary_SoE.pdf,Fluconazole,control,3.0,0.0,0.0,0.0,0.0,0.0,0.0,No visit schedule or cycle structure is provided in the protocol summary.,,2010.0
PMID 21121833 a_Summary_SoE.pdf,"Arm A (TAC: Docetaxel, Doxorubicin, Cyclophosphamide)",intervention,2.0,2.0,5.0,7.0,8.0,10.0,21.0,"1 day per cycle (Day 1) for 6 cycles, plus End of Treatment (EOT) and Follow-up (FU) visits.",,2010.0
PMID 21121833 a_Summary_SoE.pdf,"Arm B (FAC: 5-Fluorouracil, Doxorubicin, Cyclophosphamide)",control,2.0,2.0,5.0,7.0,8.0,10.0,21.0,"1 day per cycle (Day 1) for 6 cycles, plus End of Treatment (EOT) and Follow-up (FU) visits.",,2010.0
PMID 21282542 CT_Summary_SoE.pdf,Arm A (ZD6474 300 mg),intervention,2.0,4.0,6.0,9.0,12.0,16.0,28.0,"Day 1, 8, 15, 29, then every 4 weeks (28 days) thereafter.",,2011.0
PMID 21282542 CT_Summary_SoE.pdf,Arm B (Erlotinib 150 mg),control,2.0,4.0,6.0,9.0,12.0,16.0,28.0,"Day 1, 8, 15, 29, then every 4 weeks (28 days) thereafter.",,2011.0
PMID 21306237 a_Summary_SoE.pdf,Sunitinib (SU011248),intervention,2.0,3.0,5.0,8.0,11.0,15.0,28.0,"Month 1: Day 1, Day 15. Subsequent Months: Day 1. Imaging every 8 weeks after Week 9.",,2011.0
PMID 21306237 a_Summary_SoE.pdf,Placebo,control,2.0,3.0,5.0,8.0,11.0,15.0,28.0,"Month 1: Day 1, Day 15. Subsequent Months: Day 1. Imaging every 8 weeks after Week 9.",,2011.0
PMID 21306238 a_Summary_SoE.pdf,Arm 1 (Everolimus 10 mg/d + Best Supportive Care),intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,"C1D1, C1D15, then Day 1 of every subsequent 28-day cycle.",,2011.0
PMID 21306238 a_Summary_SoE.pdf,Arm 2 (Placebo + Best Supportive Care),control,1.0,3.0,5.0,8.0,11.0,15.0,28.0,"C1D1, C1D15, then Day 1 of every subsequent 28-day cycle.",,2011.0
PMID 21410393 a_Summary_SoE.pdf,Sirolimus (Rapamycin),intervention,2.0,1.0,2.0,3.0,4.0,5.0,91.0,"Screening (Days 1 and 2-7), Week 3, Month 3, Month 6, Month 9, Month 12.",,2011.0
PMID 21410393 a_Summary_SoE.pdf,Placebo,control,2.0,1.0,2.0,3.0,4.0,5.0,91.0,"Screening (Days 1 and 2-7), Week 3, Month 3, Month 6, Month 9, Month 12.",,2011.0
PMID 21612468 a_Summary_SoE.pdf,Arm A (Abiraterone Acetate + Prednisone),intervention,1.0,3.0,7.0,10.0,13.0,17.0,28.0,"Cycles 1-3: Day 1 and Day 15. Cycles 4+: Day 1 only. Imaging (CT/MRI/Bone Scan/ECG) occurs every 3 cycles (Cycles 1, 4, 7, 10, 13, etc.).",,2011.0
PMID 21612468 a_Summary_SoE.pdf,Arm B (Placebo + Prednisone),control,1.0,3.0,7.0,10.0,13.0,17.0,28.0,"Cycles 1-3: Day 1 and Day 15. Cycles 4+: Day 1 only. Imaging (CT/MRI/Bone Scan/ECG) occurs every 3 cycles (Cycles 1, 4, 7, 10, 13, etc.).",,2011.0
PMID 21621716 CT_Summary_SoE.pdf,Arm 2 (Tarceva + bevacizumab),intervention,2.0,2.0,5.0,9.0,13.0,18.0,21.0,"Day 0, then every 21 days (3-week cycles) for drug administration and assessments.",,2011.0
PMID 21621716 CT_Summary_SoE.pdf,Arm 1 (Tarceva + placebo),control,2.0,2.0,5.0,9.0,13.0,18.0,21.0,"Day 0, then every 21 days (3-week cycles) for placebo administration and assessments.",,2011.0
PMID 21631324 a_Summary_SoE.pdf,Arm 1 (gp100:209-217(210M) peptide vaccine + high-dose IL-2),intervention,2.0,16.0,33.0,67.0,98.0,103.0,21.0,"Each 21-day cycle involves 8 contact days: Day 0/21 (Assessment/Vaccine), Days 1-4 (IL-2 inpatient), and Days 5-7 (Monitoring/Labs inpatient).",,2011.0
PMID 21631324 a_Summary_SoE.pdf,Arm 2 (High-dose IL-2 alone),control,2.0,16.0,33.0,67.0,98.0,103.0,21.0,"Each 21-day cycle involves 8 contact days: Day 0/21 (Assessment), Days 1-4 (IL-2 inpatient), and Days 5-7 (Monitoring/Labs inpatient).",,2011.0
PMID 21639808 a_Summary_SoE.pdf,Arm A (RO5185426),intervention,2.0,3.0,6.0,10.0,14.0,19.0,21.0,"Day 1 of every 21-day cycle, with an additional lab visit on Day 8 of Cycle 1.",,2011.0
PMID 21639808 a_Summary_SoE.pdf,Arm B (Dacarbazine),control,2.0,3.0,6.0,10.0,14.0,19.0,21.0,"Day 1 of every 21-day cycle, with an additional lab visit on Day 8 of Cycle 1.",,2011.0
PMID 21639810 a_Summary_SoE.pdf,Arm A (Ipilimumab + Dacarbazine),intervention,2.0,2.0,8.0,13.0,15.0,17.0,21.0,"Induction Phase: Dosing every 3 weeks (Weeks 1, 4, 7, 10, 13, 16, 19, 22). Maintenance Phase: Dosing every 12 weeks (Weeks 24, 36, 48). Tumor assessments every 6 weeks during early maintenance (Weeks 30, 36, 42, 48).",,2011.0
PMID 21639810 a_Summary_SoE.pdf,Arm B (Placebo + Dacarbazine),control,2.0,2.0,8.0,13.0,15.0,17.0,21.0,"Induction Phase: Dosing every 3 weeks (Weeks 1, 4, 7, 10, 13, 16, 19, 22). Maintenance Phase: Dosing every 12 weeks (Weeks 24, 36, 48). Tumor assessments every 6 weeks during early maintenance (Weeks 30, 36, 42, 48).",,2011.0
PMID 21751904 a_Summary_SoE.pdf,Arm 1 (Neoadjuvant TAS + Radiation Therapy),intervention,2.0,1.0,24.0,40.0,41.0,42.0,0.0,2 monthly TAS visits followed by 37 daily RT fractions (5 days/week). Follow-up visits every 3 months in Year 1.,,2011.0
PMID 21751904 a_Summary_SoE.pdf,Arm 2 (Radiation Therapy Alone),control,2.0,22.0,38.0,39.0,40.0,41.0,0.0,37 daily RT fractions (5 days/week). Follow-up visits every 3 months in Year 1.,,2011.0
PMID 21962393 CT_Summary_SoE.pdf,Arm A (Auto-Allo Transplant),intervention,3.0,15.0,27.0,43.0,44.0,45.0,0.0,"Phase 1: Melphalan (D-2), PBSC (D0), G-CSF (D5-14). Phase 2: TBI (D-3), PBSC (D0, D1). Follow-up: Weekly for 14 weeks, then monthly.",,2011.0
PMID 21962393 CT_Summary_SoE.pdf,Arm B (Tandem Auto Transplant + Maintenance),intervention,3.0,15.0,26.0,42.0,46.0,51.0,28.0,"Phase 1 & 2: Melphalan (D-2), PBSC (D0), G-CSF (D5-14). Maintenance: Monthly visits for drug dispensing and monitoring.",,2011.0
PMID 21962393 CT_Summary_SoE.pdf,Arm B (Tandem Auto Transplant + Observation),control,3.0,15.0,26.0,34.0,35.0,36.0,0.0,"Phase 1 & 2: Melphalan (D-2), PBSC (D0), G-CSF (D5-14). Follow-up: Weekly for 4 weeks, then at Day 60, Day 100, 6mo, 9mo, 12mo.",,2011.0
PMID 21990397 a_Summary_SoE.pdf,Arm A (Chemotherapy + Bevacizumab),intervention,2.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle for drug administration and assessments.,,2011.0
PMID 21990397 a_Summary_SoE.pdf,Arm B (Chemotherapy + Placebo),control,2.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle for drug administration and assessments.,,2011.0
PMID 21991949 a_Summary_SoE.pdf,AC→T (Doxorubicin and Cyclophosphamide followed by Docetaxel),control,1.0,2.0,5.0,8.0,10.0,11.0,21.0,Cycles 1-8: Day 1 of each 21-day cycle. Follow-up visits at 3 and 6 months post-treatment.,,2011.0
PMID 21991949 a_Summary_SoE.pdf,AC→TH (Doxorubicin and Cyclophosphamide followed by Docetaxel and Trastuzumab),intervention,1.0,2.0,6.0,17.0,22.0,26.0,21.0,"Cycles 1-4: Day 1. Cycle 5: Days 1, 2, 8, 15. Cycles 6-8: Days 1, 8, 15. Maintenance: Every 3 weeks for 1 year.",,2011.0
PMID 21991949 a_Summary_SoE.pdf,"TCH (Docetaxel, Carboplatin and Trastuzumab)",intervention,1.0,6.0,14.0,22.0,26.0,31.0,21.0,"Cycle 1: Days 1, 2, 8, 15. Cycles 2-6: Days 1, 8, 15. Maintenance: Every 3 weeks for 1 year.",,2011.0
PMID 22025146 CT_Summary_SoE.pdf,Vandetanib 300 mg,intervention,1.0,1.0,2.0,3.0,4.0,5.0,84.0,"Day 1, then every 12 weeks (Day 85, 169, 253, 337)",,2012.0
PMID 22025146 CT_Summary_SoE.pdf,Placebo,control,1.0,1.0,2.0,3.0,4.0,5.0,84.0,"Day 1, then every 12 weeks (Day 85, 169, 253, 337)",,2012.0
PMID 22119496 a_Summary_SoE.pdf,Arm A (Everolimus + Sandostatin LAR),intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Day 1 of every 28-day cycle; Day 15 of Cycle 1 only.,,2011.0
PMID 22119496 a_Summary_SoE.pdf,Arm B (Placebo + Sandostatin LAR),control,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Day 1 of every 28-day cycle; Day 15 of Cycle 1 only.,,2011.0
PMID 22149875 a_Summary_SoE.pdf,Arm B (Pertuzumab + Trastuzumab + Docetaxel),intervention,2.0,5.0,10.0,16.0,20.0,25.0,21.0,"Cycle 1: Day 1, Day 2, Day 8; Cycles 2-6: Day 1, Day 8; Cycles 7+: Day 1",,2012.0
PMID 22149875 a_Summary_SoE.pdf,Arm A (Placebo + Trastuzumab + Docetaxel),control,2.0,5.0,10.0,16.0,20.0,25.0,21.0,"Cycle 1: Day 1, Day 2, Day 8; Cycles 2-6: Day 1, Day 8; Cycles 7+: Day 1",,2012.0
PMID 22149876 a_Summary_SoE.pdf,Arm A (Everolimus + Exemestane),intervention,1.0,3.0,5.0,7.0,9.0,11.0,42.0,"Day 1, Day 15, Day 28, then every 6 weeks (Day 42, 84, 126, 168, 210, 252, 294, 336)",,2012.0
PMID 22149876 a_Summary_SoE.pdf,Arm B (Placebo + Exemestane),control,1.0,3.0,5.0,7.0,9.0,11.0,42.0,"Day 1, Day 15, Day 28, then every 6 weeks (Day 42, 84, 126, 168, 210, 252, 294, 336)",,2012.0
PMID 22204724 a_Summary_SoE.pdf,Arm I (Standard Chemotherapy + Placebo),control,2.0,5.0,13.0,21.0,25.0,30.0,21.0,"Cycles 1-6: Day 1 (Treatment), Day 8 (Labs), Day 15 (Labs). Cycles 7-22: Day 1 (Treatment).",,2011.0
PMID 22204724 a_Summary_SoE.pdf,Arm II (Concurrent Bevacizumab),intervention,2.0,5.0,13.0,21.0,25.0,30.0,21.0,"Cycles 1-6: Day 1 (Treatment), Day 8 (Labs), Day 15 (Labs). Cycles 7-22: Day 1 (Treatment).",,2011.0
PMID 22204724 a_Summary_SoE.pdf,Arm III (Extended Bevacizumab),intervention,2.0,5.0,13.0,21.0,25.0,30.0,21.0,"Cycles 1-6: Day 1 (Treatment), Day 8 (Labs), Day 15 (Labs). Cycles 7-22: Day 1 (Treatment).",,2011.0
PMID 22257673 a_Summary_SoE.pdf,Lapatinib,intervention,1.0,2.0,8.0,12.0,17.0,21.0,21.0,"Pre-surgery: Weeks 1 & 4 (anti-HER2), Weeks 7-12 (weekly paclitaxel). Post-surgery: 3 cycles of FEC (q3w), followed by 34 weeks of anti-HER2 (q3w).",,2012.0
PMID 22257673 a_Summary_SoE.pdf,Trastuzumab,intervention,1.0,2.0,8.0,12.0,17.0,21.0,21.0,"Pre-surgery: Weeks 1 & 4 (anti-HER2), Weeks 7-12 (weekly paclitaxel). Post-surgery: 3 cycles of FEC (q3w), followed by 34 weeks of anti-HER2 (q3w).",,2012.0
PMID 22257673 a_Summary_SoE.pdf,Lapatinib + Trastuzumab,intervention,1.0,2.0,8.0,12.0,17.0,21.0,21.0,"Pre-surgery: Weeks 1 & 4 (anti-HER2), Weeks 7-12 (weekly paclitaxel). Post-surgery: 3 cycles of FEC (q3w), followed by 34 weeks of anti-HER2 (q3w).",,2012.0
PMID 22271472 a_Summary_SoE.pdf,"Arm A (Standard Treatment: Paclitaxel, Carboplatin, and Radiation)",control,2.0,2.0,33.0,34.0,35.0,36.0,21.0,Induction: Day 1 of 21-day cycles (2 cycles). Concurrent: Daily (5 days/week) for 6 weeks.,,2012.0
PMID 22271472 a_Summary_SoE.pdf,Arm B (Thalidomide + Standard Treatment),intervention,2.0,5.0,38.0,41.0,44.0,47.0,21.0,"Induction: Day 1 of 21-day cycles. Concurrent: Daily radiation (5 days/week) for 6 weeks. Maintenance: Weekly for first 2 months (escalation/pregnancy tests), then monthly.",,2012.0
PMID 22375970 a_Summary_SoE.pdf,INC424 (Ruxolitinib),intervention,2.0,4.0,7.0,10.0,12.0,14.0,28.0,"Day 1, Week 2 (Interim), Week 4 (Study Visit), Week 6 (Interim), Week 8 (Study Visit), Week 12 (Study Visit), then every 4-12 weeks.",,2012.0
PMID 22375970 a_Summary_SoE.pdf,Best Available Therapy (BAT),control,2.0,3.0,6.0,9.0,11.0,13.0,28.0,"Day 1, Week 2 (Interim), Week 4 (Study Visit), Week 6 (Interim), Week 8 (Study Visit), Week 12 (Study Visit), then every 4-12 weeks.",,2012.0
PMID 22375971 a_Summary_SoE.pdf,Arm A (INCB018424),intervention,2.0,4.0,7.0,10.0,12.0,15.0,28.0,"Day 1, Week 2 (lab), Pre-Week 4 (lab), Week 4, Week 6 (lab), Week 8, Week 12, Week 16, Week 20 (lab), Week 24, Week 30 (lab), Week 36, Week 42 (lab), Week 48, Follow-up.",,2012.0
PMID 22375971 a_Summary_SoE.pdf,Arm B (Placebo),control,2.0,4.0,7.0,10.0,12.0,15.0,28.0,"Day 1, Week 2 (lab), Pre-Week 4 (lab), Week 4, Week 6 (lab), Week 8, Week 12, Week 16, Week 20 (lab), Week 24, Week 30 (lab), Week 36, Week 42 (lab), Week 48, Follow-up.",,2012.0
PMID 22454414 a_Summary_SoE.pdf,"Arm A (Docetaxel, Prednisone, and Placebo)",control,3.0,2.0,6.0,11.0,17.0,23.0,21.0,Day 1 of each 21-day cycle for treatment and labs. Imaging (CT/MRI/Bone Scan) occurs every 3 cycles starting prior to Cycle 4.,,2012.0
PMID 22454414 a_Summary_SoE.pdf,"Arm B (Docetaxel, Prednisone, and Bevacizumab)",intervention,3.0,2.0,6.0,11.0,17.0,23.0,21.0,Day 1 of each 21-day cycle for treatment and labs. Imaging (CT/MRI/Bone Scan) occurs every 3 cycles starting prior to Cycle 4.,,2012.0
PMID 22508813 a_Summary_SoE.pdf,Arm A (Naproxen 500mg BID),intervention,1.0,2.0,2.0,2.0,2.0,2.0,21.0,"One screening/baseline visit (consent and questionnaires), one treatment visit (Day 2, 3, or 4 for pegfilgrastim administration and study drug distribution), and one follow-up visit (next chemotherapy cycle to return medication bottles).",,2012.0
PMID 22508813 a_Summary_SoE.pdf,Arm B (Matching Placebo),control,1.0,2.0,2.0,2.0,2.0,2.0,21.0,"One screening/baseline visit (consent and questionnaires), one treatment visit (Day 2, 3, or 4 for pegfilgrastim administration and study drug distribution), and one follow-up visit (next chemotherapy cycle to return medication bottles).",,2012.0
PMID 22529265 a_Summary_SoE.pdf,Arm A (Bevacizumab + Carboplatin + Gemcitabine),intervention,1.0,4.0,9.0,15.0,19.0,24.0,21.0,Chemotherapy Phase (Cycles 1-6): Days 1 and 8. Maintenance Phase (Cycles 7+): Day 1 only.,,2012.0
PMID 22529265 a_Summary_SoE.pdf,Arm B (Placebo + Carboplatin + Gemcitabine),control,1.0,4.0,9.0,15.0,19.0,24.0,21.0,Chemotherapy Phase (Cycles 1-6): Days 1 and 8. Maintenance Phase (Cycles 7+): Day 1 only.,,2012.0
PMID 22551107 a_Summary_SoE.pdf,"Arm A (EDP/M: Etoposide, Doxorubicin, Cisplatin + Mitotane)",intervention,1.0,9.0,25.0,42.0,44.0,46.0,28.0,"Days 1, 2, 3, 4 (chemo) and Days 12, 14 (nadir labs) per 28-day cycle.",,2012.0
PMID 22551107 a_Summary_SoE.pdf,Arm B (Sz/M: Streptozotocin + Mitotane),control,1.0,7.0,12.0,19.0,25.0,32.0,21.0,"Induction Days 1-5, then 1 day every 21 days for maintenance.",,2012.0
PMID 22564989 a_Summary_SoE.pdf,Arm A (Sunitinib + Erlotinib),intervention,1.0,3.0,7.0,10.0,13.0,17.0,28.0,Cycles 1-3: Day 1 and Day 15; Cycle 4+: Day 1 only.,,2012.0
PMID 22564989 a_Summary_SoE.pdf,Arm B (Placebo + Erlotinib),control,1.0,3.0,7.0,10.0,13.0,17.0,28.0,Cycles 1-3: Day 1 and Day 15; Cycle 4+: Day 1 only.,,2012.0
PMID 22571200 a_Summary_SoE.pdf,Arm A (MPR followed by Lenalidomide maintenance),intervention,1.0,5.0,9.0,15.0,21.0,25.0,28.0,"Induction (C1-C9): C1 has visits on D1, D8, D15, D22. C2-C9 have visits on D1 and D15. Maintenance (C10+): Visits on D1 only.",,2012.0
PMID 22571200 a_Summary_SoE.pdf,Arm B (MPR followed by Placebo maintenance),intervention,1.0,5.0,9.0,15.0,21.0,25.0,28.0,"Induction (C1-C9): C1 has visits on D1, D8, D15, D22. C2-C9 have visits on D1 and D15. Maintenance (C10+): Visits on D1 only.",,2012.0
PMID 22571200 a_Summary_SoE.pdf,Arm C (MP plus Placebo followed by Placebo maintenance),control,1.0,5.0,9.0,15.0,21.0,25.0,28.0,"Induction (C1-C9): C1 has visits on D1, D8, D15, D22. C2-C9 have visits on D1 and D15. Maintenance (C10+): Visits on D1 only.",,2012.0
PMID 22571201 a_Summary_SoE.pdf,Arm A (CC-5013 / Lenalidomide),intervention,28.0,4.0,7.0,13.0,16.0,19.0,28.0,"Weekly in Month 1, bi-weekly in Month 2, monthly thereafter. Dose escalation at Month 4 triggers 4 weekly visits.",,2012.0
PMID 22571201 a_Summary_SoE.pdf,Arm B (Placebo),control,28.0,4.0,7.0,13.0,16.0,19.0,28.0,"Weekly in Month 1, bi-weekly in Month 2, monthly thereafter. Dose escalation at Month 4 triggers 4 weekly visits.",,2012.0
PMID 22585697 a_Summary_SoE.pdf,Arm B (Clofarabine + Intermediate Dose Cytarabine),intervention,2.0,12.0,26.0,29.0,32.0,35.0,28.0,"Daily treatment for 5 days (Induction/Re-induction) or 4 days (Consolidation), followed by weekly visits for 3 weeks, then monthly follow-up.",,2012.0
PMID 22585697 a_Summary_SoE.pdf,Arm A (Placebo + Intermediate Dose Cytarabine),control,2.0,12.0,26.0,29.0,32.0,35.0,28.0,"Daily treatment for 5 days (Induction/Re-induction) or 4 days (Consolidation), followed by weekly visits for 3 weeks, then monthly follow-up.",,2012.0
PMID 22663011 a_Summary_SoE.pdf,Arm A (GSK1120212),intervention,1.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle.,,2012.0
PMID 22663011 a_Summary_SoE.pdf,Arm B (Chemotherapy - Dacarbazine or Paclitaxel),control,1.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle for IV infusion.,,2012.0
PMID 22689805 a_Summary_SoE.pdf,Arm B (Decitabine),intervention,1.0,8.0,23.0,41.0,60.0,79.0,28.0,Days 1-5 (Decitabine IV infusion) and Day 15 (Labs/Assessments) per 28-day cycle.,,2012.0
PMID 22689805 a_Summary_SoE.pdf,Arm A (Supportive Care or Low-dose Cytarabine),control,1.0,13.0,39.0,76.0,110.0,144.0,28.0,Days 1-10 (Cytarabine SC) and Day 15 (Labs/Assessments) per 28-day cycle.,,2012.0
PMID 22735384 a_Summary_SoE.pdf,Arm A (GSK2118436),intervention,1.0,3.0,6.0,10.0,14.0,20.0,21.0,"Day 1, Day 8, then every 3 weeks (Weeks 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51)",,2012.0
PMID 22735384 a_Summary_SoE.pdf,Arm B (DTIC),control,1.0,3.0,6.0,10.0,14.0,20.0,21.0,"Day 1, Day 8, then every 3 weeks (Weeks 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51)",,2012.0
PMID 22808955 a_Summary_SoE.pdf,Radical Prostatectomy,intervention,2.0,1.0,3.0,4.0,5.0,6.0,0.0,"Follow-up visits at 6 weeks, 3, 6, 9, and 12 months in the first year, then every 6 months.",,2012.0
PMID 22808955 a_Summary_SoE.pdf,Expectant Management (Watchful Waiting),control,2.0,0.0,2.0,3.0,4.0,5.0,0.0,"Follow-up visits at 6 weeks, 3, 6, 9, and 12 months in the first year, then every 6 months.",,2012.0
PMID 22851564 a_Summary_SoE.pdf,Arm A (Sorafenib + Gemcitabine + Cisplatin),intervention,2.0,5.0,13.0,21.0,25.0,30.0,21.0,"Chemotherapy Phase (Cycles 1-6): Days 1, 8, and 15 of each 21-day cycle. Maintenance Phase: Day 1 of each 21-day cycle.",,2012.0
PMID 22851564 a_Summary_SoE.pdf,Arm B (Placebo + Gemcitabine + Cisplatin),control,2.0,5.0,13.0,21.0,25.0,30.0,21.0,"Chemotherapy Phase (Cycles 1-6): Days 1, 8, and 15 of each 21-day cycle. Maintenance Phase: Day 1 of each 21-day cycle.",,2012.0
PMID 22853014 a_Summary_SoE.pdf,Arm 1 (Anastrozole alone),control,1.0,2.0,4.0,7.0,10.0,14.0,28.0,Day 1 of each 28-day cycle.,,2012.0
PMID 22853014 a_Summary_SoE.pdf,Arm 2 (Anastrozole and Fulvestrant),intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,"Cycle 1: Days 1, 14, 28; Subsequent cycles: Day 28 of each cycle.",,2012.0
PMID 22894553 a_Summary_SoE.pdf,Arm A (MDV3100),intervention,1.0,3.0,5.0,8.0,9.0,10.0,28.0,"Days 1, 8, 29, 57, 85, 113, 141, 169, then every 12 weeks (84 days).",,2012.0
PMID 22894553 a_Summary_SoE.pdf,Arm B (Placebo),control,1.0,3.0,5.0,8.0,9.0,10.0,28.0,"Days 1, 8, 29, 57, 85, 113, 141, 169, then every 12 weeks (84 days).",,2012.0
