filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error
PMID 35665782 CT_Summary_SoE.pdf,Arm A (Trastuzumab deruxtecan [T-DXd]),intervention,3,4,7,11,15,20,21,"Day 1 of every 21-day cycle, plus Day 8 and Day 15 in Cycle 1 only.",
PMID 35665782 CT_Summary_SoE.pdf,Arm B (Treatment of Physician's Choice [TPC]),control,3,4,10,19,28,40,28,"Days 1, 8, and 15 of every 28-day cycle (based on Gemcitabine/Nab-paclitaxel regimen).",
PMID 35704479 a_Summary_SoE.pdf,Active Monitoring Arm,control,2,1,1,2,2,3,180,Visits occur every 6 months (180 days) for follow-up assessments.,
PMID 35704479 a_Summary_SoE.pdf,Treatment Arm (TCA Modality),intervention,2,2,4,5,5,6,180,"Standard follow-up every 6 months. The TCA modality includes additional treatment visits at weeks 3, 6, and 9 during the first 6-month cycle.",
PMID 35728048 CT_Summary_SoE.pdf,Pevonedistat plus Azacitidine,intervention,2,11,30,56,80,106,28,"Cycle 1: Days 1, 2, 3, 4, 5, 8, 9 (Treatment), 15, 21 (Labs). Cycle 2+: Days 1, 2, 3, 4, 5, 8, 9 (Treatment), 22 (Bone Marrow).",
PMID 35728048 CT_Summary_SoE.pdf,Single-agent Azacitidine,control,2,11,30,56,80,106,28,"Cycle 1: Days 1, 2, 3, 4, 5, 8, 9 (Treatment), 15, 21 (Labs). Cycle 2+: Days 1, 2, 3, 4, 5, 8, 9 (Treatment), 22 (Bone Marrow).",
PMID 35759733CT_Summary_SoE.pdf,Regimen I (CT-2103),intervention,1,1,4,7,10,13,28,"Day 1 of each 28-day cycle for 12 cycles, plus an End of Treatment visit.",
PMID 35759733CT_Summary_SoE.pdf,Regimen II (Paclitaxel),intervention,1,1,4,7,10,13,28,"Day 1 of each 28-day cycle for 12 cycles, plus an End of Treatment visit.",
PMID 35759733CT_Summary_SoE.pdf,Regimen III (No treatment/Surveillance),control,1,1,3,6,9,12,28,Monthly surveillance visits during the first year.,
PMID 35763704 a_Summary_SoE.pdf,Arm A (Atezolizumab + ddAC-PacHP),intervention,2,3,9,19,23,28,14,"Neoadjuvant: Q2W for 4 cycles, then weekly for 12 weeks (Paclitaxel). Adjuvant: Q3W for 14 cycles.",
PMID 35763704 a_Summary_SoE.pdf,Arm B (Placebo + ddAC-PacHP),control,2,3,9,19,23,28,14,"Neoadjuvant: Q2W for 4 cycles, then weekly for 12 weeks (Paclitaxel). Adjuvant: Q3W for 14 cycles.",
PMID 35810754 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 35857290 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 35922251 CT_Summary_SoE.pdf,Arm A (Cemiplimab),intervention,1,2,7,13,18,24,42,"Cemiplimab is administered intravenously every 3 weeks (Day 1 and Day 22 of each 42-day cycle). Radiologic tumor assessments (CT/MRI) occur on Day 42 of cycles 1-4, 6, 8, 10, 12, 14, and 16.",
PMID 35922251 CT_Summary_SoE.pdf,Arm B (Investigator's Choice Chemotherapy),control,1,10,27,49,70,96,42,"The Investigator's Choice arm is represented by the Topotecan schedule (Days 1-5 and 22-26 of each 42-day cycle) as it represents the maximum healthcare contact intensity among the allowed options. Imaging (CT/MRI) occurs on Day 42 of cycles 1-4, 6, 8, 10, 12, 14, and 16.",
PMID 35947817 CT_Summary_SoE.pdf,DCC-2618 (Ripretinib),intervention,1,3,6,10,14,19,42,"Cycle 1: Days 1, 15, 29. Cycle 2 and onwards: Days 1 and 29.",
PMID 35947817 CT_Summary_SoE.pdf,Sunitinib,control,1,3,6,10,14,19,42,"Cycle 1: Days 1, 15, 29. Cycle 2 and onwards: Days 1 and 29.",
PMID 36070540 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 36099926 CT_Summary_SoE.pdf,Arm A (Atezolizumab),intervention,2,2,5,9,13,17,21,Day 1 of each 21-day cycle for 16 cycles.,
PMID 36099926 CT_Summary_SoE.pdf,Arm B (Placebo),control,2,2,5,9,13,17,21,Day 1 of each 21-day cycle for 16 cycles.,
PMID 36108662 CT_Summary_SoE.pdf,Arm A (Pembrolizumab),intervention,4,6,9,13,17,22,21,Infusions occur every 3 weeks (Day 1 of each 21-day cycle) for a total of 18 doses.,
PMID 36108662 CT_Summary_SoE.pdf,Arm B (Placebo),control,4,6,9,13,17,22,21,Infusions occur every 3 weeks (Day 1 of each 21-day cycle) for a total of 18 doses.,
PMID 36155117 CT_Summary_SoE.pdf,Arm A (Palbociclib + Letrozole),intervention,2,3,7,10,13,18,28,"Cycle 1: Days 1, 14, 21; Cycle 2: Days 1, 14, 21; Cycle 3+: Day 1 of every 28-day cycle.",
PMID 36155117 CT_Summary_SoE.pdf,Arm B (Placebo + Letrozole),control,2,3,7,10,13,18,28,"Cycle 1: Days 1, 14, 21; Cycle 2: Days 1, 14, 21; Cycle 3+: Day 1 of every 28-day cycle.",
PMID 36162037 a_Summary_SoE.pdf,Arm A (Nivolumab 240 mg + Ipilimumab 1 mg/kg),intervention,2,3,7,13,20,25,14,Every 2 weeks (Q2W) for Nivolumab and every 6 weeks (Q6W) for Ipilimumab.,
PMID 36162037 a_Summary_SoE.pdf,Arm B (Nivolumab 480 mg Monotherapy),control,2,3,7,13,20,25,14,Every 2 weeks (Q2W) to maintain the double-blind (active Nivolumab Q4W plus placebos on off-weeks).,
PMID 36265504 a_Summary_SoE.pdf,Arm A (Enzalutamide + Docetaxel + Prednisolone),intervention,5,7,10,14,16,17,21,"q3wk for 10 cycles, then q12wk",
PMID 36265504 a_Summary_SoE.pdf,Arm B (Placebo + Docetaxel + Prednisolone),control,5,7,10,14,16,17,21,"q3wk for 10 cycles, then q12wk",
PMID 36308441 CT_Summary_SoE.pdf,Arm A: PledOx (5 µmol/kg) + mFOLFOX6,intervention,1,3,8,14,15,16,14,"Day 1 of each 14-day cycle for 12 cycles, plus assessment visits at M3, M9, M12 and an EOT visit.",
PMID 36308441 CT_Summary_SoE.pdf,Arm B: Placebo + mFOLFOX6,control,1,3,8,14,15,16,14,"Day 1 of each 14-day cycle for 12 cycles, plus assessment visits at M3, M9, M12 and an EOT visit.",
PMID 36322844 a_Summary_SoE.pdf,Experimental Arm (Bv-AVEPC),intervention,2,8,22,38,39,40,21,"Days 1, 2, 3, and 8 of each 21-day cycle for chemotherapy infusions.",
PMID 36322844 a_Summary_SoE.pdf,Standard Arm (ABVE-PC),control,2,8,22,38,39,40,21,"Days 1, 2, 3, and 8 of each 21-day cycle for chemotherapy infusions.",
PMID 36327426 a_Summary_SoE.pdf,Arm 1 (Durvalumab + Tremelimumab + SoC Chemotherapy),intervention,2,4,9,12,15,19,21,"2 visits per cycle (Day 1, Day 8) for the first 4 cycles (21-day cycles); 1 visit per cycle (Day 1) for subsequent maintenance cycles (28-day cycles).",
PMID 36327426 a_Summary_SoE.pdf,Arm 2 (Durvalumab + SoC Chemotherapy),intervention,2,4,9,12,15,19,21,"2 visits per cycle (Day 1, Day 8) for the first 4 cycles (21-day cycles); 1 visit per cycle (Day 1) for subsequent maintenance cycles (28-day cycles).",
PMID 36327426 a_Summary_SoE.pdf,Arm 3 (SoC Chemotherapy Alone),control,2,4,9,12,15,19,21,"2 visits per cycle (Day 1, Day 8) for the first 4 cycles (21-day cycles); 1 visit per cycle (Day 1) for subsequent maintenance cycles (assumed 28-day cycles).",
PMID 36346687 CT_Summary_SoE.pdf,Arm A (Capecitabine),intervention,7,2,5,8,9,10,21,"Day 1 of each 21-day cycle for 8 cycles, followed by 3-monthly follow-up visits.",
PMID 36346687 CT_Summary_SoE.pdf,Arm B (Observation),control,7,0,1,2,3,4,,Follow-up visits every 3 months starting from randomization.,
PMID 36395435 b_Summary_SoE.pdf,Arm A (Zanubrutinib),intervention,2,2,4,7,10,14,28,Day 1 of every 28-day cycle.,
PMID 36395435 b_Summary_SoE.pdf,Arm B (Ibrutinib),control,2,2,4,7,10,14,28,Day 1 of every 28-day cycle.,
PMID 36455168 a_Summary_SoE.pdf,Pembrolizumab plus Best Supportive Care (BSC),intervention,2,2,5,9,13,18,21,Day 1 of each 3-week (21-day) cycle.,
PMID 36455168 a_Summary_SoE.pdf,Placebo plus Best Supportive Care (BSC),control,2,2,5,9,13,18,21,Day 1 of each 3-week (21-day) cycle.,
PMID 36473143 CT_Summary_SoE.pdf,Arm A (Nivolumab + Ipilimumab),intervention,2,3,7,13,20,27,42,"Nivolumab is administered every 2 weeks (Days 1, 15, and 29 of a 6-week cycle). Ipilimumab is administered every 6 weeks (Day 1 of a 6-week cycle).",
PMID 36473143 CT_Summary_SoE.pdf,Arm B (EXTREME regimen),control,2,5,13,26,39,53,21,"Cetuximab is administered weekly (Days 1, 8, and 15 of a 3-week cycle). Cisplatin/Carboplatin and 5-FU are administered every 3 weeks (Day 1 of a 3-week cycle).",
PMID 36503738 CT_Summary_SoE.pdf,Arm 1 (BBI-608 + FOLFIRI),intervention,1,5,9,15,22,29,14,Day 1 of each 14-day cycle. Arm 1 includes a 1-day in-person run-in visit (Run-in Day 1) to begin BBI-608 administration.,
PMID 36503738 CT_Summary_SoE.pdf,Arm 2 (FOLFIRI),control,1,4,8,14,21,28,14,Day 1 of each 14-day cycle.,
PMID 36521097 CT_Summary_SoE.pdf,Arm A (nab-Paclitaxel plus Gemcitabine),intervention,1,4,11,22,23,24,28,"Days 1, 8, and 15 of each 28-day cycle for 6 cycles.",
PMID 36521097 CT_Summary_SoE.pdf,Arm B (Gemcitabine alone),control,1,4,11,22,23,24,28,"Days 1, 8, and 15 of each 28-day cycle for 6 cycles.",
PMID 36535566 CT_Summary_SoE.pdf,Arm 1 (Pembrolizumab),intervention,1,5,13,17,21,26,21,"Day 1 of each 21-day cycle. Additionally, Days 8 and 15 are required for Cycles 1 through 4 for all subjects.",
PMID 36535566 CT_Summary_SoE.pdf,Arm 2 (Standard of Care - Gemcitabine),control,1,5,13,22,30,40,21,"Days 1 and 8 of each 21-day cycle for Gemcitabine. Additionally, Day 15 is required for Cycles 1 through 4.",
PMID 36541957 CT_Summary_SoE.pdf,Arm A (Ibrutinib + CIT followed by Ibrutinib Monotherapy),intervention,1,3,5,8,9,10,28,"Cycle 1: Day 1, Day 14. Cycles 2-3: Day 1. Monotherapy Cycles 1-3: Day 1. End of Treatment/Monotherapy visits and quarterly follow-up.",
PMID 36541957 CT_Summary_SoE.pdf,Arm B (CIT alone),control,1,3,5,6,7,8,28,"Cycle 1: Day 1, Day 14. Cycles 2-3: Day 1. End of Treatment visit and follow-up at 6, 9, and 12 months.",
PMID 36623230 a_Summary_SoE.pdf,Arm A (45 Gy BID 3 weeks + Chemo),control,2,19,30,41,42,43,21,Cycle 1: 15 days RT/Chemo. Cycles 2-4: 3 days Chemo + 1 day Lab. Restaging at C2 and C4.,
PMID 36623230 a_Summary_SoE.pdf,Arm B (70 Gy QD 7 weeks + Chemo),intervention,2,22,43,54,55,56,21,Cycle 1: 15 days RT. Cycle 2: 15 days RT. Cycle 3: 5 days RT + 1 day Lab. Cycle 4: 3 days Chemo + 1 day Lab.,
PMID 36623230 a_Summary_SoE.pdf,Arm C (61.2 Gy CB 5 weeks + Chemo),intervention,2,22,36,47,48,49,21,Cycle 1: 15 days RT. Cycle 2: 10 days RT. Cycles 3-4: 3 days Chemo + 1 day Lab.,
PMID 36669140 CT_Summary_SoE.pdf,Regimen A (Standard Chemotherapy),control,2,15,41,77,98,99,14,"VDC cycles (5 days: D1,2,8,12,14), IE cycles (8 days: D15-19,22,26,28)",
PMID 36669140 CT_Summary_SoE.pdf,Regimen B (Chemotherapy + Ganitumab),intervention,2,15,41,77,98,104,14,VDC/IE cycles same as Arm A; Maintenance phase adds 8 doses every 3 weeks,
PMID 36693773 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 36709073 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 36764316 a_Summary_SoE.pdf,AMG 510 (Sotorasib),intervention,1,3,7,14,20,27,21,"Cycle 1: Day 1 and Day 8; Subsequent cycles: Day 1. Imaging every 6 weeks (Weeks 7, 13, 19, 25, 31, 37, 43, 49).",
PMID 36764316 a_Summary_SoE.pdf,Docetaxel,control,1,2,6,13,19,26,21,"Day 1 of every 21-day cycle for infusion. Imaging every 6 weeks (Weeks 7, 13, 19, 25, 31, 37, 43, 49).",
PMID 36795891 a_Summary_SoE.pdf,Rucaparib,intervention,4,3,6,9,12,16,28,"Day 1, 15, 29, 43, 57, then every 28 days thereafter.",
PMID 36795891 a_Summary_SoE.pdf,AR-directed therapy (Abiraterone or Enzalutamide),control,4,3,6,9,12,16,28,"Day 1, 15, 29, 43, 57, then every 28 days thereafter.",
PMID 36795891 a_Summary_SoE.pdf,Docetaxel,control,4,3,7,13,17,21,21,Infusions every 3 weeks (max 10 cycles); Labs every 4 weeks; Imaging every 8 weeks.,
PMID 36952634 CT_Summary_SoE.pdf,Arm A (Niraparib + Abiraterone Acetate + Prednisone),intervention,2,5,9,12,15,18,28,"Cycle 1: Days 1, 8, 15, 22; Cycles 2-3: Days 1, 15; Cycles 4-12: Day 1; Cycles 13+: Day 1 every 2 cycles.",
PMID 36952634 CT_Summary_SoE.pdf,Arm B (Placebo + Abiraterone Acetate + Prednisone),control,2,5,9,12,15,18,28,"Cycle 1: Days 1, 8, 15, 22; Cycles 2-3: Days 1, 15; Cycles 4-12: Day 1; Cycles 13+: Day 1 every 2 cycles.",
PMID 36969338 a_Summary_SoE.pdf,Arm 1 (BBI-608 + nab-paclitaxel + gemcitabine),intervention,3,4,10,20,30,40,28,"Days 1, 8, and 15 of every 28-day cycle.",
PMID 36969338 a_Summary_SoE.pdf,Arm 2 (nab-paclitaxel + gemcitabine),control,2,4,10,20,30,40,28,"Days 1, 8, and 15 of every 28-day cycle.",
PMID 36996380 CT_Summary_SoE.pdf,,,,,,,,,,,Unknown failure
PMID 37069359 a_Summary_SoE.pdf,Arm A (BL-8040 + G-CSF),intervention,2,24,33,34,35,36,0,"Daily for mobilization (8 days), then conditioning/transplant, then daily until engraftment (~21 days), then follow-up visits at Day 30, 60, 100, 180, 270, 360 post-transplant.",
PMID 37069359 a_Summary_SoE.pdf,Arm B (Placebo + G-CSF),control,2,24,33,34,35,36,0,"Daily for mobilization (8 days), then conditioning/transplant, then daily until engraftment (~21 days), then follow-up visits at Day 30, 60, 100, 180, 270, 360 post-transplant.",
PMID 37071094 a_Summary_SoE.pdf,mFOLFOX6 + panitumumab,intervention,1,5,14,26,40,53,14,2 visits per 14-day cycle: Day 1 (treatment start) and Day 3 (pump removal).,
PMID 37071094 a_Summary_SoE.pdf,mFOLFOX6 + bevacizumab,control,1,5,14,26,40,53,14,2 visits per 14-day cycle: Day 1 (treatment start) and Day 3 (pump removal).,
PMID 37075781 a_Summary_SoE.pdf,Arm A (Pembrolizumab plus Gemcitabine and Cisplatin),intervention,2,4,9,18,26,36,21,2 visits per 21-day cycle (Day 1 and Day 8).,
PMID 37075781 a_Summary_SoE.pdf,Arm B (Placebo plus Gemcitabine and Cisplatin),control,2,4,9,18,26,36,21,2 visits per 21-day cycle (Day 1 and Day 8).,
PMID 37080222 a_Summary_SoE.pdf,Arm A (Tislelizumab + chemotherapy doublet),intervention,1,5,11,15,19,24,21,"Cycles 1-3: Days 1, 8, 15. Cycle 4+: Day 1 only.",
PMID 37080222 a_Summary_SoE.pdf,Arm B (Placebo + chemotherapy doublet),control,1,5,11,15,19,24,21,"Cycles 1-3: Days 1, 8, 15. Cycle 4+: Day 1 only.",
PMID 37080223 CT_Summary_SoE.pdf,Arm A (Standard Chemoradiation),control,2,20,34,35,36,37,7,5 days per week for 6 weeks (EBRT) followed by brachytherapy (approx. 3 days).,
PMID 37080223 CT_Summary_SoE.pdf,Arm B (Standard Chemoradiation + Adjuvant Chemotherapy),intervention,2,20,34,39,40,41,21,Standard chemoradiation (33 days) followed by 4 cycles of 3-weekly adjuvant chemotherapy (4 days).,
PMID 37086745 a_Summary_SoE.pdf,Arm A (Trastuzumab deruxtecan),intervention,3,4,7,11,15,20,21,"Cycle 1: Days 1, 8, 15; Subsequent cycles: Day 1 only.",
PMID 37086745 a_Summary_SoE.pdf,Arm B (Investigator's Choice: Trastuzumab/capecitabine or Lapatinib/capecitabine),control,3,4,7,11,15,20,21,"Cycle 1: Days 1, 8, 15; Subsequent cycles: Day 1 only.",
PMID 37104748 CT_Summary_SoE.pdf,Arm 1 (Dose-escalated RT alone),control,2,20,44,45,46,47,1,Daily RT (5 days/week) for 44 fractions (~8.8 weeks).,
PMID 37104748 CT_Summary_SoE.pdf,Arm 2 (Dose-escalated RT + short-term ADT),intervention,2,1,26,47,47,48,1,ADT starts Day 1; RT starts Week 8 (Day 57) for 44 fractions; Monthly ADT checks.,
PMID 37116523 a_Summary_SoE.pdf,Arm A (Quizartinib),intervention,2,29,43,60,64,68,28,"Induction (Inpatient stay for 28 days), Consolidation (7 visits per cycle: Days 1, 3, 5, 6, 13, 19, 28), Continuation (Cycle 1: 3 visits; Cycle 2: 2 visits; Cycle 3+: 1 visit).",
PMID 37116523 a_Summary_SoE.pdf,Arm B (Placebo),control,2,29,43,60,64,68,28,"Induction (Inpatient stay for 28 days), Consolidation (7 visits per cycle: Days 1, 3, 5, 6, 13, 19, 28), Continuation (Cycle 1: 3 visits; Cycle 2: 2 visits; Cycle 3+: 1 visit).",
PMID 37141294 CT_Summary_SoE.pdf,Pembrolizumab (MK-3475),intervention,1,2,5,9,13,18,21,Day 1 of every 3-week cycle (Q3W).,
PMID 37141294 CT_Summary_SoE.pdf,Docetaxel,control,1,2,5,9,13,18,21,Day 1 of every 3-week cycle (Q3W).,
PMID 37257422 CT_Summary_SoE.pdf,Arm A (Standard Steroids),control,2,3,6,16,26,36,28,"Chemoradiation Phase: Bi-weekly infusions (Weeks 1, 3, 5) and Week 7 lab visit. Adjuvant Phase: 28-day cycles with infusions on Day 1 and Day 15, and a lab visit on Day 22.",
PMID 37257422 CT_Summary_SoE.pdf,Arm B (Standard Steroids + Vasoconstrictor + Cold Compress),intervention,2,3,6,16,26,36,28,"Chemoradiation Phase: Bi-weekly infusions (Weeks 1, 3, 5) and Week 7 lab visit. Adjuvant Phase: 28-day cycles with infusions on Day 1 and Day 15, and a lab visit on Day 22.",
PMID 37257422 CT_Summary_SoE.pdf,Arm C (Enhanced Steroids + Vasoconstrictor + Cold Compress),intervention,2,3,6,16,26,36,28,"Chemoradiation Phase: Bi-weekly infusions (Weeks 1, 3, 5) and Week 7 lab visit. Adjuvant Phase: 28-day cycles with infusions on Day 1 and Day 15, and a lab visit on Day 22.",
PMID 37272516 a_Summary_SoE.pdf,Arm A (Vorasidenib),intervention,2,3,6,9,12,16,28,Day 1 of every 28-day cycle; Day 15 of Cycles 1 and 2 only.,
PMID 37272516 a_Summary_SoE.pdf,Arm B (Placebo),control,2,3,6,9,12,16,28,Day 1 of every 28-day cycle; Day 15 of Cycles 1 and 2 only.,
PMID 37276510 CT_Summary_SoE.pdf,Arm A (SGI-110 / Guadecitabine),intervention,2,10,27,45,60,76,28,"Days 1-5 (treatment), Days 8, 15, 22 (Cycles 1-2), Day 15 (Cycles 3-6). Only treatment days after Cycle 6.",
PMID 37276510 CT_Summary_SoE.pdf,Arm B (Treatment Choice - TC),control,2,14,41,78,108,139,28,"Days 1-10 (treatment), Days 15, 22 (Cycles 1-2), Day 15 (Cycles 3-6). Only treatment days after Cycle 6.",
PMID 37284847 CT_Summary_SoE.pdf,Group 1 (Olanzapine + Fosaprepitant/Aprepitant),intervention,1,4,4,4,4,4,6,"Day 1 of each 6-day cycle (C1D1, C2D1, C3D1, C4D1).",
PMID 37284847 CT_Summary_SoE.pdf,Group 2 (Olanzapine + Placebo),control,1,4,4,4,4,4,6,"Day 1 of each 6-day cycle (C1D1, C2D1, C3D1, C4D1).",
PMID 37285865 b_Summary_SoE.pdf,Arm A (Talazoparib + Enzalutamide),intervention,2,3,7,11,14,18,28,"Every 2 weeks through Week 17, every 4 weeks through Week 53.",
PMID 37285865 b_Summary_SoE.pdf,Arm B (Placebo + Enzalutamide),control,2,3,7,11,14,18,28,"Every 2 weeks through Week 17, every 4 weeks through Week 53.",
PMID 37290035 CT_Summary_SoE.pdf,Arm 1 (Pembrolizumab + Olaparib),intervention,1,2,5,9,13,18,21,Day 1 of each 21-day cycle (Q3W).,
PMID 37290035 CT_Summary_SoE.pdf,Arm 2 (Abiraterone Acetate or Enzalutamide),control,1,2,5,9,13,18,21,Day 1 of each 21-day cycle (Q3W).,
PMID 37290461 a_Summary_SoE.pdf,Arm A (Atezolizumab + Cabozantinib),intervention,2,2,5,9,13,18,21,Day 1 of each 21-day cycle.,
PMID 37290461 a_Summary_SoE.pdf,Arm B (Cabozantinib),control,2,2,5,9,13,18,21,Day 1 of each 21-day cycle.,
PMID 37315297 a_Summary_SoE.pdf,Arm 1 (EBRT + Brachytherapy),intervention,2,22,27,29,30,31,0,"Daily EBRT (5 days/week for 5 weeks), followed by Brachytherapy 2-4 weeks later. Post-implant visit at 3-5 weeks. Follow-up visits at 4, 6, 9, and 12 months.",
PMID 37315297 a_Summary_SoE.pdf,Arm 2 (Brachytherapy Alone),control,2,1,2,4,5,6,0,"Brachytherapy within 4 weeks of entry. Post-implant visit at 3-5 weeks. Follow-up visits at 4, 6, 9, and 12 months.",
PMID 37331369 CT_Summary_SoE.pdf,Arm A (Fruquintinib plus Best Supportive Care),intervention,2,3,7,10,13,17,28,Cycles 1-3: Day 1 and Day 21. Cycle 4 and beyond: Day 1 only.,
