filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error,publication_year
PMID 21991949 a_Summary_SoE.pdf,"TCH (Docetaxel, Carboplatin and Trastuzumab)",intervention,2.0,6.0,14.0,21.0,25.0,30.0,21.0,Weekly for chemo phase (6 cycles); Q3W for Herceptin monotherapy phase.,,2011.0
PMID 22025146 CT_Summary_SoE.pdf,Vandetanib 300 mg,intervention,1.0,3.0,5.0,6.0,7.0,8.0,84.0,"Screening, Day 1, Week 2, Week 4, Week 8, Week 12, and every 12 weeks thereafter.",,2012.0
PMID 22025146 CT_Summary_SoE.pdf,Placebo,control,1.0,3.0,5.0,6.0,7.0,8.0,84.0,"Screening, Day 1, Week 2, Week 4, Week 8, Week 12, and every 12 weeks thereafter.",,2012.0
PMID 22119496 a_Summary_SoE.pdf,Arm A (Everolimus + Sandostatin LAR),intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,"Screening (1 day), Cycle 1 Day 1, Cycle 1 Day 15, then Day 1 of every 28-day cycle thereafter.",,2011.0
PMID 22119496 a_Summary_SoE.pdf,Arm B (Placebo + Sandostatin LAR),control,1.0,3.0,5.0,8.0,11.0,15.0,28.0,"Screening (1 day), Cycle 1 Day 1, Cycle 1 Day 15, then Day 1 of every 28-day cycle thereafter.",,2011.0
PMID 22149875 a_Summary_SoE.pdf,Arm A (Placebo + Trastuzumab + Docetaxel),control,2.0,5.0,10.0,16.0,20.0,25.0,21.0,"Cycle 1: Days 1, 2, 8; Cycles 2-6: Days 1, 8; Cycles 7-18: Day 1.",,2012.0
PMID 22149875 a_Summary_SoE.pdf,Arm B (Pertuzumab + Trastuzumab + Docetaxel),intervention,2.0,5.0,10.0,16.0,20.0,25.0,21.0,"Cycle 1: Days 1, 2, 8; Cycles 2-6: Days 1, 8; Cycles 7-18: Day 1.",,2012.0
PMID 22149876 a_Summary_SoE.pdf,Arm A (Everolimus + Exemestane),intervention,1.0,3.0,5.0,7.0,9.0,11.0,42.0,"Day 1, Day 15, Day 28, then every 6 weeks (42 days) thereafter.",,2012.0
PMID 22149876 a_Summary_SoE.pdf,Arm B (Placebo + Exemestane),control,1.0,3.0,5.0,7.0,9.0,11.0,42.0,"Day 1, Day 15, Day 28, then every 6 weeks (42 days) thereafter.",,2012.0
PMID 22204724 a_Summary_SoE.pdf,Arm I (Standard Chemotherapy),control,2.0,5.0,14.0,23.0,28.0,34.0,21.0,"Phase A (Cycles 1-6): Visits on Day 1 (infusion/labs), Day 8 (labs), and Day 15 (labs) of each 21-day cycle. Phase B (Cycles 7-22): Visits on Day 1 (infusion/BP) of each 21-day cycle. Radiographic imaging performed every 3 months (approximately every 4 cycles).",,2011.0
PMID 22204724 a_Summary_SoE.pdf,Arm II (Concurrent Bevacizumab),intervention,2.0,5.0,14.0,23.0,28.0,34.0,21.0,"Phase A (Cycles 1-6): Visits on Day 1 (infusion/labs), Day 8 (labs), and Day 15 (labs) of each 21-day cycle. Phase B (Cycles 7-22): Visits on Day 1 (infusion/BP) of each 21-day cycle. Radiographic imaging performed every 3 months (approximately every 4 cycles).",,2011.0
PMID 22204724 a_Summary_SoE.pdf,Arm III (Extended Bevacizumab),intervention,2.0,5.0,14.0,23.0,28.0,34.0,21.0,"Phase A (Cycles 1-6): Visits on Day 1 (infusion/labs), Day 8 (labs), and Day 15 (labs) of each 21-day cycle. Phase B (Cycles 7-22): Visits on Day 1 (infusion/BP) of each 21-day cycle. Radiographic imaging performed every 3 months (approximately every 4 cycles).",,2011.0
PMID 22257673 a_Summary_SoE.pdf,Lapatinib,intervention,1.0,2.0,9.0,14.0,18.0,23.0,21.0,Every 3 weeks for anti-HER2 therapy; weekly for paclitaxel (weeks 6-12 of neoadjuvant phase); every 3 weeks for FEC chemotherapy.,,2012.0
PMID 22257673 a_Summary_SoE.pdf,Trastuzumab,intervention,1.0,2.0,9.0,14.0,18.0,23.0,21.0,Every 3 weeks for anti-HER2 therapy; weekly for paclitaxel (weeks 6-12 of neoadjuvant phase); every 3 weeks for FEC chemotherapy.,,2012.0
PMID 22257673 a_Summary_SoE.pdf,Lapatinib + Trastuzumab,intervention,1.0,2.0,9.0,14.0,18.0,23.0,21.0,Every 3 weeks for anti-HER2 therapy; weekly for paclitaxel (weeks 6-12 of neoadjuvant phase); every 3 weeks for FEC chemotherapy.,,2012.0
PMID 22271472 a_Summary_SoE.pdf,"Arm A (Standard Treatment: Carboplatin, Paclitaxel, and Thoracic Radiotherapy)",control,1.0,2.0,33.0,34.0,35.0,36.0,21.0,"Induction: Day 1, Day 22. Concurrent: Daily radiation (5 days/week) for 6 weeks (30 fractions) starting Day 43-50.",,2012.0
PMID 22271472 a_Summary_SoE.pdf,Arm B (Thalidomide Addition),intervention,1.0,5.0,36.0,39.0,42.0,45.0,21.0,"Same as Arm A plus weekly pregnancy tests for the first 4 weeks, then monthly maintenance visits for Thalidomide.",,2012.0
PMID 22375970 a_Summary_SoE.pdf,INC424 (Ruxolitinib),intervention,2.0,4.0,7.0,10.0,12.0,14.0,28.0,"Day 1, Week 2 (Interim), Week 4 (Study Visit + Pre-visit Lab), Week 6 (Interim), Week 8 (Study Visit), Week 12 (Study Visit), then every 4-12 weeks for Study or Interim visits.",,2012.0
PMID 22375970 a_Summary_SoE.pdf,Best-available therapy (BAT),control,2.0,3.0,6.0,9.0,11.0,13.0,28.0,"Day 1, Week 2 (Interim), Week 4 (Study Visit), Week 6 (Interim), Week 8 (Study Visit), Week 12 (Study Visit), then every 4-12 weeks for Study or Interim visits.",,2012.0
PMID 22375971 a_Summary_SoE.pdf,Arm A (INCB018424),intervention,2.0,4.0,7.0,10.0,12.0,14.0,28.0,"Day 1, Week 2 (Lab), Week 4 (Pre-visit Lab and Study Visit), Week 6 (Lab), Week 8 (Study Visit), Week 12 (Study Visit), Week 16 (Study Visit), Week 20 (Lab), Week 24 (Study Visit), Week 30 (Lab), Week 36 (Study Visit), Week 42 (Lab), Week 48 (Study Visit).",,2012.0
PMID 22375971 a_Summary_SoE.pdf,Arm B (Placebo),control,2.0,4.0,7.0,10.0,12.0,14.0,28.0,"Day 1, Week 2 (Lab), Week 4 (Pre-visit Lab and Study Visit), Week 6 (Lab), Week 8 (Study Visit), Week 12 (Study Visit), Week 16 (Study Visit), Week 20 (Lab), Week 24 (Study Visit), Week 30 (Lab), Week 36 (Study Visit), Week 42 (Lab), Week 48 (Study Visit).",,2012.0
PMID 22454414 a_Summary_SoE.pdf,Arm A (Docetaxel + Prednisone + Placebo),control,2.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of every 21-day cycle.,,2012.0
PMID 22454414 a_Summary_SoE.pdf,Arm B (Docetaxel + Prednisone + Bevacizumab),intervention,2.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of every 21-day cycle.,,2012.0
PMID 22508813 a_Summary_SoE.pdf,Naproxen 500mg BID,intervention,1.0,2.0,2.0,2.0,2.0,2.0,21.0,1 screening visit for consent and baseline questionnaires; 1 treatment visit for pegfilgrastim administration and study drug dispensing; 1 follow-up visit at the start of the next chemotherapy cycle for bottle return.,,2012.0
PMID 22508813 a_Summary_SoE.pdf,Placebo,control,1.0,2.0,2.0,2.0,2.0,2.0,21.0,1 screening visit for consent and baseline questionnaires; 1 treatment visit for pegfilgrastim administration and study drug dispensing; 1 follow-up visit at the start of the next chemotherapy cycle for bottle return.,,2012.0
PMID 22529265 a_Summary_SoE.pdf,Arm A (Bevacizumab + Carboplatin + Gemcitabine),intervention,1.0,4.0,9.0,15.0,19.0,24.0,21.0,Cycles 1-6: Day 1 and Day 8 (2 visits/cycle). Cycles 7+: Day 1 only (1 visit/cycle).,,2012.0
PMID 22529265 a_Summary_SoE.pdf,Arm B (Placebo + Carboplatin + Gemcitabine),control,1.0,4.0,9.0,15.0,19.0,24.0,21.0,Cycles 1-6: Day 1 and Day 8 (2 visits/cycle). Cycles 7+: Day 1 only (1 visit/cycle).,,2012.0
PMID 22551107 a_Summary_SoE.pdf,"EDP/M (Etoposide, Doxorubicin, Cisplatin plus Mitotane)",intervention,1.0,8.0,22.0,41.0,60.0,78.0,28.0,"Days 1, 2, 3, 4 (Chemotherapy), Days 12, 14 (Nadir Labs) per 28-day cycle.",,2012.0
PMID 22551107 a_Summary_SoE.pdf,Sz/M (Streptozotocin plus Mitotane),control,1.0,6.0,10.0,15.0,19.0,24.0,21.0,"Induction: Days 1-5. Maintenance: Every 21 days (Day 22, 43, 64, etc.).",,2012.0
PMID 22564989 a_Summary_SoE.pdf,Arm A (Sunitinib + Erlotinib),intervention,2.0,3.0,8.0,13.0,17.0,23.0,28.0,Cycles 1-3: Day 1 and Day 15; Cycles 4+: Day 1 only. Imaging every 8 weeks.,,2012.0
PMID 22564989 a_Summary_SoE.pdf,Arm B (Placebo + Erlotinib),control,2.0,3.0,8.0,13.0,17.0,23.0,28.0,Cycles 1-3: Day 1 and Day 15; Cycles 4+: Day 1 only. Imaging every 8 weeks.,,2012.0
PMID 22571200 a_Summary_SoE.pdf,"Arm A (MPR-R: Lenalidomide, Melphalan, and Prednisone followed by Lenalidomide maintenance)",intervention,1.0,5.0,9.0,15.0,21.0,25.0,28.0,"Cycle 1: Days 1, 8, 15, 22; Cycles 2-9: Days 1, 15; Cycle 10+: Day 1",,2012.0
PMID 22571200 a_Summary_SoE.pdf,"Arm B (MPR-p: Lenalidomide, Melphalan, and Prednisone followed by Placebo maintenance)",intervention,1.0,5.0,9.0,15.0,21.0,25.0,28.0,"Cycle 1: Days 1, 8, 15, 22; Cycles 2-9: Days 1, 15; Cycle 10+: Day 1",,2012.0
PMID 22571200 a_Summary_SoE.pdf,"Arm C (MP-p: Melphalan, Prednisone, and Placebo followed by Placebo maintenance)",control,1.0,5.0,9.0,15.0,21.0,25.0,28.0,"Cycle 1: Days 1, 8, 15, 22; Cycles 2-9: Days 1, 15; Cycle 10+: Day 1",,2012.0
PMID 22571201 a_Summary_SoE.pdf,Arm A (Lenalidomide Maintenance),intervention,24.0,4.0,7.0,13.0,16.0,19.0,28.0,"Weekly in Month 1, bi-weekly in Month 2, monthly thereafter. A 4-week weekly monitoring burst occurs in Month 4 following dose escalation.",,2012.0
PMID 22571201 a_Summary_SoE.pdf,Arm B (Placebo Maintenance),control,24.0,4.0,7.0,13.0,16.0,19.0,28.0,"Weekly in Month 1, bi-weekly in Month 2, monthly thereafter. A 4-week weekly monitoring burst occurs in Month 4 following dose escalation.",,2012.0
PMID 22585697 a_Summary_SoE.pdf,Arm B (Clofarabine + Cytarabine),intervention,2.0,11.0,18.0,21.0,24.0,27.0,28.0,"Induction (Days 1-5, then weekly visits in Weeks 2, 3, 4), Consolidation (Days 1-4, then weekly visits in Weeks 2, 3, 4), End-of-Treatment visit, followed by monthly long-term follow-up.",,2012.0
PMID 22585697 a_Summary_SoE.pdf,Arm A (Placebo + Cytarabine),control,2.0,11.0,18.0,21.0,24.0,27.0,28.0,"Induction (Days 1-5, then weekly visits in Weeks 2, 3, 4), Consolidation (Days 1-4, then weekly visits in Weeks 2, 3, 4), End-of-Treatment visit, followed by monthly long-term follow-up.",,2012.0
PMID 22663011 a_Summary_SoE.pdf,Arm A (GSK1120212 / Trametinib),intervention,2.0,4.0,7.0,11.0,15.0,20.0,21.0,Day 1 of every 3-week cycle.,,2012.0
PMID 22663011 a_Summary_SoE.pdf,Arm B (Chemotherapy - Dacarbazine or Paclitaxel),control,2.0,4.0,7.0,11.0,15.0,20.0,21.0,Day 1 of every 3-week cycle for IV infusion.,,2012.0
PMID 22689805 a_Summary_SoE.pdf,Arm B (Decitabine),intervention,1.0,6.0,24.0,44.0,64.0,85.0,28.0,"Days 1-5 (Treatment), Day 15 (Labs) of every 28-day cycle. Bone marrow aspirates within 7 days before Day 1 of Cycles 3, 5, and every 2nd cycle thereafter.",,2012.0
PMID 22689805 a_Summary_SoE.pdf,Arm A (Low-dose Cytarabine),control,1.0,11.0,40.0,79.0,114.0,150.0,28.0,"Days 1-10 (Treatment), Day 15 (Labs) of every 28-day cycle. Bone marrow aspirates within 7 days before Day 1 of Cycles 3, 5, and every 2nd cycle thereafter.",,2012.0
PMID 22735384 a_Summary_SoE.pdf,Arm A (GSK2118436 / Dabrafenib),intervention,1.0,3.0,6.0,10.0,14.0,20.0,21.0,"Day 1, Day 8, then every 3 weeks (Day 22, 43, 64, etc.)",,2012.0
PMID 22735384 a_Summary_SoE.pdf,Arm B (DTIC / Dacarbazine),control,1.0,3.0,6.0,10.0,14.0,20.0,21.0,"Day 1, Day 8, then every 3 weeks (Day 22, 43, 64, etc.)",,2012.0
PMID 22808955 a_Summary_SoE.pdf,Radical Prostatectomy,intervention,1.0,2.0,4.0,5.0,6.0,7.0,0.0,"Screening (staging), Day 1 (Baseline/Randomization), Surgery (assumed Day 14), and follow-up visits at 6 weeks, 3, 6, 9, and 12 months.",,2012.0
PMID 22808955 a_Summary_SoE.pdf,Expectant Management (Watchful Waiting),control,1.0,1.0,3.0,4.0,5.0,6.0,0.0,"Screening (staging), Day 1 (Baseline/Randomization), and follow-up visits at 6 weeks, 3, 6, 9, and 12 months.",,2012.0
PMID 22851564 a_Summary_SoE.pdf,Sorafenib + Gemcitabine + Cisplatin,intervention,2.0,5.0,13.0,21.0,25.0,31.0,21.0,"Chemotherapy Phase (Cycles 1-6): Visits on Days 1, 8, and 15 of each 21-day cycle. Maintenance Phase (Cycle 7+): Visit on Day 1 of each 21-day cycle. Imaging every 6 weeks until week 36, then every 12 weeks.",,2012.0
PMID 22851564 a_Summary_SoE.pdf,Placebo + Gemcitabine + Cisplatin,control,2.0,5.0,13.0,21.0,25.0,31.0,21.0,"Chemotherapy Phase (Cycles 1-6): Visits on Days 1, 8, and 15 of each 21-day cycle. Maintenance Phase (Cycle 7+): Visit on Day 1 of each 21-day cycle. Imaging every 6 weeks until week 36, then every 12 weeks.",,2012.0
PMID 22853014 a_Summary_SoE.pdf,Arm 1 (Anastrozole alone),control,2.0,2.0,5.0,9.0,13.0,18.0,28.0,"Day 1 of each 28-day cycle for labs and exams; Imaging every 3 cycles (End of Cycle 3, 6, 9, 12).",,2012.0
PMID 22853014 a_Summary_SoE.pdf,Arm 2 (Anastrozole and Fulvestrant),intervention,2.0,3.0,5.0,8.0,11.0,15.0,28.0,"Cycle 1: Days 1, 14, 28; Subsequent cycles: Day 28 only for IM injection; Imaging every 3 cycles.",,2012.0
PMID 22894553 a_Summary_SoE.pdf,Arm A (MDV3100),intervention,1.0,3.0,5.0,8.0,9.0,10.0,28.0,"Days 1, 8, 29, 57, 85, 113, 141, 169, then every 12 weeks (Days 253, 337)",,2012.0
PMID 22894553 a_Summary_SoE.pdf,Arm B (Placebo),control,1.0,3.0,5.0,8.0,9.0,10.0,28.0,"Days 1, 8, 29, 57, 85, 113, 141, 169, then every 12 weeks (Days 253, 337)",,2012.0
