filename,arm_name,n,median,q1,q3,mean,std,min,max,iqr
PMID 36473143 a_Summary_SoE.pdf,Arm B (EXTREME Regimen),2,62.0,57.5,66.5,62.0,12.727922061357855,53.0,71.0,9.0
PMID 37875143 a_Summary_SoE.pdf,Arm A (Pembrolizumab + Chemotherapy),3,36.0,27.0,36.0,30.0,10.392304845413264,18.0,36.0,9.0
PMID 34454674 a_Summary_SoE.pdf,Arm 1 (Pembrolizumab + Cisplatin + 5-FU),3,36.0,27.0,36.0,30.0,10.392304845413264,18.0,36.0,9.0
PMID 34454674 a_Summary_SoE.pdf,Arm 2 (Placebo + Cisplatin + 5-FU),3,36.0,27.0,36.0,30.0,10.392304845413264,18.0,36.0,9.0
PMID 33667670 CT_Summary_SoE.pdf,Arm 1 (Mirvetuximab Soravtansine),3,41.0,32.5,41.5,35.666666666666664,10.115993936995679,24.0,42.0,9.0
PMID 32271377 a_Summary_SoE.pdf,Standard of Care (SoC) Platinum-Based Chemotherapy,2,26.5,22.25,30.75,26.5,12.020815280171307,18.0,35.0,8.5
PMID 36322844 a_Summary_SoE.pdf,Arm A (ABVE-PC),2,32.5,28.75,36.25,32.5,10.606601717798213,25.0,40.0,7.5
PMID 33186740 a_Summary_SoE.pdf,Placebo plus fulvestrant,3,0.0,0.0,7.5,5.0,8.660254037844387,0.0,15.0,7.5
PMID 30901302 a_Summary_SoE.pdf,Arm B (Ibrutinib + R-CHOP),3,27.0,20.0,27.5,22.666666666666668,8.386497083606084,13.0,28.0,7.5
PMID 30901302 a_Summary_SoE.pdf,Arm A (Placebo + R-CHOP),3,27.0,20.0,27.5,22.666666666666668,8.386497083606084,13.0,28.0,7.5
PMID 36322844 a_Summary_SoE.pdf,Arm B (Bv-AVEPC),2,32.5,28.75,36.25,32.5,10.606601717798213,25.0,40.0,7.5
PMID 33186740 a_Summary_SoE.pdf,Taselisib plus fulvestrant,3,0.0,0.0,7.5,5.0,8.660254037844387,0.0,15.0,7.5
PMID 28644114 a_Summary_SoE.pdf,Arm B (Placebo + Chemotherapy),2,73.0,69.5,76.5,73.0,9.899494936611665,66.0,80.0,7.0
PMID 34874182 a_Summary_SoE.pdf,Arm A (Palbociclib + Endocrine Therapy),3,0.0,0.0,7.0,4.666666666666667,8.082903768654761,0.0,14.0,7.0
PMID 33616314 a_Summary_SoE.pdf,Arm B (Lenvatinib + Pembrolizumab),3,26.0,23.5,30.5,27.333333333333332,7.094598884597588,21.0,35.0,7.0
PMID 30763730 CT_Summary_SoE.pdf,Arm A (AZD9291 Monotherapy),2,7.0,3.5,10.5,7.0,9.899494936611665,0.0,14.0,7.0
PMID 28644114 a_Summary_SoE.pdf,Arm A (Midostaurin + Chemotherapy),2,73.0,69.5,76.5,73.0,9.899494936611665,66.0,80.0,7.0
PMID 35271306 a_Summary_SoE.pdf,Arm B (Modified ABFM Backbone + Bortezomib),2,67.0,63.5,70.5,67.0,9.899494936611665,60.0,74.0,7.0
PMID 33616314 a_Summary_SoE.pdf,Arm A (Lenvatinib + Everolimus),3,26.0,23.5,30.5,27.333333333333332,7.094598884597588,21.0,35.0,7.0
PMID 31345387 CT_Summary_SoE.pdf,Arm A (Reduced Dose Radiation + Carboplatin),3,43.0,41.5,48.5,45.666666666666664,7.371114795831993,40.0,54.0,7.0
PMID 33616314 a_Summary_SoE.pdf,Arm C (Sunitinib),3,26.0,23.5,30.5,27.333333333333332,7.094598884597588,21.0,35.0,7.0
PMID 36265504 a_Summary_SoE.pdf,Arm A (Enzalutamide + Docetaxel + Prednisolone),3,25.0,18.5,25.0,20.666666666666668,7.505553499465135,12.0,25.0,6.5
PMID 35007153 a_Summary_SoE.pdf,Regimen I (Paclitaxel plus Carboplatin),3,20.0,14.0,20.5,16.333333333333332,7.234178138070235,8.0,21.0,6.5
PMID 28249141 a_Summary_SoE.pdf,Arm 2 (Standard of Care Chemotherapy),3,34.0,31.5,38.0,35.0,6.557438524302,29.0,42.0,6.5
PMID 27354480 a_Summary_SoE.pdf,Placebo,3,7.0,5.0,11.5,8.666666666666666,6.6583281184793925,3.0,16.0,6.5
PMID 27354480 a_Summary_SoE.pdf,Lenalidomide,3,7.0,5.0,11.5,8.666666666666666,6.6583281184793925,3.0,16.0,6.5
PMID 36265504 a_Summary_SoE.pdf,Arm B (Placebo + Docetaxel + Prednisolone),3,25.0,18.5,25.0,20.666666666666668,7.505553499465135,12.0,25.0,6.5
PMID 35759733a_Summary_SoE.pdf,Regimen I (CT-2103),3,24.0,18.5,25.0,21.0,7.0,13.0,26.0,6.5
PMID 35759733a_Summary_SoE.pdf,Regimen II (Paclitaxel),3,24.0,18.5,25.0,21.0,7.0,13.0,26.0,6.5
PMID 37793771 CT_Summary_SoE.pdf,Arm 2 (Pomalidomide plus Low-dose Dexamethasone),3,31.0,25.5,31.5,27.666666666666668,6.6583281184793925,20.0,32.0,6.0
PMID 31345387 CT_Summary_SoE.pdf,Arm B (Standard Dose Radiation + Carboplatin),3,48.0,47.5,53.5,51.333333333333336,6.658328118479393,47.0,59.0,6.0
PMID 33792623a_Summary_SoE.pdf,Arm C (Paclitaxel + Carboplatin),2,16.0,13.0,19.0,16.0,8.48528137423857,10.0,22.0,6.0
PMID 33792623a_Summary_SoE.pdf,Arm A (Tislelizumab + Paclitaxel + Carboplatin),2,24.0,21.0,27.0,24.0,8.48528137423857,18.0,30.0,6.0
PMID 37257422 CT_Summary_SoE.pdf,Arm C (Enhanced Steroids + Vasoconstrictor + Cold Compress),3,53.0,53.0,58.5,56.666666666666664,6.350852961085884,53.0,64.0,5.5
PMID 37257422 CT_Summary_SoE.pdf,Arm A (Standard Steroids),3,53.0,53.0,58.5,56.666666666666664,6.350852961085884,53.0,64.0,5.5
PMID 35419607 CT_Summary_SoE.pdf,Arm RT + Nivolumab,2,49.5,46.75,52.25,49.5,7.7781745930520225,44.0,55.0,5.5
PMID 37257422 CT_Summary_SoE.pdf,Arm B (Standard Steroids + Vasoconstrictor + Cold Compress),3,53.0,53.0,58.5,56.666666666666664,6.350852961085884,53.0,64.0,5.5
PMID 19213681 a_Summary_SoE.pdf,Arm B (Nolvadex plus zoledronate),3,3.0,3.0,8.5,6.666666666666667,6.3508529610858835,3.0,14.0,5.5
PMID 31248843 CT_Summary_SoE.pdf,Arm 1 (Cyclosporine + Mycophenolate Mofetil),2,57.5,54.75,60.25,57.5,7.7781745930520225,52.0,63.0,5.5
PMID 32031887 CT_Summary_SoE.pdf,Arm 2 (Standard Oncology Care),3,3.0,3.0,8.5,6.666666666666667,6.3508529610858835,3.0,14.0,5.5
PMID 19213681 a_Summary_SoE.pdf,Arm D (Arimidex plus zoledronate),3,3.0,3.0,8.5,6.666666666666667,6.3508529610858835,3.0,14.0,5.5
PMID 31248843 CT_Summary_SoE.pdf,Arm 2 (Cyclosporine + Mycophenolate Mofetil + Sirolimus),2,57.5,54.75,60.25,57.5,7.7781745930520225,52.0,63.0,5.5
PMID 28600132 CT_Summary_SoE.pdf,Arm 2 (Physician's Choice: Methotrexate or Bexarotene),2,22.0,19.5,24.5,22.0,7.0710678118654755,17.0,27.0,5.0
PMID 28249141 a_Summary_SoE.pdf,Arm 1 (Blinatumomab),3,42.0,37.0,42.0,38.666666666666664,5.773502691896258,32.0,42.0,5.0
PMID 22025146 CT_Summary_SoE.pdf,Vandetanib 300 mg,3,8.0,6.5,11.5,9.333333333333334,5.131601439446884,5.0,15.0,5.0
PMID 34855460 a_Summary_SoE.pdf,Arm A (CD34 selected T-cell depleted PBSC graft),2,20.0,17.5,22.5,20.0,7.0710678118654755,15.0,25.0,5.0
PMID 24933332 a_Summary_SoE.pdf,Arm B (Placebo + Docetaxel),2,13.0,10.5,15.5,13.0,7.0710678118654755,8.0,18.0,5.0
PMID 22025146 CT_Summary_SoE.pdf,Placebo,3,8.0,6.5,11.5,9.333333333333334,5.131601439446884,5.0,15.0,5.0
PMID 31166681 a_Summary_SoE.pdf,Arm A (Obinutuzumab + Venetoclax),3,25.0,22.5,27.0,24.666666666666668,4.509249752822894,20.0,29.0,4.5
PMID 29562145 a_Summary_SoE.pdf,Arm B (Sunitinib),3,9.0,9.0,13.5,12.0,5.196152422706632,9.0,18.0,4.5
PMID 24933332 a_Summary_SoE.pdf,Arm A (Ramucirumab + Docetaxel),2,13.5,11.25,15.75,13.5,6.363961030678928,9.0,18.0,4.5
PMID 23940216 a_Summary_SoE.pdf,Arm A (Cediranib 30 mg Monotherapy),2,18.5,16.25,20.75,18.5,6.363961030678928,14.0,23.0,4.5
PMID 30522969 CT_Summary_SoE.pdf,Arm A (Ibrutinib + Obinutuzumab),3,17.0,15.0,19.5,17.333333333333332,4.509249752822893,13.0,22.0,4.5
PMID 24101054 a_Summary_SoE.pdf,Arm 2 (Bevacizumab + Erlotinib),3,19.0,19.0,23.0,21.666666666666668,4.618802153517007,19.0,27.0,4.0
PMID 24552320 a_Summary_SoE.pdf,Regimen IV (Topotecan + Paclitaxel + Bevacizumab),2,93.0,91.0,95.0,93.0,5.656854249492381,89.0,97.0,4.0
PMID 24552320 a_Summary_SoE.pdf,Regimen III (Topotecan + Paclitaxel),2,93.0,91.0,95.0,93.0,5.656854249492381,89.0,97.0,4.0
PMID 24552320 a_Summary_SoE.pdf,Regimen II (Cisplatin + Paclitaxel + Bevacizumab),2,75.0,73.0,77.0,75.0,5.656854249492381,71.0,79.0,4.0
PMID 24552320 a_Summary_SoE.pdf,Regimen I (Cisplatin + Paclitaxel),2,75.0,73.0,77.0,75.0,5.656854249492381,71.0,79.0,4.0
PMID 37069359 a_Summary_SoE.pdf,Arm A (BL-8040 + G-CSF),2,40.0,38.0,42.0,40.0,5.656854249492381,36.0,44.0,4.0
PMID 37069359 a_Summary_SoE.pdf,Arm B (Placebo + G-CSF),2,40.0,38.0,42.0,40.0,5.656854249492381,36.0,44.0,4.0
PMID 37080222 a_Summary_SoE.pdf,Arm B (Placebo + Chemotherapy),2,100.0,98.0,102.0,100.0,5.656854249492381,96.0,104.0,4.0
PMID 24101054 a_Summary_SoE.pdf,Arm 1 (Bevacizumab + Erlotinib-placebo),3,19.0,19.0,23.0,21.666666666666668,4.618802153517007,19.0,27.0,4.0
PMID 37080222 a_Summary_SoE.pdf,Arm A (Tislelizumab + Chemotherapy),2,100.0,98.0,102.0,100.0,5.656854249492381,96.0,104.0,4.0
PMID 23816960 a_Summary_SoE.pdf,Arm B (Pemetrexed/Cisplatin),3,20.0,20.0,24.0,22.666666666666668,4.618802153517007,20.0,28.0,4.0
PMID 21990397 a_Summary_SoE.pdf,Arm A (Chemotherapy + Bevacizumab),2,22.0,20.0,24.0,22.0,5.656854249492381,18.0,26.0,4.0
PMID 23816960 a_Summary_SoE.pdf,Arm A (Afatinib),3,20.0,20.0,24.0,22.666666666666668,4.618802153517007,20.0,28.0,4.0
PMID 21990397 a_Summary_SoE.pdf,Arm B (Chemotherapy + Placebo),2,22.0,20.0,24.0,22.0,5.656854249492381,18.0,26.0,4.0
PMID 32997907 a_Summary_SoE.pdf,Arm B (Platinum-based Chemotherapy),2,22.0,20.0,24.0,22.0,5.656854249492381,18.0,26.0,4.0
PMID 35763704 a_Summary_SoE.pdf,Arm B (Placebo + ddAC-PacHP),3,20.0,20.0,24.0,22.666666666666668,4.618802153517007,20.0,28.0,4.0
PMID 35947817 a_Summary_SoE.pdf,Arm B (Sunitinib),3,19.0,15.5,19.5,17.0,4.358898943540674,12.0,20.0,4.0
PMID 35511454 CT_Summary_SoE.pdf,Arm B (RT + TMZ + Placebo),3,61.0,58.0,62.0,59.666666666666664,4.163331998932264,55.0,63.0,4.0
PMID 32402160 a_Summary_SoE.pdf,Arm A (Atezolizumab + Bevacizumab),3,18.0,18.0,22.0,20.666666666666668,4.618802153517006,18.0,26.0,4.0
PMID 31618129 a_Summary_SoE.pdf,Arm A (Platinum-doublet chemotherapy alone),3,10.0,10.0,14.0,12.666666666666666,4.618802153517006,10.0,18.0,4.0
PMID 31486832 a_Summary_SoE.pdf,Arm B (Sorafenib alone),3,18.0,18.0,22.0,20.666666666666668,4.618802153517007,18.0,26.0,4.0
PMID 29103871 CT_Summary_SoE.pdf,Arm B (Placebo + Paclitaxel),3,28.0,28.0,32.0,30.666666666666668,4.618802153517006,28.0,36.0,4.0
PMID 29103871 CT_Summary_SoE.pdf,Arm A (Olaparib + Paclitaxel),3,28.0,28.0,32.0,30.666666666666668,4.618802153517006,28.0,36.0,4.0
PMID 26412456 a_Summary_SoE.pdf,Arm A (Nivolumab),2,32.0,30.0,34.0,32.0,5.656854249492381,28.0,36.0,4.0
PMID 35947817 a_Summary_SoE.pdf,Arm A (DCC-2618),3,19.0,15.5,19.5,17.0,4.358898943540674,12.0,20.0,4.0
PMID 35511454 CT_Summary_SoE.pdf,Arm A (RT + TMZ + Nivolumab),3,61.0,58.0,62.0,59.666666666666664,4.163331998932264,55.0,63.0,4.0
PMID 26028407 a_Summary_SoE.pdf,Arm B (Docetaxel),3,19.0,19.0,23.0,21.666666666666668,4.618802153517007,19.0,27.0,4.0
PMID 26028407 a_Summary_SoE.pdf,Arm A (Nivolumab),3,36.0,32.0,36.0,33.333333333333336,4.618802153517007,28.0,36.0,4.0
PMID 25779558 a_Summary_SoE.pdf,Arm 2 (Trastuzumab + Taxane),3,35.0,31.5,35.5,33.0,4.358898943540674,28.0,36.0,4.0
PMID 35763704 a_Summary_SoE.pdf,Arm A (Atezolizumab + ddAC-PacHP),3,20.0,20.0,24.0,22.666666666666668,4.618802153517007,20.0,28.0,4.0
PMID 32402160 a_Summary_SoE.pdf,Arm B (Sorafenib),3,18.0,18.0,22.0,20.666666666666668,4.618802153517006,18.0,26.0,4.0
PMID 31486832 a_Summary_SoE.pdf,Arm A (Sorafenib plus Doxorubicin),3,18.0,18.0,22.0,20.666666666666668,4.618802153517007,18.0,26.0,4.0
PMID 26159065 CT_Summary_SoE.pdf,Arm A (Gefitinib + Cisplatin/Pemetrexed),3,12.0,11.5,15.0,13.666666666666666,3.7859388972001824,11.0,18.0,3.5
PMID 23940225 a_Summary_SoE.pdf,Group 3 (DD AC -> PG),3,13.0,12.0,15.5,14.0,3.605551275463989,11.0,18.0,3.5
PMID 23940225 a_Summary_SoE.pdf,Group 2 (DD AC -> P),3,13.0,12.0,15.5,14.0,3.605551275463989,11.0,18.0,3.5
PMID 26159065 CT_Summary_SoE.pdf,Arm B (Placebo + Cisplatin/Pemetrexed),3,12.0,11.5,15.0,13.666666666666666,3.7859388972001824,11.0,18.0,3.5
PMID 24395863 a_Summary_SoE.pdf,Regimen I (Weekly Cisplatin and Radiation Therapy),3,44.0,40.5,44.0,41.666666666666664,4.041451884327381,37.0,44.0,3.5
