filename,arm_name,current_label,12mo_TT,suspect_flag,reason,n_controls_in_trial,n_interventions_in_trial,max_intervention_TT
PMID 32416073 CT_Summary_SoE.pdf,Control Arm (Irinotecan),control,27.0,Ambiguous,Active drug(s): irinotecan; no control keyword,2,1,27.0
PMID 32459600 a_Summary_SoE.pdf,Arm B (Idelalisib plus Rituximab),control,16.0,Ambiguous,"Active drug(s): idelalisib, rituximab; no control keyword",2,1,16.0
PMID 32459600 a_Summary_SoE.pdf,Arm B (Bendamustine plus Rituximab),control,17.0,Suspect,"Active drug(s): rituximab, bendamustine; TT (17) > intervention (16); no control keyword",2,1,16.0
PMID 32496902 a_Summary_SoE.pdf,Very High Risk (VHR) B-ALL (Control Arm),control,76.0,Likely correct,No active drugs or has control keyword,2,4,84.0
PMID 32496902 a_Summary_SoE.pdf,Very High Risk (VHR) B-ALL - Control Arm,control,90.0,Likely correct,No active drugs or has control keyword,2,4,84.0
PMID 32822286 a_Summary_SoE.pdf,Physician's Choice: Liposomal Doxorubicin,control,19.0,Likely correct,Has control keyword,3,1,16.0
PMID 32822286 a_Summary_SoE.pdf,Physician's Choice: Paclitaxel,control,41.0,Likely correct,Has control keyword,3,1,16.0
PMID 32822286 a_Summary_SoE.pdf,Physician's Choice: Topotecan,control,94.0,Likely correct,Has control keyword,3,1,16.0
PMID 32971005 CT_Summary_SoE.pdf,Standard of Care (SoC) - Cisplatin + Gemcitabine,control,23.0,Likely correct,Has control keyword,2,2,13.0
PMID 32971005 CT_Summary_SoE.pdf,"Standard of Care (Cisplatin + Gemcitabine, 28-day cycle)",control,31.5,Likely correct,Has control keyword,2,2,13.0
PMID 32997907 a_Summary_SoE.pdf,Arm B (Platinum-based Chemotherapy),control,18.0,Likely correct,No active drugs or has control keyword,2,1,18.0
PMID 32997907 a_Summary_SoE.pdf,Platinum-based Chemotherapy - Squamous (Control),control,18.0,Likely correct,No active drugs or has control keyword,2,1,18.0
PMID 33010094 CT_Summary_SoE.pdf,Arm 2 (Placebo Homeopathic Treatment),control,6.0,Likely correct,Has control keyword,2,2,6.0
PMID 33010094 CT_Summary_SoE.pdf,Arm 3 (Standard Care Control),control,5.0,Likely correct,Has control keyword,2,2,6.0
PMID 33026938 CT_Summary_SoE.pdf,Docetaxel,control,18.0,Ambiguous,Active drug(s): docetaxel; no control keyword,3,1,18.0
PMID 33026938 CT_Summary_SoE.pdf,Irinotecan,control,27.0,Suspect,Active drug(s): irinotecan; TT (27) > intervention (18); no control keyword,3,1,18.0
PMID 33026938 CT_Summary_SoE.pdf,Paclitaxel,control,40.0,Suspect,Active drug(s): paclitaxel; TT (40) > intervention (18); no control keyword,3,1,18.0
PMID 33197226 a_Summary_SoE.pdf,Best Supportive Care (BSC) Only,control,20.0,Likely correct,Has control keyword,2,1,27.0
PMID 33197226 a_Summary_SoE.pdf,Chemotherapy Maintenance (Oxaliplatin + 5-FU),control,27.0,Ambiguous,"Active drug(s): 5-fu, oxaliplatin; no control keyword",2,1,27.0
PMID 33651090 a_Summary_SoE.pdf,Arm A (HR/IR Control - Chemotherapy),control,35.0,Likely correct,No active drugs or has control keyword,2,2,115.0
PMID 33651090 a_Summary_SoE.pdf,Arm C (LR Control - Chemotherapy),control,93.0,Likely correct,No active drugs or has control keyword,2,2,115.0
PMID 33676601 CT_Summary_SoE.pdf,TPC Arm (Capecitabine),control,18.0,Ambiguous,Active drug(s): capecitabine; no control keyword,3,1,18.0
PMID 33676601 CT_Summary_SoE.pdf,TPC Arm (Gemcitabine or Eribulin),control,36.0,Suspect,"Active drug(s): gemcitabine, eribulin; TT (36) > intervention (18); no control keyword",3,1,18.0
PMID 33676601 CT_Summary_SoE.pdf,TPC Arm (Vinorelbine),control,53.0,Suspect,Active drug(s): vinorelbine; TT (53) > intervention (18); no control keyword,3,1,18.0
PMID 33821899a_Summary_SoE.pdf,Arm A (12 cycles FOLFOX + Placebo),control,11.0,Likely correct,Has control keyword,2,3,15.0
PMID 33821899a_Summary_SoE.pdf,Arm A (12 cycles of FOLFOX + placebo daily),control,15.5,Likely correct,Has control keyword,2,3,15.0
PMID 34102137 a_Summary_SoE.pdf,XELOX alone,control,52.0,Likely correct,No active drugs or has control keyword,2,3,52.0
PMID 34102137 a_Summary_SoE.pdf,FOLFOX alone,control,52.0,Likely correct,No active drugs or has control keyword,2,3,52.0
PMID 36795891 a_Summary_SoE.pdf,Arm B (AR-directed therapy: Abiraterone Acetate or Enzalutamide),control,16.0,Ambiguous,"Active drug(s): enzalutamide, abiraterone; no control keyword",2,1,16.0
PMID 36795891 a_Summary_SoE.pdf,Arm C (Docetaxel),control,18.5,Suspect,Active drug(s): docetaxel; TT (18) > intervention (16); no control keyword,2,1,16.0
PMID 37604981 CT_Summary_SoE.pdf,Arm B (Intensive: Placebo + Cytarabine/Daunorubicin),control,38.5,Likely correct,Has control keyword,2,2,89.0
PMID 37604981 CT_Summary_SoE.pdf,Arm B (Non-Intensive: Placebo + Azacitidine),control,89.0,Likely correct,Has control keyword,2,2,89.0
