filename,intervention_type,pos_idx,core_treatment_screening,core_treatment_1_month,core_treatment_3_months,core_treatment_6_months,core_treatment_9_months,core_treatment_12_months,imaging_diagnostics_screening,imaging_diagnostics_1_month,imaging_diagnostics_3_months,imaging_diagnostics_6_months,imaging_diagnostics_9_months,imaging_diagnostics_12_months,labs_screening,labs_1_month,labs_3_months,labs_6_months,labs_9_months,labs_12_months,clinic_visits_screening,clinic_visits_1_month,clinic_visits_3_months,clinic_visits_6_months,clinic_visits_9_months,clinic_visits_12_months,total_screening,total_1_month,total_3_months,total_6_months,total_9_months,total_12_months,n_runs,sponsor_binary,disease_site,treatment_modality,start_year,pct_core_treatment,pct_imaging_diagnostics,pct_labs,pct_clinic_visits,pct_research
PMID 20525993 a_Summary_SoE.pdf,intervention,0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.5,2.5,3.5,4.5,5.5,0.0,2.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,10.0,11.0,2,Industry,Heme,Other,2007,4.545454545454546,50.0,45.45454545454545,0.0,95.45454545454545
PMID 20525993 a_Summary_SoE.pdf,intervention,1,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.5,2.5,3.5,4.5,5.5,0.0,2.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,10.0,11.0,2,Industry,Heme,Other,2007,4.545454545454546,50.0,45.45454545454545,0.0,95.45454545454545
PMID 20525995 a_Summary_SoE.pdf,control,0,0.0,0.5,0.5,0.5,0.5,0.5,1.5,1.0,2.0,3.0,3.0,3.0,0.5,1.0,2.0,2.0,3.0,4.0,0.0,0.5,0.5,0.5,0.5,0.5,2.0,3.0,5.0,6.0,7.0,8.0,2,Industry,Heme,Other,2007,6.25,37.5,50.0,6.25,87.5
PMID 20525995 a_Summary_SoE.pdf,intervention,0,0.0,0.5,0.5,0.5,0.5,0.5,1.5,1.0,2.0,3.0,3.0,3.0,0.5,2.5,3.5,3.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,7.0,8.0,9.0,2,Industry,Heme,Other,2007,5.555555555555555,33.33333333333333,61.111111111111114,0.0,94.44444444444444
PMID 20570559 CT a_Summary_SoE.pdf,control,0,0.0,1.5,5.0,6.0,6.0,6.0,1.0,0.0,0.0,2.5,5.5,9.0,0.0,0.0,0.0,0.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,5.0,9.0,13.0,18.0,2,Industry,Thor,Targeted Therapy,2006,33.33333333333333,50.0,16.666666666666664,0.0,66.66666666666666
PMID 20570559 CT a_Summary_SoE.pdf,intervention,0,0.0,1.5,5.0,6.0,6.0,6.0,1.0,0.0,0.0,2.5,5.5,9.0,0.0,0.0,0.0,0.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,5.0,9.0,13.0,18.0,2,Industry,Thor,Targeted Therapy,2006,33.33333333333333,50.0,16.666666666666664,0.0,66.66666666666666
PMID 20818862 a_Summary_SoE.pdf,control,0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.5,1.5,3.0,4.0,1.0,0.0,1.0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.5,8.0,10.0,11.0,2,Industry,GU,Immunotherapy,2003,45.45454545454545,36.36363636363637,18.181818181818183,0.0,54.54545454545455
PMID 20818862 a_Summary_SoE.pdf,intervention,0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.5,1.5,3.0,4.0,1.0,0.0,1.0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.5,8.0,10.0,11.0,2,Industry,GU,Immunotherapy,2003,45.45454545454545,36.36363636363637,18.181818181818183,0.0,54.54545454545455
PMID 20826719 a_Summary_SoE.pdf,control,0,0.0,1.0,1.0,1.5,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,4.0,2,Industry,Heme,Other,2003,37.5,0.0,62.5,0.0,62.5
PMID 20826719 a_Summary_SoE.pdf,intervention,0,0.0,1.0,1.0,1.5,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,4.0,2,Industry,Heme,Other,2003,37.5,0.0,62.5,0.0,62.5
PMID 21121833 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,7.0,8.0,9.0,2,Non-Industry,Breast,Chemotherapy,1999,66.66666666666666,0.0,22.22222222222222,11.11111111111111,22.22222222222222
PMID 21121833 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,7.0,8.0,9.0,2,Non-Industry,Breast,Chemotherapy,1999,66.66666666666666,0.0,22.22222222222222,11.11111111111111,22.22222222222222
PMID 21282542 CT_Summary_SoE.pdf,control,0,0.0,2.0,4.0,7.0,10.0,14.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,4.0,6.0,9.0,12.0,16.0,2,Industry,Thor,Targeted Therapy,2006,87.5,12.5,0.0,0.0,12.5
PMID 21282542 CT_Summary_SoE.pdf,intervention,0,0.0,2.0,4.0,7.0,10.0,14.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,4.0,6.0,9.0,12.0,16.0,2,Industry,Thor,Targeted Therapy,2006,87.5,12.5,0.0,0.0,12.5
PMID 21306237 a_Summary_SoE.pdf,control,0,0.0,1.0,2.0,3.5,5.0,7.0,1.0,0.5,1.0,2.0,2.5,3.5,0.0,1.5,2.0,2.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2,Industry,Other,Targeted Therapy,2007,46.666666666666664,23.333333333333332,30.0,0.0,53.33333333333333
PMID 21306237 a_Summary_SoE.pdf,intervention,0,0.0,1.0,2.0,3.5,5.0,7.0,1.0,0.5,1.0,2.0,2.5,3.5,0.0,1.5,2.0,2.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2,Industry,Other,Targeted Therapy,2007,46.666666666666664,23.333333333333332,30.0,0.0,53.33333333333333
PMID 21306238 a_Summary_SoE.pdf,control,0,0.0,1.5,2.5,4.0,5.5,7.5,1.0,0.0,0.5,1.0,1.5,2.0,0.0,1.5,2.0,3.0,4.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2,Industry,GI,Targeted Therapy,2007,50.0,13.333333333333334,36.666666666666664,0.0,50.0
PMID 21306238 a_Summary_SoE.pdf,intervention,0,0.0,1.5,2.5,4.0,5.5,7.5,1.0,0.0,0.5,1.0,1.5,2.0,0.0,1.5,2.0,3.0,4.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2,Industry,GI,Targeted Therapy,2007,50.0,13.333333333333334,36.666666666666664,0.0,50.0
PMID 21410393 a_Summary_SoE.pdf,control,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,5.0,2,Industry,Thor,Other,2006,0.0,20.0,80.0,0.0,100.0
PMID 21410393 a_Summary_SoE.pdf,intervention,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,5.0,2,Industry,Thor,Other,2006,0.0,20.0,80.0,0.0,100.0
PMID 21612468 a_Summary_SoE.pdf,control,0,0.0,1.5,1.5,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,1.5,4.5,6.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,10.0,13.0,17.0,2,Industry,GU,Endocrine,2008,11.76470588235294,23.52941176470588,64.70588235294117,0.0,88.23529411764706
PMID 21612468 a_Summary_SoE.pdf,intervention,0,0.0,1.5,1.5,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,1.5,4.5,6.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,10.0,13.0,17.0,2,Industry,GU,Endocrine,2008,11.76470588235294,23.52941176470588,64.70588235294117,0.0,88.23529411764706
PMID 21621716 CT_Summary_SoE.pdf,control,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,5.0,9.0,13.0,18.0,2,Industry,Thor,Targeted Therapy,2005,100.0,0.0,0.0,0.0,0.0
PMID 21621716 CT_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,5.0,9.0,13.0,18.0,2,Industry,Thor,Targeted Therapy,2005,100.0,0.0,0.0,0.0,0.0
PMID 21631324 a_Summary_SoE.pdf,control,0,0.0,11.5,27.0,47.5,65.5,71.5,1.0,0.0,0.5,1.5,3.0,4.5,1.0,3.0,5.5,9.0,13.5,18.0,0.0,1.0,2.0,3.0,4.5,6.5,2.0,15.5,35.0,61.0,86.5,100.5,2,Industry,Skin,Targeted Therapy,1999,71.14427860696517,4.477611940298507,17.91044776119403,6.467661691542288,22.388059701492537
PMID 21631324 a_Summary_SoE.pdf,intervention,0,0.0,12.5,29.0,50.5,70.0,77.5,1.0,0.0,0.5,1.5,3.0,4.5,1.0,3.0,5.5,9.0,13.5,18.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,15.5,35.0,61.0,86.5,100.5,2,Industry,Skin,Targeted Therapy,1999,77.11442786069652,4.477611940298507,17.91044776119403,0.4975124378109453,22.388059701492537
PMID 21639808 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,6.0,10.0,14.0,19.0,2,Industry,Skin,Targeted Therapy,2010,94.73684210526315,0.0,5.263157894736842,0.0,5.263157894736842
PMID 21639808 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,6.0,10.0,14.0,19.0,2,Industry,Skin,Targeted Therapy,2010,94.73684210526315,0.0,5.263157894736842,0.0,5.263157894736842
PMID 21639810 a_Summary_SoE.pdf,control,0,0.0,2.0,5.5,9.5,10.5,11.5,1.0,0.0,0.5,1.5,2.5,3.5,0.5,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,8.0,13.0,15.0,17.0,2,Industry,Skin,Immunotherapy,2006,67.64705882352942,20.588235294117645,11.76470588235294,0.0,32.35294117647059
PMID 21639810 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.5,9.5,10.5,11.5,1.0,0.0,0.5,1.5,2.5,3.5,0.5,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,8.0,13.0,15.0,17.0,2,Industry,Skin,Immunotherapy,2006,67.64705882352942,20.588235294117645,11.76470588235294,0.0,32.35294117647059
PMID 21751904 a_Summary_SoE.pdf,control,0,0.0,21.5,37.0,37.0,37.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.5,37.5,38.5,39.5,40.5,2,Non-Industry,GU,Endocrine,1994,91.35802469135803,0.0,8.641975308641975,0.0,8.641975308641975
PMID 21751904 a_Summary_SoE.pdf,intervention,0,0.0,1.0,25.0,39.5,39.5,39.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,25.0,40.0,41.0,42.0,2,Non-Industry,GU,Endocrine,1994,94.04761904761905,0.0,5.952380952380952,0.0,5.952380952380952
PMID 21962393 CT_Summary_SoE.pdf,control,0,0.5,11.5,11.5,22.5,22.5,22.5,1.5,0.0,0.0,1.0,1.0,2.0,1.0,4.5,6.0,10.5,12.5,13.5,0.5,0.0,0.5,0.0,0.0,0.0,3.5,16.0,18.0,34.0,36.0,38.0,2,Non-Industry,Heme,Targeted Therapy,2003,59.210526315789465,5.263157894736842,35.526315789473685,0.0,40.78947368421053
PMID 21962393 CT_Summary_SoE.pdf,intervention,0,0.5,11.5,11.5,13.0,13.0,13.0,1.5,0.0,0.0,1.0,1.0,2.0,1.0,4.5,9.0,14.0,20.0,21.0,0.5,0.0,0.0,0.0,0.0,0.0,3.5,16.0,20.5,28.0,34.0,36.0,2,Non-Industry,Heme,Targeted Therapy,2003,36.11111111111111,5.555555555555555,58.333333333333336,0.0,63.88888888888889
PMID 21962393 CT_Summary_SoE.pdf,intervention,1,0.5,11.5,12.0,23.0,23.0,23.0,1.5,0.0,0.0,1.0,1.0,2.0,1.0,4.5,7.5,13.0,20.0,27.0,0.5,0.0,0.0,0.0,0.0,0.0,3.5,16.0,19.5,37.0,44.0,52.0,2,Non-Industry,Heme,Targeted Therapy,2003,44.230769230769226,3.8461538461538463,51.92307692307693,0.0,55.769230769230774
PMID 21990397 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,11.0,16.0,22.0,2,Industry,Breast,Targeted Therapy,2006,81.81818181818183,18.181818181818183,0.0,0.0,18.181818181818183
PMID 21990397 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,11.0,16.0,22.0,2,Industry,Breast,Targeted Therapy,2006,81.81818181818183,18.181818181818183,0.0,0.0,18.181818181818183
PMID 21991949 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,8.0,8.0,8.0,1.5,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.5,2.0,2.0,5.0,8.5,10.0,11.0,2,Industry,Breast,Chemotherapy,2001,72.72727272727273,9.090909090909092,4.545454545454546,13.636363636363635,13.636363636363637
PMID 21991949 a_Summary_SoE.pdf,intervention,0,0.0,2.0,6.5,17.5,21.5,26.0,1.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.5,18.0,22.0,26.5,2,Industry,Breast,Chemotherapy,2001,98.11320754716981,1.8867924528301887,0.0,0.0,1.8867924528301887
PMID 21991949 a_Summary_SoE.pdf,intervention,1,0.0,6.0,14.0,20.5,24.5,29.0,1.5,0.0,0.0,1.5,1.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,14.0,22.0,26.0,30.5,2,Industry,Breast,Chemotherapy,2001,95.08196721311475,4.918032786885246,0.0,0.0,4.918032786885246
PMID 22025146 CT_Summary_SoE.pdf,control,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,8.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,9.0,11.5,2,Industry,HN,Targeted Therapy,2006,8.695652173913043,91.30434782608695,0.0,0.0,91.30434782608695
PMID 22025146 CT_Summary_SoE.pdf,intervention,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,8.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,9.0,11.5,2,Industry,HN,Targeted Therapy,2006,8.695652173913043,91.30434782608695,0.0,0.0,91.30434782608695
PMID 22119496 a_Summary_SoE.pdf,control,0,0.0,2.0,4.0,7.0,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2,Industry,Other,Targeted Therapy,2006,93.33333333333333,0.0,6.666666666666667,0.0,6.666666666666667
PMID 22119496 a_Summary_SoE.pdf,intervention,0,0.0,2.0,4.0,7.0,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2,Industry,Other,Targeted Therapy,2006,93.33333333333333,0.0,6.666666666666667,0.0,6.666666666666667
PMID 22149875 a_Summary_SoE.pdf,control,0,0.0,3.0,6.0,10.0,14.0,19.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,2.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,16.0,20.0,25.0,2,Industry,Breast,Targeted Therapy,2008,76.0,0.0,24.0,0.0,24.0
PMID 22149875 a_Summary_SoE.pdf,intervention,0,0.0,3.0,6.0,10.0,14.0,19.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,2.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,16.0,20.0,25.0,2,Industry,Breast,Targeted Therapy,2008,76.0,0.0,24.0,0.0,24.0
PMID 22149876 a_Summary_SoE.pdf,control,0,0.0,2.0,3.0,4.0,5.0,6.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,9.0,11.0,2,Industry,Breast,Targeted Therapy,2009,54.54545454545454,36.36363636363637,9.090909090909092,0.0,45.45454545454546
PMID 22149876 a_Summary_SoE.pdf,intervention,0,0.0,2.0,3.0,4.0,5.0,6.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,9.0,11.0,2,Industry,Breast,Targeted Therapy,2009,54.54545454545454,36.36363636363637,9.090909090909092,0.0,45.45454545454546
PMID 22204724 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.5,1.0,1.5,2.0,1.0,3.0,8.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,13.5,22.0,26.5,32.0,2,Industry,GYN,Targeted Therapy,2005,56.25,6.25,37.5,0.0,43.75
PMID 22204724 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.5,1.0,1.5,2.0,1.0,3.0,8.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,13.5,22.0,26.5,32.0,2,Industry,GYN,Targeted Therapy,2005,56.25,6.25,37.5,0.0,43.75
PMID 22204724 a_Summary_SoE.pdf,intervention,1,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.5,1.0,1.5,2.0,1.0,3.0,8.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,13.5,22.0,26.5,32.0,2,Industry,GYN,Targeted Therapy,2005,56.25,6.25,37.5,0.0,43.75
PMID 22257673 a_Summary_SoE.pdf,intervention,0,0.0,1.5,7.5,12.0,15.5,20.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,2.0,8.5,13.5,17.0,21.5,2,Industry,Breast,Targeted Therapy,2008,93.02325581395348,2.3255813953488373,2.3255813953488373,2.3255813953488373,4.651162790697675
PMID 22257673 a_Summary_SoE.pdf,intervention,1,0.0,2.0,8.0,12.5,17.0,21.5,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,2.0,8.5,13.5,18.0,22.5,2,Industry,Breast,Targeted Therapy,2008,95.55555555555556,2.2222222222222223,0.0,2.2222222222222223,2.2222222222222223
