filename,intervention_screening,intervention_1_month,intervention_3_months,intervention_6_months,intervention_9_months,intervention_12_months,intervention_intensity,intervention_cycle_length,control_screening,control_1_month,control_3_months,control_6_months,control_9_months,control_12_months,control_intensity,control_cycle_length,delta_screening,delta_1_month,delta_3_months,delta_6_months,delta_9_months,delta_12_months,delta_intensity,pmid,publication_year
PMID 21282542 CT_Summary_SoE.pdf,2.0,4.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,2.0,4.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21282542.0,2011.0
PMID 21306237 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21306237.0,2011.0
PMID 21306238 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21306238.0,2011.0
PMID 21410393 a_Summary_SoE.pdf,2.0,1.0,1.0,2.0,3.0,5.0,0.4166666666666667,45.5,2.0,1.0,1.0,2.0,3.0,5.0,0.4166666666666667,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21410393.0,2011.0
PMID 21612468 a_Summary_SoE.pdf,1.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,1.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21612468.0,2011.0
PMID 21621716 CT_Summary_SoE.pdf,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21621716.0,2011.0
PMID 21631324 a_Summary_SoE.pdf,2.0,16.0,33.0,67.0,97.0,103.0,8.583333333333334,21.0,2.0,16.0,33.0,67.0,97.0,103.0,8.583333333333334,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21631324.0,2011.0
PMID 21639808 a_Summary_SoE.pdf,2.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,2.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21639808.0,2011.0
PMID 21639810 a_Summary_SoE.pdf,2.0,2.0,8.0,13.0,15.0,17.0,1.4166666666666667,21.0,2.0,2.0,8.0,13.0,15.0,17.0,1.4166666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21639810.0,2011.0
PMID 21751904 a_Summary_SoE.pdf,2.0,1.0,24.0,40.0,41.0,42.0,3.5,28.0,2.0,22.0,38.0,39.0,40.0,41.0,3.4166666666666665,7.0,0.0,-21.0,-14.0,1.0,1.0,1.0,0.08333333333333348,21751904.0,2011.0
PMID 21962393 CT_Summary_SoE.pdf,3.0,15.0,24.0,35.0,44.0,45.0,3.75,14.0,3.0,15.0,24.0,34.0,35.0,36.0,3.0,14.0,0.0,0.0,0.0,1.0,9.0,9.0,0.75,21962393.0,2011.0
PMID 21990397 a_Summary_SoE.pdf,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21990397.0,2011.0
PMID 21991949 a_Summary_SoE.pdf,2.0,2.0,6.0,18.0,22.0,26.0,2.1666666666666665,21.0,2.0,2.0,5.0,8.0,10.0,11.0,0.9166666666666666,21.0,0.0,0.0,1.0,10.0,12.0,15.0,1.25,21991949.0,2011.0
PMID 22025146 CT_Summary_SoE.pdf,1.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,84.0,1.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22025146.0,2012.0
PMID 22119496 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22119496.0,2011.0
PMID 22149875 a_Summary_SoE.pdf,2.0,5.0,10.0,16.0,20.0,25.0,2.0833333333333335,21.0,2.0,5.0,10.0,16.0,20.0,25.0,2.0833333333333335,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22149875.0,2012.0
PMID 22149876 a_Summary_SoE.pdf,1.0,3.0,5.0,7.0,9.0,11.0,0.9166666666666666,42.0,1.0,3.0,5.0,7.0,9.0,11.0,0.9166666666666666,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22149876.0,2012.0
PMID 22204724 a_Summary_SoE.pdf,2.0,5.0,13.0,21.0,25.0,30.0,2.5,21.0,2.0,5.0,13.0,21.0,25.0,30.0,2.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22204724.0,2011.0
PMID 22257673 a_Summary_SoE.pdf,1.0,2.0,8.0,13.0,17.0,21.0,1.75,21.0,,,,,,,,,,,,,,,,22257673.0,2012.0
PMID 22271472 a_Summary_SoE.pdf,1.0,5.0,36.0,41.0,44.0,47.0,3.9166666666666665,21.0,1.0,2.0,33.0,34.0,35.0,36.0,3.0,21.0,0.0,3.0,3.0,7.0,9.0,11.0,0.9166666666666665,22271472.0,2012.0
PMID 22375970 a_Summary_SoE.pdf,2.0,4.0,7.0,10.0,12.0,14.0,1.1666666666666667,28.0,2.0,3.0,6.0,9.0,11.0,13.0,1.0833333333333333,28.0,0.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333348,22375970.0,2012.0
PMID 22375971 a_Summary_SoE.pdf,2.0,4.0,7.0,10.0,12.0,14.0,1.1666666666666667,28.0,2.0,4.0,7.0,10.0,12.0,14.0,1.1666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22375971.0,2012.0
PMID 22454414 a_Summary_SoE.pdf,3.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,3.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22454414.0,2012.0
PMID 22508813 a_Summary_SoE.pdf,1.0,2.0,2.0,2.0,2.0,2.0,0.16666666666666666,21.0,1.0,2.0,2.0,2.0,2.0,2.0,0.16666666666666666,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22508813.0,2012.0
PMID 22529265 a_Summary_SoE.pdf,1.0,4.0,9.0,15.0,19.0,24.0,2.0,21.0,1.0,4.0,9.0,15.0,19.0,24.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22529265.0,2012.0
PMID 22551107 a_Summary_SoE.pdf,1.0,8.0,23.0,42.0,60.0,78.0,6.5,28.0,1.0,7.0,12.0,19.0,25.0,32.0,2.6666666666666665,21.0,0.0,1.0,11.0,23.0,35.0,46.0,3.8333333333333335,22551107.0,2012.0
PMID 22564989 a_Summary_SoE.pdf,1.0,3.0,8.0,12.0,15.0,19.0,1.5833333333333333,28.0,1.0,3.0,8.0,12.0,15.0,19.0,1.5833333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22564989.0,2012.0
PMID 22571200 a_Summary_SoE.pdf,1.0,5.0,9.0,15.0,21.0,25.0,2.0833333333333335,28.0,1.0,5.0,9.0,15.0,21.0,25.0,2.0833333333333335,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22571200.0,2012.0
PMID 22571201 a_Summary_SoE.pdf,24.0,4.0,7.0,13.0,16.0,19.0,1.5833333333333333,28.0,24.0,4.0,7.0,13.0,16.0,19.0,1.5833333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22571201.0,2012.0
PMID 22585697 a_Summary_SoE.pdf,2.0,11.0,23.0,25.0,28.0,31.0,2.5833333333333335,28.0,2.0,11.0,23.0,25.0,28.0,31.0,2.5833333333333335,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22585697.0,2012.0
PMID 22663011 a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,19.0,1.5833333333333333,21.0,1.0,2.0,5.0,9.0,13.0,19.0,1.5833333333333333,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22663011.0,2012.0
PMID 22689805 a_Summary_SoE.pdf,1.0,6.0,23.0,41.0,60.0,79.0,6.583333333333333,28.0,1.0,11.0,39.0,76.0,110.0,144.0,12.0,28.0,0.0,-5.0,-16.0,-35.0,-50.0,-65.0,-5.416666666666667,22689805.0,2012.0
PMID 22735384 a_Summary_SoE.pdf,1.0,3.0,6.0,10.0,14.0,20.0,1.6666666666666667,21.0,1.0,3.0,6.0,10.0,14.0,20.0,1.6666666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22735384.0,2012.0
PMID 22808955 a_Summary_SoE.pdf,1.0,1.0,3.0,4.0,5.0,6.0,0.5,0.0,1.0,1.0,3.0,4.0,5.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22808955.0,2012.0
PMID 22851564 a_Summary_SoE.pdf,2.0,5.0,13.0,21.0,25.0,30.0,2.5,21.0,2.0,5.0,13.0,21.0,25.0,30.0,2.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22851564.0,2012.0
PMID 22853014 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,0.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333326,22853014.0,2012.0
PMID 22894553 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,9.0,10.0,0.8333333333333334,28.0,1.0,3.0,5.0,8.0,9.0,10.0,0.8333333333333334,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22894553.0,2012.0
PMID 22915657 a_Summary_SoE.pdf,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,21.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22915657.0,2012.0
PMID 22949154 a_Summary_SoE.pdf,2.0,2.0,4.0,7.0,8.0,9.0,0.75,28.0,2.0,2.0,4.0,7.0,8.0,9.0,0.75,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22949154.0,2012.0
PMID 22965961 a_Summary_SoE.pdf,1.0,4.0,8.0,14.0,21.0,28.0,2.3333333333333335,14.0,1.0,4.0,8.0,14.0,21.0,28.0,2.3333333333333335,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22965961.0,2012.0
PMID 22965962 a_Summary_SoE.pdf,2.0,4.0,9.0,18.0,26.0,36.0,3.0,21.0,2.0,4.0,9.0,18.0,26.0,36.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22965962.0,2012.0
PMID 22965965 a_Summary_SoE.pdf,1.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,1.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22965965.0,2012.0
PMID 22987089 a_Summary_SoE.pdf,1.0,2.0,3.0,3.0,3.0,3.0,0.25,28.0,1.0,2.0,3.0,3.0,3.0,3.0,0.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22987089.0,2012.0
PMID 23075175 a_Summary_SoE.pdf,1.0,11.0,20.0,25.0,27.0,29.0,2.4166666666666665,0.0,1.0,11.0,20.0,25.0,27.0,29.0,2.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23075175.0,2012.0
PMID 23177515 a_Summary_SoE.pdf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23177515.0,2013.0
PMID 23228172 a_Summary_SoE.pdf,1.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,1.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23228172.0,2013.0
PMID 23234763 a_Summary_SoE.pdf,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,90.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23234763.0,2013.0
PMID 23248256 a_Summary_SoE.pdf,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23248256.0,2013.0
PMID 23295789 a_Summary_SoE.pdf,2.0,5.0,10.0,18.0,18.0,19.0,1.5833333333333333,28.0,2.0,5.0,10.0,16.0,17.0,18.0,1.5,28.0,0.0,0.0,0.0,2.0,1.0,1.0,0.08333333333333326,23295789.0,2013.0
PMID 23295793 a_Summary_SoE.pdf,1.0,1.0,2.0,3.0,3.0,4.0,0.3333333333333333,1.0,1.0,1.0,2.0,3.0,3.0,4.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23295793.0,2013.0
PMID 23358971 a_Summary_SoE.pdf,1.0,1.0,2.0,3.0,4.0,5.0,0.4166666666666667,1.0,1.0,1.0,2.0,3.0,4.0,5.0,0.4166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23358971.0,2013.0
PMID 23358972_Summary_SoE.pdf,2.0,5.0,9.0,15.0,22.0,29.0,2.4166666666666665,42.0,2.0,5.0,9.0,15.0,22.0,29.0,2.4166666666666665,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23358972.0,2013.0
PMID 23460714 a_Summary_SoE.pdf,2.0,4.0,10.0,20.0,30.0,40.0,3.3333333333333335,28.0,2.0,4.0,10.0,20.0,30.0,40.0,3.3333333333333335,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23460714.0,2013.0
PMID 23478059 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,12.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,12.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23478059.0,2013.0
PMID 23509322 a_Summary_SoE.pdf,1.0,4.0,10.0,19.0,20.0,22.0,1.8333333333333333,28.0,1.0,4.0,10.0,19.0,20.0,22.0,1.8333333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23509322.0,2013.0
PMID 23569308 a_Summary_SoE.pdf,1.0,5.0,9.0,13.0,16.0,21.0,1.75,21.0,1.0,5.0,9.0,13.0,16.0,21.0,1.75,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23569308.0,2013.0
PMID 23690416 a_Summary_SoE.pdf,2.0,4.0,11.0,17.0,19.0,21.0,1.75,28.0,2.0,4.0,9.0,13.0,15.0,17.0,1.4166666666666667,21.0,0.0,0.0,2.0,4.0,4.0,4.0,0.33333333333333326,23690416.0,2013.0
PMID 23724913 a_Summary_SoE.pdf,1.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,1.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23724913.0,2013.0
PMID 23733756 a_Summary_SoE.pdf,1.0,5.0,12.0,13.0,14.0,15.0,1.25,7.0,1.0,5.0,12.0,13.0,14.0,15.0,1.25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23733756.0,2013.0
PMID 23733779 a_Summary_SoE.pdf,2.0,2.0,5.0,13.0,14.0,15.0,1.25,21.0,2.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,0.0,0.0,0.0,6.0,6.0,6.0,0.5,23733779.0,2013.0
PMID 23816960 a_Summary_SoE.pdf,2.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,2.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23816960.0,2013.0
PMID 23835708 a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23835708.0,2013.0
PMID 23857972 a_Summary_SoE.pdf,1.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,1.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23857972.0,2013.0
PMID 23863050 a_Summary_SoE.pdf,2.0,3.0,5.0,8.0,9.0,11.0,0.9166666666666666,28.0,2.0,3.0,5.0,8.0,9.0,11.0,0.9166666666666666,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23863050.0,2013.0
PMID 23940216 a_Summary_SoE.pdf,1.0,5.0,9.0,13.0,17.0,22.0,1.8333333333333333,42.0,1.0,5.0,9.0,13.0,17.0,22.0,1.8333333333333333,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23940216.0,2013.0
PMID 23940225 a_Summary_SoE.pdf,3.0,6.0,10.0,12.0,12.0,13.0,1.0833333333333333,14.0,3.0,4.0,8.0,10.0,10.0,11.0,0.9166666666666666,21.0,0.0,2.0,2.0,2.0,2.0,2.0,0.16666666666666663,23940225.0,2013.0
PMID 23960180 a_Summary_SoE.pdf,2.0,6.0,18.0,25.0,27.0,29.0,2.4166666666666665,28.0,2.0,6.0,18.0,25.0,26.0,27.0,2.25,28.0,0.0,0.0,0.0,0.0,1.0,2.0,0.16666666666666652,23960180.0,2013.0
PMID 23980091 a_Summary_SoE.pdf,1.0,1.0,2.0,3.0,4.0,5.0,0.4166666666666667,,1.0,1.0,2.0,3.0,4.0,5.0,0.4166666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23980091.0,2013.0
PMID 24043745 a_Summary_SoE.pdf,2.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,28.0,2.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24043745.0,2013.0
PMID 24081940 a_Summary_SoE.pdf,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24081940.0,2013.0
PMID 24101040 a_Summary_SoE.pdf,2.0,22.0,34.0,46.0,56.0,63.0,5.25,28.0,2.0,22.0,33.0,44.0,52.0,54.0,4.5,28.0,0.0,0.0,1.0,2.0,4.0,9.0,0.75,24101040.0,2013.0
PMID 24101054 a_Summary_SoE.pdf,1.0,2.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,1.0,2.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24101054.0,2013.0
PMID 24131140 a_Summary_SoE.pdf,1.0,5.0,11.0,21.0,31.0,42.0,3.5,28.0,1.0,5.0,12.0,22.0,32.0,42.0,3.5,28.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,24131140.0,2013.0
PMID 24145346 a_Summary_SoE.pdf,1.0,5.0,13.0,17.0,21.0,26.0,2.1666666666666665,21.0,1.0,5.0,13.0,17.0,21.0,26.0,2.1666666666666665,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24145346.0,2013.0
PMID 24297945 a_Summary_SoE.pdf,2.0,5.0,13.0,26.0,39.0,53.0,4.416666666666667,28.0,2.0,5.0,13.0,26.0,39.0,53.0,4.416666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24297945.0,2014.0
PMID 24297950 a_Summary_SoE.pdf,1.0,5.0,13.0,26.0,39.0,53.0,4.416666666666667,42.0,1.0,3.0,7.0,13.0,20.0,27.0,2.25,42.0,0.0,2.0,6.0,13.0,19.0,26.0,2.166666666666667,24297950.0,2014.0
PMID 24297951 a_Summary_SoE.pdf,1.0,3.0,7.0,13.0,14.0,15.0,1.25,14.0,1.0,3.0,7.0,13.0,14.0,15.0,1.25,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24297951.0,2014.0
PMID 24323035 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24323035.0,2014.0
PMID 24395863 a_Summary_SoE.pdf,2.0,22.0,41.0,42.0,43.0,44.0,3.6666666666666665,7.0,2.0,22.0,41.0,42.0,43.0,44.0,3.6666666666666665,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24395863.0,2014.0
PMID 24401022 a_Summary_SoE.pdf,1.0,3.0,7.0,12.0,14.0,15.0,1.25,28.0,1.0,3.0,7.0,12.0,14.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24401022.0,2014.0
PMID 24439929 CT_Summary_SoE.pdf,2.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,2.0,4.0,9.0,15.0,19.0,24.0,2.0,21.0,0.0,0.0,-2.0,-4.0,-4.0,-4.0,-0.33333333333333326,24439929.0,2014.0
PMID 24450857 a_Summary_SoE.pdf,1.0,3.0,7.0,10.0,12.0,14.0,1.1666666666666667,0.0,1.0,3.0,7.0,10.0,12.0,14.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24450857.0,2014.0
PMID 24552317 a_Summary_SoE.pdf,2.0,22.0,33.0,44.0,54.0,64.0,5.333333333333333,28.0,2.0,22.0,33.0,44.0,54.0,64.0,5.333333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24552317.0,2014.0
PMID 24552318 a_Summary_SoE.pdf,2.0,22.0,33.0,39.0,45.0,50.0,4.166666666666667,28.0,2.0,22.0,33.0,39.0,45.0,50.0,4.166666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24552318.0,2014.0
PMID 24552320 a_Summary_SoE.pdf,2.0,7.0,20.0,39.0,58.0,79.0,6.583333333333333,21.0,2.0,7.0,18.0,35.0,52.0,71.0,5.916666666666667,21.0,0.0,0.0,2.0,4.0,6.0,8.0,0.6666666666666661,24552320.0,2014.0
PMID 24590644 a_Summary_SoE.pdf,2.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,2.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24590644.0,2014.0
PMID 24637997 a_Summary_SoE.pdf,2.0,5.0,13.0,26.0,39.0,53.0,4.416666666666667,28.0,2.0,5.0,13.0,26.0,39.0,53.0,4.416666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24637997.0,2014.0
PMID 24733799 a_Summary_SoE.pdf,1.0,6.0,11.0,11.0,11.0,11.0,0.9166666666666666,7.0,,,,,,,,,,,,,,,,24733799.0,2014.0
PMID 24768112 a_Summary_SoE.pdf,1.0,1.0,2.0,4.0,5.0,7.0,0.5833333333333334,56.0,1.0,1.0,2.0,4.0,5.0,7.0,0.5833333333333334,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24768112.0,2014.0
PMID 24868024 a_Summary_SoE.pdf,1.0,4.0,10.0,20.0,30.0,40.0,3.3333333333333335,28.0,1.0,4.0,10.0,20.0,30.0,40.0,3.3333333333333335,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24868024.0,2014.0
PMID 24881463 a_Summary_SoE.pdf,1.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,1.0,1.0,2.0,3.0,4.0,5.0,0.4166666666666667,45.0,0.0,1.0,2.0,4.0,6.0,9.0,0.75,24881463.0,2014.0
PMID 24881631 a_Summary_SoE.pdf,2.0,5.0,9.0,12.0,13.0,14.0,1.1666666666666667,7.0,2.0,5.0,9.0,13.0,14.0,15.0,1.25,7.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-0.08333333333333326,24881631.0,2014.0
PMID 24881730 a_Summary_SoE.pdf,1.0,2.0,4.0,7.0,8.0,9.0,0.75,28.0,1.0,2.0,4.0,7.0,8.0,9.0,0.75,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24881730.0,2014.0
PMID 24888818 a_Summary_SoE.pdf,1.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,21.0,1.0,1.0,2.0,3.0,4.0,5.0,0.4166666666666667,21.0,0.0,2.0,3.0,3.0,3.0,3.0,0.24999999999999994,24888818.0,2014.0
