filename,intervention_type,pos_idx,core_treatment_screening,core_treatment_1_month,core_treatment_3_months,core_treatment_6_months,core_treatment_9_months,core_treatment_12_months,imaging_diagnostics_screening,imaging_diagnostics_1_month,imaging_diagnostics_3_months,imaging_diagnostics_6_months,imaging_diagnostics_9_months,imaging_diagnostics_12_months,labs_screening,labs_1_month,labs_3_months,labs_6_months,labs_9_months,labs_12_months,clinic_visits_screening,clinic_visits_1_month,clinic_visits_3_months,clinic_visits_6_months,clinic_visits_9_months,clinic_visits_12_months,total_screening,total_1_month,total_3_months,total_6_months,total_9_months,total_12_months,n_runs
PMID 20525993 a_Summary_SoE.pdf,control,0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.5,2.5,3.5,4.5,5.5,0.0,2.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,10.0,11.0,2
PMID 20525993 a_Summary_SoE.pdf,intervention,0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.5,2.5,3.5,4.5,5.5,0.0,2.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,10.0,11.0,2
PMID 20525993 a_Summary_SoE.pdf,intervention,1,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.5,2.5,3.5,4.5,5.5,0.0,2.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,10.0,11.0,2
PMID 20525995 a_Summary_SoE.pdf,control,0,0.0,0.5,0.5,0.5,0.5,0.5,1.5,1.0,2.0,3.0,3.0,3.0,0.5,1.0,2.0,2.0,3.0,4.0,0.0,0.5,0.5,0.5,0.5,0.5,2.0,3.0,5.0,6.0,7.0,8.0,2
PMID 20525995 a_Summary_SoE.pdf,intervention,0,0.0,0.5,0.5,0.5,0.5,0.5,1.5,1.0,2.0,3.0,3.0,3.0,0.5,2.5,3.5,3.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,7.0,8.0,9.0,2
PMID 20570559 CT a_Summary_SoE.pdf,control,0,0.0,1.5,5.0,6.0,6.0,6.0,1.0,0.0,0.0,2.5,5.5,9.0,0.0,0.0,0.0,0.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,5.0,9.0,13.0,18.0,2
PMID 20570559 CT a_Summary_SoE.pdf,intervention,0,0.0,1.5,5.0,6.0,6.0,6.0,1.0,0.0,0.0,2.5,5.5,9.0,0.0,0.0,0.0,0.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,5.0,9.0,13.0,18.0,2
PMID 20818862 a_Summary_SoE.pdf,control,0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.5,1.5,3.0,4.0,1.0,0.0,1.0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.5,8.0,10.0,11.0,2
PMID 20818862 a_Summary_SoE.pdf,intervention,0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.5,1.5,3.0,4.0,1.0,0.0,1.0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.5,8.0,10.0,11.0,2
PMID 20826719 a_Summary_SoE.pdf,control,0,0.0,1.0,1.0,1.5,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,4.0,2
PMID 20826719 a_Summary_SoE.pdf,intervention,0,0.0,1.0,1.0,1.5,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,4.0,2
PMID 21121833 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,7.0,8.0,9.0,2
PMID 21121833 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,7.0,8.0,9.0,2
PMID 21282542 CT_Summary_SoE.pdf,control,0,0.0,2.0,4.0,7.0,10.0,14.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,4.0,6.0,9.0,12.0,16.0,2
PMID 21282542 CT_Summary_SoE.pdf,intervention,0,0.0,2.0,4.0,7.0,10.0,14.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,4.0,6.0,9.0,12.0,16.0,2
PMID 21306237 a_Summary_SoE.pdf,control,0,0.0,1.0,2.0,3.5,5.0,7.0,1.0,0.5,1.0,2.0,2.5,3.5,0.0,1.5,2.0,2.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2
PMID 21306237 a_Summary_SoE.pdf,intervention,0,0.0,1.0,2.0,3.5,5.0,7.0,1.0,0.5,1.0,2.0,2.5,3.5,0.0,1.5,2.0,2.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2
PMID 21306238 a_Summary_SoE.pdf,control,0,0.0,1.5,2.5,4.0,5.5,7.5,1.0,0.0,0.5,1.0,1.5,2.0,0.0,1.5,2.0,3.0,4.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2
PMID 21306238 a_Summary_SoE.pdf,intervention,0,0.0,1.5,2.5,4.0,5.5,7.5,1.0,0.0,0.5,1.0,1.5,2.0,0.0,1.5,2.0,3.0,4.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2
PMID 21410393 a_Summary_SoE.pdf,control,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,5.0,2
PMID 21410393 a_Summary_SoE.pdf,intervention,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,5.0,2
PMID 21612468 a_Summary_SoE.pdf,control,0,0.0,1.5,1.5,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,1.5,4.5,6.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,10.0,13.0,17.0,2
PMID 21612468 a_Summary_SoE.pdf,intervention,0,0.0,1.5,1.5,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,1.5,4.5,6.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,10.0,13.0,17.0,2
PMID 21621716 CT_Summary_SoE.pdf,control,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,5.0,9.0,13.0,18.0,2
PMID 21621716 CT_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,5.0,9.0,13.0,18.0,2
PMID 21631324 a_Summary_SoE.pdf,control,0,0.0,11.5,27.0,47.5,65.5,71.5,1.0,0.0,0.5,1.5,3.0,4.5,1.0,3.0,5.5,9.0,13.5,18.0,0.0,1.0,2.0,3.0,4.5,6.5,2.0,15.5,35.0,61.0,86.5,100.5,2
PMID 21631324 a_Summary_SoE.pdf,intervention,0,0.0,12.5,29.0,50.5,70.0,77.5,1.0,0.0,0.5,1.5,3.0,4.5,1.0,3.0,5.5,9.0,13.5,18.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,15.5,35.0,61.0,86.5,100.5,2
PMID 21639808 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,6.0,10.0,14.0,19.0,2
PMID 21639808 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,6.0,10.0,14.0,19.0,2
PMID 21639810 a_Summary_SoE.pdf,control,0,0.0,2.0,5.5,9.5,10.5,11.5,1.0,0.0,0.5,1.5,2.5,3.5,0.5,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,8.0,13.0,15.0,17.0,2
PMID 21639810 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.5,9.5,10.5,11.5,1.0,0.0,0.5,1.5,2.5,3.5,0.5,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,8.0,13.0,15.0,17.0,2
PMID 21751904 a_Summary_SoE.pdf,control,0,0.0,21.5,37.0,37.0,37.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.5,37.5,38.5,39.5,40.5,2
PMID 21751904 a_Summary_SoE.pdf,intervention,0,0.0,1.0,25.0,39.5,39.5,39.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,25.0,40.0,41.0,42.0,2
PMID 21962393 CT_Summary_SoE.pdf,control,0,0.5,11.5,11.5,22.5,22.5,22.5,1.5,0.0,0.0,1.0,1.0,2.0,1.0,4.5,6.0,10.5,12.5,13.5,0.5,0.0,0.5,0.0,0.0,0.0,3.5,16.0,18.0,34.0,36.0,38.0,2
PMID 21962393 CT_Summary_SoE.pdf,intervention,0,0.5,11.5,11.5,13.0,13.0,13.0,1.5,0.0,0.0,1.0,1.0,2.0,1.0,4.5,9.0,14.0,20.0,21.0,0.5,0.0,0.0,0.0,0.0,0.0,3.5,16.0,20.5,28.0,34.0,36.0,2
PMID 21962393 CT_Summary_SoE.pdf,intervention,1,0.5,11.5,12.0,23.0,23.0,23.0,1.5,0.0,0.0,1.0,1.0,2.0,1.0,4.5,7.5,13.0,20.0,27.0,0.5,0.0,0.0,0.0,0.0,0.0,3.5,16.0,19.5,37.0,44.0,52.0,2
PMID 21990397 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,11.0,16.0,22.0,2
PMID 21990397 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,11.0,16.0,22.0,2
PMID 21991949 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,8.0,8.0,8.0,1.5,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.5,2.0,2.0,5.0,8.5,10.0,11.0,2
PMID 21991949 a_Summary_SoE.pdf,intervention,0,0.0,2.0,6.5,17.5,21.5,26.0,1.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.5,18.0,22.0,26.5,2
PMID 21991949 a_Summary_SoE.pdf,intervention,1,0.0,6.0,14.0,20.5,24.5,29.0,1.5,0.0,0.0,1.5,1.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,14.0,22.0,26.0,30.5,2
PMID 22025146 CT_Summary_SoE.pdf,control,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,8.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,9.0,11.5,2
PMID 22025146 CT_Summary_SoE.pdf,intervention,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,8.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,9.0,11.5,2
PMID 22119496 a_Summary_SoE.pdf,control,0,0.0,2.0,4.0,7.0,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2
PMID 22119496 a_Summary_SoE.pdf,intervention,0,0.0,2.0,4.0,7.0,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,15.0,2
PMID 22149875 a_Summary_SoE.pdf,control,0,0.0,3.0,6.0,10.0,14.0,19.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,2.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,16.0,20.0,25.0,2
PMID 22149875 a_Summary_SoE.pdf,intervention,0,0.0,3.0,6.0,10.0,14.0,19.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,2.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,16.0,20.0,25.0,2
PMID 22149876 a_Summary_SoE.pdf,control,0,0.0,2.0,3.0,4.0,5.0,6.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,9.0,11.0,2
PMID 22149876 a_Summary_SoE.pdf,intervention,0,0.0,2.0,3.0,4.0,5.0,6.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,9.0,11.0,2
PMID 22204724 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.5,1.0,1.5,2.0,1.0,3.0,8.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,13.5,22.0,26.5,32.0,2
PMID 22204724 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.5,1.0,1.5,2.0,1.0,3.0,8.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,13.5,22.0,26.5,32.0,2
PMID 22204724 a_Summary_SoE.pdf,intervention,1,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.0,0.5,1.0,1.5,2.0,1.0,3.0,8.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,13.5,22.0,26.5,32.0,2
PMID 22257673 a_Summary_SoE.pdf,intervention,0,0.0,1.5,7.5,12.0,15.5,20.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,2.0,8.5,13.5,17.0,21.5,2
PMID 22257673 a_Summary_SoE.pdf,intervention,1,0.0,2.0,8.0,12.5,17.0,21.5,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,2.0,8.5,13.5,18.0,22.5,2
PMID 22257673 a_Summary_SoE.pdf,intervention,2,0.0,2.0,8.0,12.5,17.0,21.5,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,2.0,8.5,13.5,18.0,22.5,2
PMID 22271472 a_Summary_SoE.pdf,control,0,0.0,2.0,32.0,32.0,32.0,32.0,0.5,0.0,1.0,1.5,2.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.0,2.0,33.0,35.0,35.5,36.0,2
PMID 22271472 a_Summary_SoE.pdf,intervention,0,0.0,2.0,32.0,32.0,32.0,32.0,0.5,0.0,1.0,1.5,2.0,2.5,0.5,3.0,3.0,5.5,8.0,10.5,0.0,0.0,0.0,1.5,1.5,1.5,1.0,5.0,36.0,40.5,43.5,46.5,2
PMID 22375970 a_Summary_SoE.pdf,control,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,2.0,3.0,4.0,0.5,1.5,2.5,3.5,4.5,5.5,0.0,1.5,2.5,3.5,3.5,3.5,2.0,3.0,6.0,9.0,11.0,13.0,2
PMID 22375970 a_Summary_SoE.pdf,intervention,0,0.0,0.5,0.5,0.5,0.5,0.5,1.5,1.0,2.0,3.0,4.0,5.0,0.5,2.0,3.0,4.0,5.0,6.0,0.0,0.5,1.5,2.5,2.5,2.5,2.0,4.0,7.0,10.0,12.0,14.0,2
PMID 22375971 a_Summary_SoE.pdf,control,0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.5,2.5,3.5,0.0,2.0,4.0,5.5,6.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,10.0,12.0,14.0,2
PMID 22375971 a_Summary_SoE.pdf,intervention,0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.5,2.5,3.5,0.0,2.0,4.0,5.5,6.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,10.0,12.0,14.0,2
PMID 22454414 a_Summary_SoE.pdf,control,0,0.0,2.0,5.0,9.0,13.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,5.0,9.0,13.0,18.0,2
PMID 22454414 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,9.0,13.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,5.0,9.0,13.0,18.0,2
PMID 22508813 a_Summary_SoE.pdf,control,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2
PMID 22508813 a_Summary_SoE.pdf,intervention,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2
PMID 22529265 a_Summary_SoE.pdf,control,0,0.0,4.0,9.0,15.0,19.0,24.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,9.5,15.5,19.5,24.5,2
PMID 22529265 a_Summary_SoE.pdf,intervention,0,0.0,4.0,9.0,15.0,19.0,24.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,9.5,15.5,19.5,24.5,2
PMID 22551107 a_Summary_SoE.pdf,control,0,0.0,6.0,9.0,13.0,17.0,22.0,1.0,0.0,1.0,2.5,3.0,3.5,0.0,0.5,1.5,3.0,4.0,4.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5,6.5,11.5,18.5,24.0,30.0,2
PMID 22551107 a_Summary_SoE.pdf,intervention,0,0.0,6.0,16.0,28.0,40.0,52.5,1.0,0.0,0.5,1.5,2.0,2.5,0.0,2.0,6.0,12.5,20.0,26.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,8.0,22.5,42.0,62.0,81.0,2
PMID 22564989 a_Summary_SoE.pdf,control,0,0.0,1.0,2.0,3.5,5.0,7.0,1.5,1.5,2.5,4.5,5.5,7.5,0.0,1.0,3.5,4.0,5.0,6.0,0.0,0.5,0.5,0.5,0.5,0.5,1.5,4.0,8.5,12.5,16.0,21.0,2
PMID 22564989 a_Summary_SoE.pdf,intervention,0,0.0,1.0,2.0,3.5,5.0,7.0,1.5,1.5,2.5,4.5,5.5,7.5,0.0,1.0,3.5,4.0,5.0,6.0,0.0,0.5,0.5,0.5,0.5,0.5,1.5,4.0,8.5,12.5,16.0,21.0,2
PMID 22571200 a_Summary_SoE.pdf,control,0,0.0,2.0,4.0,7.0,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,15.0,21.0,25.0,2
PMID 22571200 a_Summary_SoE.pdf,intervention,0,0.0,2.0,4.0,7.0,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,15.0,21.0,25.0,2
PMID 22571200 a_Summary_SoE.pdf,intervention,1,0.0,2.0,4.0,7.0,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,15.0,21.0,25.0,2
PMID 22571201 a_Summary_SoE.pdf,control,0,10.5,15.0,15.0,16.5,18.5,20.0,1.5,0.0,0.5,0.5,0.5,1.5,1.0,2.0,3.5,8.5,11.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,19.0,25.5,30.5,34.0,2
PMID 22571201 a_Summary_SoE.pdf,intervention,0,10.5,15.0,15.0,16.5,18.5,20.0,1.5,0.0,0.5,0.5,0.5,1.5,1.0,2.0,3.5,8.5,11.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,19.0,25.5,30.5,34.0,2
PMID 22585697 a_Summary_SoE.pdf,control,0,0.0,6.0,11.5,11.5,11.5,11.5,1.5,0.0,0.5,1.0,1.0,1.0,0.0,3.5,8.5,10.5,13.5,16.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,9.5,20.5,23.0,26.0,29.0,2
