filename,intervention_type,pos_idx,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,n_runs,arm_name,intensity_score,pmid,sponsor_binary,Funder,disease_site,Disease Stage,treatment_modality,start_year
PMID 20525995 a_Summary_SoE.pdf,intervention,0,2.0,3.0,5.0,6.0,7.0,8.0,0.0,3,Dasatinib (100 mg daily),0.6666666666666666,20525995,Industry,INDUSTRY,Heme,Hematologic,Other,2007
PMID 20570559 CT a_Summary_SoE.pdf,control,0,1.0,2.0,5.0,9.0,13.0,18.0,21.0,3,Placebo + Docetaxel,1.5,20570559,Industry,INDUSTRY,Thor,Metastatic,Targeted Therapy,2006
PMID 20570559 CT a_Summary_SoE.pdf,intervention,0,1.0,2.0,5.0,9.0,13.0,18.0,21.0,3,Vandetanib + Docetaxel,1.5,20570559,Industry,INDUSTRY,Thor,Metastatic,Targeted Therapy,2006
PMID 20818862 a_Summary_SoE.pdf,control,0,3.0,5.0,7.0,9.0,11.0,12.0,14.0,3,Arm B (Placebo),1.0,20818862,Industry,INDUSTRY,GU,Metastatic,Immunotherapy,2003
PMID 20818862 a_Summary_SoE.pdf,intervention,0,3.0,5.0,7.0,9.0,11.0,12.0,14.0,3,Arm A (Sipuleucel-T),1.0,20818862,Industry,INDUSTRY,GU,Metastatic,Immunotherapy,2003
PMID 20826719 a_Summary_SoE.pdf,control,0,2.0,1.0,1.0,3.0,3.0,4.0,0.0,3,Fluconazole,0.3333333333333333,20826719,Industry,OTHER,Heme,Hematologic,Other,2003
PMID 20826719 a_Summary_SoE.pdf,intervention,0,2.0,1.0,1.0,3.0,3.0,4.0,0.0,3,Voriconazole,0.3333333333333333,20826719,Industry,OTHER,Heme,Hematologic,Other,2003
PMID 21121833 a_Summary_SoE.pdf,control,0,2.0,2.0,5.0,7.0,8.0,9.0,21.0,3,Arm B (FAC),0.75,21121833,Non-Industry,OTHER,Breast,Non-metastatic,Chemotherapy,1999
PMID 21121833 a_Summary_SoE.pdf,intervention,0,2.0,2.0,5.0,7.0,8.0,9.0,21.0,3,Arm A (TAC),0.75,21121833,Non-Industry,OTHER,Breast,Non-metastatic,Chemotherapy,1999
PMID 21282542 CT_Summary_SoE.pdf,control,0,2.0,4.0,6.0,9.0,12.0,16.0,28.0,3,Arm B (Erlotinib / TARCEVA),1.3333333333333333,21282542,Industry,INDUSTRY,Thor,Metastatic,Targeted Therapy,2006
PMID 21282542 CT_Summary_SoE.pdf,intervention,0,2.0,4.0,6.0,9.0,12.0,16.0,28.0,3,Arm A (ZD6474 / ZACTIMA),1.3333333333333333,21282542,Industry,INDUSTRY,Thor,Metastatic,Targeted Therapy,2006
PMID 21306237 a_Summary_SoE.pdf,control,0,1.0,3.0,5.0,8.0,11.0,15.0,28.0,3,Arm B (Placebo),1.25,21306237,Industry,INDUSTRY,Other,Metastatic,Targeted Therapy,2007
PMID 21306237 a_Summary_SoE.pdf,intervention,0,1.0,3.0,5.0,8.0,11.0,15.0,28.0,3,Arm A (Sunitinib),1.25,21306237,Industry,INDUSTRY,Other,Metastatic,Targeted Therapy,2007
PMID 21306238 a_Summary_SoE.pdf,control,0,1.0,3.0,5.0,8.0,11.0,15.0,28.0,3,Arm B (Placebo plus best supportive care),1.25,21306238,Industry,INDUSTRY,GI,Metastatic,Targeted Therapy,2007
PMID 21306238 a_Summary_SoE.pdf,intervention,0,1.0,3.0,5.0,8.0,11.0,15.0,28.0,3,Arm A (RAD001 10 mg/d plus best supportive care),1.25,21306238,Industry,INDUSTRY,GI,Metastatic,Targeted Therapy,2007
PMID 21410393 a_Summary_SoE.pdf,control,0,2.0,1.0,1.0,2.0,3.0,5.0,45.5,3,Placebo,0.4166666666666667,21410393,Industry,OTHER,Thor,NS,Other,2006
PMID 21410393 a_Summary_SoE.pdf,intervention,0,2.0,1.0,1.0,2.0,3.0,5.0,45.5,3,Sirolimus (Rapamycin),0.4166666666666667,21410393,Industry,OTHER,Thor,NS,Other,2006
PMID 21612468 a_Summary_SoE.pdf,control,0,1.0,3.0,7.0,10.0,13.0,17.0,28.0,3,Arm B (Placebo + Prednisone),1.4166666666666667,21612468,Industry,INDUSTRY,GU,Metastatic,Endocrine,2008
PMID 21612468 a_Summary_SoE.pdf,intervention,0,1.0,3.0,7.0,10.0,13.0,17.0,28.0,3,Arm A (Abiraterone Acetate + Prednisone),1.4166666666666667,21612468,Industry,INDUSTRY,GU,Metastatic,Endocrine,2008
PMID 21621716 CT_Summary_SoE.pdf,control,0,2.0,2.0,5.0,9.0,13.0,18.0,21.0,3,Arm 1 (Tarceva + placebo),1.5,21621716,Industry,INDUSTRY,Thor,Metastatic,Targeted Therapy,2005
PMID 21621716 CT_Summary_SoE.pdf,intervention,0,2.0,2.0,5.0,9.0,13.0,18.0,21.0,3,Arm 2 (Tarceva + bevacizumab),1.5,21621716,Industry,INDUSTRY,Thor,Metastatic,Targeted Therapy,2005
PMID 21631324 a_Summary_SoE.pdf,control,0,2.0,16.0,33.0,67.0,97.0,103.0,21.0,3,Arm 2: High-dose IL-2 alone,8.583333333333334,21631324,Industry,NIH,Skin,Metastatic,Targeted Therapy,1999
PMID 21631324 a_Summary_SoE.pdf,intervention,0,2.0,16.0,33.0,67.0,97.0,103.0,21.0,3,Arm 1: gp100:209-217(210M) peptide vaccine + high-dose IL-2,8.583333333333334,21631324,Industry,NIH,Skin,Metastatic,Targeted Therapy,1999
PMID 21639808 a_Summary_SoE.pdf,control,0,2.0,3.0,6.0,10.0,14.0,19.0,21.0,3,Arm B (Dacarbazine),1.5833333333333333,21639808,Industry,INDUSTRY,Skin,Metastatic,Targeted Therapy,2010
PMID 21639808 a_Summary_SoE.pdf,intervention,0,2.0,3.0,6.0,10.0,14.0,19.0,21.0,3,Arm A (RO5185426),1.5833333333333333,21639808,Industry,INDUSTRY,Skin,Metastatic,Targeted Therapy,2010
PMID 21639810 a_Summary_SoE.pdf,control,0,2.0,2.0,8.0,13.0,15.0,17.0,21.0,3,Arm B (Placebo + Dacarbazine),1.4166666666666667,21639810,Industry,INDUSTRY,Skin,Metastatic,Immunotherapy,2006
PMID 21639810 a_Summary_SoE.pdf,intervention,0,2.0,2.0,8.0,13.0,15.0,17.0,21.0,3,Arm A (Ipilimumab + Dacarbazine),1.4166666666666667,21639810,Industry,INDUSTRY,Skin,Metastatic,Immunotherapy,2006
PMID 21751904 a_Summary_SoE.pdf,control,0,2.0,22.0,38.0,39.0,40.0,41.0,7.0,3,Arm 2 (Radiation Therapy Alone),3.4166666666666665,21751904,Non-Industry,NETWORK,GU,Non-metastatic,Endocrine,1994
PMID 21751904 a_Summary_SoE.pdf,intervention,0,2.0,1.0,24.0,40.0,41.0,42.0,28.0,3,Arm 1 (Neoadjuvant TAS + Radiation Therapy),3.5,21751904,Non-Industry,NETWORK,GU,Non-metastatic,Endocrine,1994
PMID 21962393 CT_Summary_SoE.pdf,control,0,3.0,15.0,24.0,34.0,35.0,36.0,14.0,3,Arm B2 (Auto-Auto + Observation),3.0,21962393,Non-Industry,NIH,Heme,Hematologic,Targeted Therapy,2003
PMID 21962393 CT_Summary_SoE.pdf,control,1,3.0,15.0,24.0,42.0,46.0,51.0,28.0,3,Arm B1 (Auto-Auto + Maintenance),4.25,21962393,Non-Industry,NIH,Heme,Hematologic,Targeted Therapy,2003
PMID 21962393 CT_Summary_SoE.pdf,intervention,0,3.0,15.0,24.0,35.0,44.0,45.0,14.0,3,Arm A (Auto-Allo: ASCT followed by NMSCT),3.75,21962393,Non-Industry,NIH,Heme,Hematologic,Targeted Therapy,2003
PMID 21990397 a_Summary_SoE.pdf,control,0,2.0,2.0,5.0,9.0,13.0,18.0,21.0,3,Arm B (Chemotherapy + Placebo),1.5,21990397,Industry,INDUSTRY,Breast,Metastatic,Targeted Therapy,2006
PMID 21990397 a_Summary_SoE.pdf,intervention,0,2.0,2.0,5.0,9.0,13.0,18.0,21.0,3,Arm A (Chemotherapy + Bevacizumab),1.5,21990397,Industry,INDUSTRY,Breast,Metastatic,Targeted Therapy,2006
PMID 21991949 a_Summary_SoE.pdf,control,0,2.0,2.0,5.0,8.0,10.0,11.0,21.0,3,AC→T (Doxorubicin and Cyclophosphamide followed by Docetaxel),0.9166666666666666,21991949,Industry,INDUSTRY,Breast,Non-metastatic,Chemotherapy,2001
PMID 21991949 a_Summary_SoE.pdf,intervention,0,2.0,2.0,6.0,18.0,22.0,26.0,21.0,3,AC→TH (Doxorubicin and Cyclophosphamide followed by Docetaxel and Trastuzumab),2.1666666666666665,21991949,Industry,INDUSTRY,Breast,Non-metastatic,Chemotherapy,2001
PMID 21991949 a_Summary_SoE.pdf,intervention,1,2.0,6.0,14.0,22.0,26.0,31.0,21.0,3,"TCH (Docetaxel, Carboplatin and Trastuzumab)",2.5833333333333335,21991949,Industry,INDUSTRY,Breast,Non-metastatic,Chemotherapy,2001
PMID 22025146 CT_Summary_SoE.pdf,control,0,1.0,3.0,5.0,6.0,7.0,8.0,84.0,3,Placebo,0.6666666666666666,22025146,Industry,INDUSTRY,HN,Metastatic,Targeted Therapy,2006
PMID 22025146 CT_Summary_SoE.pdf,intervention,0,1.0,3.0,5.0,6.0,7.0,8.0,84.0,3,Vandetanib 300 mg,0.6666666666666666,22025146,Industry,INDUSTRY,HN,Metastatic,Targeted Therapy,2006
PMID 22119496 a_Summary_SoE.pdf,control,0,1.0,3.0,5.0,8.0,11.0,15.0,28.0,3,Arm B (Placebo + Sandostatin LAR Depot),1.25,22119496,Industry,INDUSTRY,Other,Metastatic,Targeted Therapy,2006
PMID 22119496 a_Summary_SoE.pdf,intervention,0,1.0,3.0,5.0,8.0,11.0,15.0,28.0,3,Arm A (Everolimus 10 mg/d + Sandostatin LAR Depot),1.25,22119496,Industry,INDUSTRY,Other,Metastatic,Targeted Therapy,2006
PMID 22149875 a_Summary_SoE.pdf,control,0,2.0,5.0,10.0,16.0,20.0,25.0,21.0,3,Arm A (Placebo + Trastuzumab + Docetaxel),2.0833333333333335,22149875,Industry,INDUSTRY,Breast,Metastatic,Targeted Therapy,2008
PMID 22149875 a_Summary_SoE.pdf,intervention,0,2.0,5.0,10.0,16.0,20.0,25.0,21.0,3,Arm B (Pertuzumab + Trastuzumab + Docetaxel),2.0833333333333335,22149875,Industry,INDUSTRY,Breast,Metastatic,Targeted Therapy,2008
PMID 22149876 a_Summary_SoE.pdf,control,0,1.0,3.0,5.0,7.0,9.0,11.0,42.0,3,Arm B (Placebo + Exemestane),0.9166666666666666,22149876,Industry,INDUSTRY,Breast,Metastatic,Targeted Therapy,2009
PMID 22149876 a_Summary_SoE.pdf,intervention,0,1.0,3.0,5.0,7.0,9.0,11.0,42.0,3,Arm A (Everolimus + Exemestane),0.9166666666666666,22149876,Industry,INDUSTRY,Breast,Metastatic,Targeted Therapy,2009
PMID 22204724 a_Summary_SoE.pdf,control,0,2.0,5.0,13.0,21.0,25.0,30.0,21.0,3,Arm I (Standard Chemotherapy + Placebo),2.5,22204724,Industry,NIH,GYN,Metastatic,Targeted Therapy,2005
PMID 22204724 a_Summary_SoE.pdf,intervention,0,2.0,5.0,13.0,21.0,25.0,30.0,21.0,3,Arm II (Concurrent Bevacizumab + Placebo Maintenance),2.5,22204724,Industry,NIH,GYN,Metastatic,Targeted Therapy,2005
PMID 22204724 a_Summary_SoE.pdf,intervention,1,2.0,5.0,13.0,21.0,25.0,30.0,21.0,3,Arm III (Extended Bevacizumab),2.5,22204724,Industry,NIH,GYN,Metastatic,Targeted Therapy,2005
PMID 22257673 a_Summary_SoE.pdf,control,0,1.0,2.0,8.0,13.0,18.0,22.0,21.0,3,Trastuzumab alone,1.8333333333333333,22257673,Industry,INDUSTRY,Breast,Metastatic,Targeted Therapy,2008
PMID 22257673 a_Summary_SoE.pdf,intervention,0,1.0,2.0,8.0,13.0,17.0,21.0,21.0,3,Lapatinib alone,1.75,22257673,Industry,INDUSTRY,Breast,Metastatic,Targeted Therapy,2008
PMID 22257673 a_Summary_SoE.pdf,intervention,1,1.0,2.0,8.0,13.0,18.0,22.0,21.0,3,Lapatinib + Trastuzumab,1.8333333333333333,22257673,Industry,INDUSTRY,Breast,Metastatic,Targeted Therapy,2008
PMID 22271472 a_Summary_SoE.pdf,control,0,1.0,2.0,33.0,34.0,35.0,36.0,21.0,3,Arm A (Standard Treatment: Induction Chemo + Concurrent Chemoradiotherapy),3.0,22271472,Non-Industry,NIH,Thor,Metastatic,Targeted Therapy,2000
PMID 22271472 a_Summary_SoE.pdf,intervention,0,1.0,5.0,36.0,41.0,44.0,47.0,21.0,3,Arm B (Induction Chemo + Concurrent Chemoradiotherapy + Thalidomide),3.9166666666666665,22271472,Non-Industry,NIH,Thor,Metastatic,Targeted Therapy,2000
PMID 22375970 a_Summary_SoE.pdf,control,0,2.0,3.0,6.0,9.0,11.0,13.0,28.0,3,Best-available therapy (BAT),1.0833333333333333,22375970,Industry,INDUSTRY,Heme,Hematologic,Targeted Therapy,2009
PMID 22375970 a_Summary_SoE.pdf,intervention,0,2.0,4.0,7.0,10.0,12.0,14.0,28.0,3,INC424 (Ruxolitinib),1.1666666666666667,22375970,Industry,INDUSTRY,Heme,Hematologic,Targeted Therapy,2009
PMID 22375971 a_Summary_SoE.pdf,control,0,2.0,4.0,7.0,10.0,12.0,14.0,28.0,3,Placebo,1.1666666666666667,22375971,Industry,INDUSTRY,Heme,Hematologic,Targeted Therapy,2009
PMID 22375971 a_Summary_SoE.pdf,intervention,0,2.0,4.0,7.0,10.0,12.0,14.0,28.0,3,INCB018424,1.1666666666666667,22375971,Industry,INDUSTRY,Heme,Hematologic,Targeted Therapy,2009
PMID 22454414 a_Summary_SoE.pdf,control,0,3.0,2.0,5.0,9.0,13.0,18.0,21.0,3,Arm A (Docetaxel + Prednisone + Placebo),1.5,22454414,Industry,NIH,GU,Metastatic,Targeted Therapy,2005
PMID 22454414 a_Summary_SoE.pdf,intervention,0,3.0,2.0,5.0,9.0,13.0,18.0,21.0,3,Arm B (Docetaxel + Prednisone + Bevacizumab),1.5,22454414,Industry,NIH,GU,Metastatic,Targeted Therapy,2005
PMID 22508813 a_Summary_SoE.pdf,control,0,1.0,2.0,2.0,2.0,2.0,2.0,21.0,3,Matching Placebo,0.1666666666666666,22508813,Non-Industry,OTHER,Multiple,NS,Other,2008
PMID 22508813 a_Summary_SoE.pdf,intervention,0,1.0,2.0,2.0,2.0,2.0,2.0,21.0,3,Naproxen 500mg twice daily,0.1666666666666666,22508813,Non-Industry,OTHER,Multiple,NS,Other,2008
PMID 22529265 a_Summary_SoE.pdf,control,0,1.0,4.0,9.0,15.0,19.0,24.0,21.0,3,Arm B (Placebo + Carboplatin + Gemcitabine),2.0,22529265,Industry,INDUSTRY,GYN,Non-metastatic,Targeted Therapy,2007
PMID 22529265 a_Summary_SoE.pdf,intervention,0,1.0,4.0,9.0,15.0,19.0,24.0,21.0,3,Arm A (Bevacizumab + Carboplatin + Gemcitabine),2.0,22529265,Industry,INDUSTRY,GYN,Non-metastatic,Targeted Therapy,2007
PMID 22551107 a_Summary_SoE.pdf,control,0,1.0,7.0,12.0,19.0,25.0,32.0,21.0,3,"Arm B (Sz/M: Streptozotocin, Mitotane)",2.6666666666666665,22551107,Non-Industry,OTHER,Other,Metastatic,Chemotherapy,2004
PMID 22551107 a_Summary_SoE.pdf,intervention,0,1.0,8.0,23.0,42.0,60.0,78.0,28.0,3,"Arm A (EDP/M: Etoposide, Doxorubicin, Cisplatin, Mitotane)",6.5,22551107,Non-Industry,OTHER,Other,Metastatic,Chemotherapy,2004
PMID 22564989 a_Summary_SoE.pdf,control,0,1.0,3.0,8.0,12.0,15.0,19.0,28.0,3,Placebo + Erlotinib,1.5833333333333333,22564989,Industry,INDUSTRY,Thor,Metastatic,Targeted Therapy,2007
PMID 22564989 a_Summary_SoE.pdf,intervention,0,1.0,3.0,8.0,12.0,15.0,19.0,28.0,3,Sunitinib + Erlotinib,1.5833333333333333,22564989,Industry,INDUSTRY,Thor,Metastatic,Targeted Therapy,2007
PMID 22571200 a_Summary_SoE.pdf,control,0,1.0,5.0,9.0,15.0,21.0,25.0,28.0,3,Arm C (MP plus placebo induction followed by placebo maintenance),2.0833333333333335,22571200,Industry,INDUSTRY,Heme,Hematologic,Targeted Therapy,2007
PMID 22571200 a_Summary_SoE.pdf,intervention,0,1.0,5.0,9.0,15.0,21.0,25.0,28.0,3,Arm A (MPR induction followed by lenalidomide maintenance),2.0833333333333335,22571200,Industry,INDUSTRY,Heme,Hematologic,Targeted Therapy,2007
PMID 22571200 a_Summary_SoE.pdf,intervention,1,1.0,5.0,9.0,15.0,21.0,25.0,28.0,3,Arm B (MPR induction followed by placebo maintenance),2.0833333333333335,22571200,Industry,INDUSTRY,Heme,Hematologic,Targeted Therapy,2007
PMID 22571201 a_Summary_SoE.pdf,control,0,24.0,4.0,7.0,13.0,16.0,19.0,28.0,3,Arm B (Placebo),1.5833333333333333,22571201,Non-Industry,NIH,Heme,Hematologic,Targeted Therapy,2004
PMID 22571201 a_Summary_SoE.pdf,intervention,0,24.0,4.0,7.0,13.0,16.0,19.0,28.0,3,Arm A (CC-5013 / Lenalidomide),1.5833333333333333,22571201,Non-Industry,NIH,Heme,Hematologic,Targeted Therapy,2004
PMID 22585697 a_Summary_SoE.pdf,control,0,2.0,11.0,23.0,25.0,28.0,31.0,28.0,3,Arm A (Placebo + Intermediate Dose cytarabine [IDAC]),2.5833333333333335,22585697,Industry,INDUSTRY,Heme,Hematologic,Chemotherapy,2006
PMID 22585697 a_Summary_SoE.pdf,intervention,0,2.0,11.0,23.0,25.0,28.0,31.0,28.0,3,Arm B (Clofarabine + Intermediate Dose cytarabine [IDAC]),2.5833333333333335,22585697,Industry,INDUSTRY,Heme,Hematologic,Chemotherapy,2006
PMID 22663011 a_Summary_SoE.pdf,control,0,1.0,2.0,5.0,9.0,13.0,19.0,21.0,3,Arm B (Chemotherapy - Dacarbazine or Paclitaxel),1.5833333333333333,22663011,Industry,INDUSTRY,Skin,Metastatic,Other,2010
PMID 22663011 a_Summary_SoE.pdf,intervention,0,1.0,2.0,5.0,9.0,13.0,19.0,21.0,3,Arm A (GSK1120212 / Trametinib),1.5833333333333333,22663011,Industry,INDUSTRY,Skin,Metastatic,Other,2010
PMID 22663011 a_Summary_SoE.pdf,intervention,1,1.0,3.0,6.0,10.0,14.0,20.0,21.0,1,Arm C (Extension Arm - Crossover to GSK1120212),1.6666666666666667,22663011,Industry,INDUSTRY,Skin,Metastatic,Other,2010
PMID 22689805 a_Summary_SoE.pdf,control,0,1.0,11.0,39.0,76.0,110.0,144.0,28.0,3,Arm A (Supportive Care or Low-dose Cytarabine),12.0,22689805,Industry,INDUSTRY,Heme,Hematologic,Chemotherapy,2005
PMID 22689805 a_Summary_SoE.pdf,intervention,0,1.0,6.0,23.0,41.0,60.0,79.0,28.0,3,Arm B (Decitabine),6.583333333333333,22689805,Industry,INDUSTRY,Heme,Hematologic,Chemotherapy,2005
PMID 22735384 a_Summary_SoE.pdf,control,0,1.0,3.0,6.0,10.0,14.0,20.0,21.0,3,Arm B (DTIC),1.6666666666666667,22735384,Industry,INDUSTRY,Skin,Metastatic,Chemotherapy,2010
PMID 22735384 a_Summary_SoE.pdf,intervention,0,1.0,3.0,6.0,10.0,14.0,20.0,21.0,3,Arm A (GSK2118436),1.6666666666666667,22735384,Industry,INDUSTRY,Skin,Metastatic,Chemotherapy,2010
PMID 22808955 a_Summary_SoE.pdf,control,0,1.0,1.0,3.0,4.0,5.0,6.0,0.0,3,Expectant Management (Watchful Waiting),0.5,22808955,Non-Industry,FED,GU,Non-metastatic,Procedure,1994
PMID 22808955 a_Summary_SoE.pdf,intervention,0,1.0,1.0,3.0,4.0,5.0,6.0,0.0,3,Radical Prostatectomy,0.5,22808955,Non-Industry,FED,GU,Non-metastatic,Procedure,1994
PMID 22851564 a_Summary_SoE.pdf,control,0,2.0,5.0,13.0,21.0,25.0,30.0,21.0,3,Placebo + Gemcitabine + Cisplatin,2.5,22851564,Industry,INDUSTRY,Thor,Metastatic,Targeted Therapy,2007
PMID 22851564 a_Summary_SoE.pdf,intervention,0,2.0,5.0,13.0,21.0,25.0,30.0,21.0,3,Sorafenib + Gemcitabine + Cisplatin,2.5,22851564,Industry,INDUSTRY,Thor,Metastatic,Targeted Therapy,2007
PMID 22853014 a_Summary_SoE.pdf,control,0,1.0,2.0,4.0,7.0,10.0,14.0,28.0,3,Arm 1 (Anastrozole alone),1.1666666666666667,22853014,Non-Industry,NETWORK,Breast,Metastatic,Endocrine,2004
PMID 22853014 a_Summary_SoE.pdf,intervention,0,1.0,3.0,5.0,8.0,11.0,15.0,28.0,3,Arm 2 (Anastrozole and Fulvestrant),1.25,22853014,Non-Industry,NETWORK,Breast,Metastatic,Endocrine,2004
PMID 22894553 a_Summary_SoE.pdf,control,0,1.0,3.0,5.0,8.0,9.0,10.0,28.0,3,Arm B (Placebo),0.8333333333333334,22894553,Industry,INDUSTRY,GU,Metastatic,Endocrine,2009
PMID 22894553 a_Summary_SoE.pdf,intervention,0,1.0,3.0,5.0,8.0,9.0,10.0,28.0,3,Arm A (MDV3100),0.8333333333333334,22894553,Industry,INDUSTRY,GU,Metastatic,Endocrine,2009
PMID 22915657 a_Summary_SoE.pdf,control,0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1,"Arm 2: Granisetron + Dexamethasone (Day 1), Compazine + Placebo (Days 2 & 3)",0.0833333333333333,22915657,Non-Industry,OTHER,Other,Metastatic,Other,2006
PMID 22915657 a_Summary_SoE.pdf,intervention,0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,3,Arm 3 (Aprepitant + Palonosetron + Dexamethasone),0.0833333333333333,22915657,Non-Industry,OTHER,Other,Metastatic,Other,2006
PMID 22915657 a_Summary_SoE.pdf,intervention,1,1.0,1.0,1.0,1.0,1.0,1.0,21.0,3,Arm 1 (Palonosetron + Dexamethasone + Compazine),0.0833333333333333,22915657,Non-Industry,OTHER,Other,Metastatic,Other,2006
PMID 22915657 a_Summary_SoE.pdf,intervention,2,1.0,1.0,1.0,1.0,1.0,1.0,21.0,3,Arm 2 (Granisetron + Dexamethasone + Compazine),0.0833333333333333,22915657,Non-Industry,OTHER,Other,Metastatic,Other,2006
PMID 22915657 a_Summary_SoE.pdf,intervention,3,1.0,1.5,1.5,1.5,1.5,1.5,21.0,2,Arm 4 (Palonosetron + Dexamethasone + Compazine + Dexamethasone),0.125,22915657,Non-Industry,OTHER,Other,Metastatic,Other,2006
PMID 22949154 a_Summary_SoE.pdf,control,0,2.0,2.0,4.0,7.0,8.0,9.0,28.0,3,Arm 2 (Imatinib 400mg daily),0.75,22949154,Industry,INDUSTRY,Heme,Hematologic,Other,2008
PMID 22949154 a_Summary_SoE.pdf,intervention,0,2.0,2.0,4.0,7.0,8.0,9.0,28.0,3,Arm 1 (Bosutinib 500mg daily),0.75,22949154,Industry,INDUSTRY,Heme,Hematologic,Other,2008
PMID 22965961 a_Summary_SoE.pdf,control,0,1.0,4.0,8.0,14.0,21.0,28.0,14.0,3,Bevacizumab + FOLFOX (Arm C),2.3333333333333335,22965961,Industry,INDUSTRY,GI,Metastatic,Targeted Therapy,2006
PMID 22965961 a_Summary_SoE.pdf,intervention,0,1.0,4.0,8.0,14.0,21.0,28.0,14.0,3,Cediranib + FOLFOX (Arm A/B),2.3333333333333335,22965961,Industry,INDUSTRY,GI,Metastatic,Targeted Therapy,2006
PMID 22965962 a_Summary_SoE.pdf,control,0,2.0,4.0,9.0,18.0,26.0,36.0,21.0,3,Arm B (Placebo + Docetaxel),3.0,22965962,Industry,INDUSTRY,Thor,Metastatic,Chemotherapy,2007
