filename,nct,pos_idx,arm_name,tt_12mo,original_label,ctgov_label,ctgov_type,ctgov_label_text,confidence,match_status,n_pipeline_arms,n_ctgov_arms,label_flipped
PMID 20525993 a_Summary_SoE.pdf,NCT00471497,0,Arm A (Nilotinib 300 mg BID),11.0,intervention,intervention,EXPERIMENTAL,nilotinib 300mg bid (investigating arm),0.2,uncertain,3,3,False
PMID 20525993 a_Summary_SoE.pdf,NCT00471497,1,Arm B (Nilotinib 400 mg BID),11.0,intervention,intervention,EXPERIMENTAL,Nilotinb 400 mg bid (investigating arm),0.2,uncertain,3,3,False
PMID 20525995 a_Summary_SoE.pdf,NCT00481247,0,Imatinib (400 mg daily),8.0,control,control,ACTIVE_COMPARATOR,Imatinib,0.7,confident_2arm,2,2,False
PMID 20525995 a_Summary_SoE.pdf,NCT00481247,0,Dasatinib (100 mg daily),8.0,intervention,intervention,EXPERIMENTAL,Dasatinib,0.7,confident_2arm,2,2,False
PMID 20570559 CT a_Summary_SoE.pdf,NCT00312377,0,Placebo + Docetaxel,18.0,control,control,ACTIVE_COMPARATOR,1,0.5,confident_2arm,2,2,False
PMID 20570559 CT a_Summary_SoE.pdf,NCT00312377,0,Vandetanib + Docetaxel,18.0,intervention,intervention,EXPERIMENTAL,2,1.0,confident_2arm,2,2,False
PMID 20818862 a_Summary_SoE.pdf,NCT00065442,0,Arm B (Placebo),12.0,control,control,PLACEBO_COMPARATOR,APC-Placebo,0.833,confident_2arm,2,2,False
PMID 20818862 a_Summary_SoE.pdf,NCT00065442,0,Arm A (Sipuleucel-T),12.0,intervention,control,ACTIVE_COMPARATOR,Sipuleucel-T,1.0,confident_2arm,2,2,True
PMID 20826719 a_Summary_SoE.pdf,NCT00075803,0,Fluconazole,4.0,control,control,ACTIVE_COMPARATOR,Fluconazole,0.7,confident_2arm,2,2,False
PMID 20826719 a_Summary_SoE.pdf,NCT00075803,0,Voriconazole,4.0,intervention,intervention,EXPERIMENTAL,Voriconazole,0.7,confident_2arm,2,2,False
PMID 21121833 a_Summary_SoE.pdf,NCT00121992,0,Arm B (FAC),9.0,control,control,ACTIVE_COMPARATOR,Arm A: FAC,0.5,confident_2arm,2,2,False
PMID 21121833 a_Summary_SoE.pdf,NCT00121992,0,Arm A (TAC),9.0,intervention,intervention,EXPERIMENTAL,Arm B: TAC,0.5,confident_2arm,2,2,False
PMID 21282542 CT_Summary_SoE.pdf,NCT00364351,0,Arm B (Erlotinib / TARCEVA),16.0,control,control,ACTIVE_COMPARATOR,1,1.0,confident_2arm,2,2,False
PMID 21282542 CT_Summary_SoE.pdf,NCT00364351,0,Arm A (ZD6474 / ZACTIMA),16.0,intervention,intervention,EXPERIMENTAL,2,0.5,confident_2arm,2,2,False
PMID 21306237 a_Summary_SoE.pdf,NCT00428597,0,Arm B (Placebo),15.0,control,control,PLACEBO_COMPARATOR,B,1.0,confident_2arm,2,2,False
PMID 21306237 a_Summary_SoE.pdf,NCT00428597,0,Arm A (Sunitinib),15.0,intervention,intervention,EXPERIMENTAL,A,0.75,confident_2arm,2,2,False
PMID 21306238 a_Summary_SoE.pdf,NCT00510068,0,Arm B (Placebo plus best supportive care),15.0,control,control,PLACEBO_COMPARATOR,Placebo,0.5,confident_2arm,2,2,False
PMID 21306238 a_Summary_SoE.pdf,NCT00510068,0,Arm A (RAD001 10 mg/d plus best supportive care),15.0,intervention,intervention,EXPERIMENTAL,Everolimus 10 mg/day,0.5,confident_2arm,2,2,False
PMID 21410393 a_Summary_SoE.pdf,NCT00414648,0,Placebo,5.0,control,control,PLACEBO_COMPARATOR,Placebo Arm,1.0,confident_2arm,2,2,False
PMID 21410393 a_Summary_SoE.pdf,NCT00414648,0,Sirolimus (Rapamycin),5.0,intervention,intervention,EXPERIMENTAL,Active Agent (Sirolimus),0.5,confident_2arm,2,2,False
PMID 21612468 a_Summary_SoE.pdf,NCT00638690,0,Arm B (Placebo + Prednisone),17.0,control,control,PLACEBO_COMPARATOR,Placebo plus prednisone/prednisolone,0.727,confident_2arm,2,2,False
PMID 21612468 a_Summary_SoE.pdf,NCT00638690,0,Arm A (Abiraterone Acetate + Prednisone),17.0,intervention,intervention,EXPERIMENTAL,Abiraterone acetate plus prednisone/prednisolone,0.7,confident_2arm,2,2,False
PMID 21621716 CT_Summary_SoE.pdf,NCT00130728,0,Arm 1 (Tarceva + placebo),18.0,control,control,PLACEBO_COMPARATOR,erlotinib HCl + placebo,0.889,confident_2arm,2,2,False
PMID 21621716 CT_Summary_SoE.pdf,NCT00130728,0,Arm 2 (Tarceva + bevacizumab),18.0,intervention,intervention,EXPERIMENTAL,erlotinib HCl + bevacizumab,0.857,confident_2arm,2,2,False
PMID 21631324 a_Summary_SoE.pdf,NCT00019682,0,Arm 2: High-dose IL-2 alone,103.0,control,intervention,EXPERIMENTAL,Arm I (aldesleukin),0.5,confident_2arm,2,2,True
PMID 21631324 a_Summary_SoE.pdf,NCT00019682,0,Arm 1: gp100:209-217(210M) peptide vaccine + high-dose IL-2,103.0,intervention,intervention,EXPERIMENTAL,Arm II (gp100 antigen in Montanide IDA-51 and aldesleukin),0.5,confident_2arm,2,2,False
PMID 21639808 a_Summary_SoE.pdf,NCT01006980,0,Arm B (Dacarbazine),19.0,control,control,ACTIVE_COMPARATOR,Dacarbazine,1.0,confident_2arm,2,2,False
PMID 21639808 a_Summary_SoE.pdf,NCT01006980,0,Arm A (RO5185426),19.0,intervention,intervention,EXPERIMENTAL,Vemurafenib,0.5,confident_2arm,2,2,False
PMID 21639810 a_Summary_SoE.pdf,NCT00324155,0,Arm B (Placebo + Dacarbazine),17.0,control,control,ACTIVE_COMPARATOR,Arm B: Placebo and Dacarbazine,1.0,confident_2arm,2,2,False
PMID 21639810 a_Summary_SoE.pdf,NCT00324155,0,Arm A (Ipilimumab + Dacarbazine),17.0,intervention,intervention,EXPERIMENTAL,Arm A: Ipilimumab and Dacarbazine,1.0,confident_2arm,2,2,False
PMID 21751904 a_Summary_SoE.pdf,NCT00002597,0,Arm 2 (Radiation Therapy Alone),41.0,control,control,OTHER,Radiation therapy alone,0.5,confident_2arm,2,2,False
PMID 21751904 a_Summary_SoE.pdf,NCT00002597,0,Arm 1 (Neoadjuvant TAS + Radiation Therapy),42.0,intervention,intervention,EXPERIMENTAL,Neoadjuvant TAS + RT,0.5,confident_2arm,2,2,False
PMID 21962393 CT_Summary_SoE.pdf,NCT00075829,0,Arm B2 (Auto-Auto + Observation),36.0,control,control,ACTIVE_COMPARATOR,Auto transplants,0.0,uncertain,3,3,False
PMID 21962393 CT_Summary_SoE.pdf,NCT00075829,0,Arm A (Auto-Allo: ASCT followed by NMSCT),45.0,intervention,control,ACTIVE_COMPARATOR,Auto transplants plus Therapy,0.062,uncertain,3,3,True
PMID 21962393 CT_Summary_SoE.pdf,NCT00075829,1,Arm B1 (Auto-Auto + Maintenance),51.0,intervention,control,ACTIVE_COMPARATOR,Auto and Allo transplants,0.0,uncertain,3,3,True
PMID 21990397 a_Summary_SoE.pdf,NCT00281697,0,Arm B (Chemotherapy + Placebo),18.0,control,control,PLACEBO_COMPARATOR,Standard chemotherapy + placebo,1.0,confident_2arm,2,2,False
PMID 21990397 a_Summary_SoE.pdf,NCT00281697,0,Arm A (Chemotherapy + Bevacizumab),18.0,intervention,intervention,EXPERIMENTAL,Standard chemotherapy + bevacizumab,1.0,confident_2arm,2,2,False
PMID 21991949 a_Summary_SoE.pdf,NCT00021255,0,AC→T (Doxorubicin and Cyclophosphamide followed by Docetaxel),11.0,control,intervention,EXPERIMENTAL,Doxorubicin+Cyclophosphamide (AC) followed by Docetaxel (AC→T),1.0,confident,3,3,True
PMID 21991949 a_Summary_SoE.pdf,NCT00021255,0,AC→TH (Doxorubicin and Cyclophosphamide followed by Docetaxel and Trastuzumab),26.0,intervention,intervention,EXPERIMENTAL,AC followed by Docetaxel + Herceptin (AC→TH),1.0,confident,3,3,False
PMID 21991949 a_Summary_SoE.pdf,NCT00021255,1,"TCH (Docetaxel, Carboplatin and Trastuzumab)",31.0,intervention,intervention,EXPERIMENTAL,Docetaxel + Carboplatin + Herceptin (TCH),1.0,confident,3,3,False
PMID 22025146 CT_Summary_SoE.pdf,NCT00410761,0,Placebo,8.0,control,control,NO_INTERVENTION,1,0.5,confident_2arm,2,2,False
PMID 22025146 CT_Summary_SoE.pdf,NCT00410761,0,Vandetanib 300 mg,8.0,intervention,intervention,EXPERIMENTAL,2,0.75,confident_2arm,2,2,False
PMID 22119496 a_Summary_SoE.pdf,NCT00412061,0,Arm B (Placebo + Sandostatin LAR Depot),15.0,control,control,PLACEBO_COMPARATOR,Octreotide+ Placebo,0.455,confident_2arm,2,2,False
PMID 22119496 a_Summary_SoE.pdf,NCT00412061,0,Arm A (Everolimus 10 mg/d + Sandostatin LAR Depot),15.0,intervention,intervention,EXPERIMENTAL,Octreotide+ Everolimus,0.5,confident_2arm,2,2,False
PMID 22149875 a_Summary_SoE.pdf,NCT00567190,0,Arm A (Placebo + Trastuzumab + Docetaxel),25.0,control,control,PLACEBO_COMPARATOR,Placebo + Trastuzumab + Docetaxel,1.0,confident_2arm,2,2,False
PMID 22149875 a_Summary_SoE.pdf,NCT00567190,0,Arm B (Pertuzumab + Trastuzumab + Docetaxel),25.0,intervention,intervention,EXPERIMENTAL,Pertuzumab + Trastuzumab + Docetaxel,1.0,confident_2arm,2,2,False
PMID 22149876 a_Summary_SoE.pdf,NCT00863655,0,Arm B (Placebo + Exemestane),11.0,control,control,ACTIVE_COMPARATOR,Placebo + Exemestane,0.727,confident_2arm,2,2,False
PMID 22149876 a_Summary_SoE.pdf,NCT00863655,0,Arm A (Everolimus + Exemestane),11.0,intervention,intervention,EXPERIMENTAL,Everolimus + Exemestane,1.0,confident_2arm,2,2,False
PMID 22204724 a_Summary_SoE.pdf,NCT00262847,0,Arm I (Standard Chemotherapy + Placebo),30.0,control,control,ACTIVE_COMPARATOR,"Arm I (placebo, paclitaxel, carboplatin)",0.278,uncertain,3,3,False
PMID 22204724 a_Summary_SoE.pdf,NCT00262847,0,Arm II (Concurrent Bevacizumab + Placebo Maintenance),30.0,intervention,intervention,EXPERIMENTAL,"Arm II (placebo, paclitaxel, carboplatin, bevacizumab)",0.364,uncertain,3,3,False
PMID 22204724 a_Summary_SoE.pdf,NCT00262847,1,Arm III (Extended Bevacizumab),30.0,intervention,intervention,EXPERIMENTAL,"Arm III (paclitaxel, carboplatin, bevacizumab)",0.188,uncertain,3,3,False
PMID 22257673 a_Summary_SoE.pdf,NCT00553358,0,Lapatinib alone,21.0,intervention,intervention,EXPERIMENTAL,Arm 1 Lapatinib,0.5,confident,3,3,False
PMID 22257673 a_Summary_SoE.pdf,NCT00553358,1,Trastuzumab alone,22.0,intervention,control,ACTIVE_COMPARATOR,Arm 2 Trastuzumab,0.5,confident,3,3,True
PMID 22257673 a_Summary_SoE.pdf,NCT00553358,2,Lapatinib + Trastuzumab,22.0,intervention,intervention,EXPERIMENTAL,Arm 3 Lapatinib plus Trastuzumab,0.667,confident,3,3,False
PMID 22271472 a_Summary_SoE.pdf,NCT00004859,0,Arm A (Standard Treatment: Induction Chemo + Concurrent Chemoradiotherapy),36.0,control,control,ACTIVE_COMPARATOR,Arm A (Paclitaxel + Carboplatin + RT),0.5,confident_2arm,2,2,False
PMID 22271472 a_Summary_SoE.pdf,NCT00004859,0,Arm B (Induction Chemo + Concurrent Chemoradiotherapy + Thalidomide),47.0,intervention,intervention,EXPERIMENTAL,Arm B (Paclitaxel + Carboplatin + RT+ Thalidomide),0.5,confident_2arm,2,2,False
PMID 22375970 a_Summary_SoE.pdf,NCT00934544,0,Best-available therapy (BAT),13.0,control,control,ACTIVE_COMPARATOR,Best Available Therapy (BAT),0.7,confident_2arm,2,2,False
PMID 22375970 a_Summary_SoE.pdf,NCT00934544,0,INC424 (Ruxolitinib),14.0,intervention,intervention,EXPERIMENTAL,Ruxolitinib,0.75,confident_2arm,2,2,False
PMID 22375971 a_Summary_SoE.pdf,NCT00952289,0,Placebo,14.0,control,control,PLACEBO_COMPARATOR,Placebo,0.625,confident_2arm,2,2,False
PMID 22375971 a_Summary_SoE.pdf,NCT00952289,0,INCB018424,14.0,intervention,intervention,EXPERIMENTAL,Ruxolitinib,0.5,confident_2arm,2,2,False
PMID 22454414 a_Summary_SoE.pdf,NCT00110214,0,Arm A (Docetaxel + Prednisone + Placebo),18.0,control,intervention,EXPERIMENTAL,Arm I,0.786,confident_2arm,2,2,True
PMID 22454414 a_Summary_SoE.pdf,NCT00110214,0,Arm B (Docetaxel + Prednisone + Bevacizumab),18.0,intervention,intervention,EXPERIMENTAL,Arm II,0.75,confident_2arm,2,2,False
PMID 22508813 a_Summary_SoE.pdf,NCT00602420,0,Matching Placebo,2.0,control,control,PLACEBO_COMPARATOR,Placebo,0.833,confident_2arm,2,2,False
PMID 22508813 a_Summary_SoE.pdf,NCT00602420,0,Naproxen 500mg twice daily,2.0,intervention,intervention,EXPERIMENTAL,Naproxen,0.5,confident_2arm,2,2,False
PMID 22529265 a_Summary_SoE.pdf,NCT00434642,0,Arm B (Placebo + Carboplatin + Gemcitabine),24.0,control,control,ACTIVE_COMPARATOR,Carboplatin and gemcitabine + placebo,1.0,confident_2arm,2,2,False
PMID 22529265 a_Summary_SoE.pdf,NCT00434642,0,Arm A (Bevacizumab + Carboplatin + Gemcitabine),24.0,intervention,intervention,EXPERIMENTAL,Carboplatin and gemcitabine + bevacizumab,1.0,confident_2arm,2,2,False
PMID 22551107 a_Summary_SoE.pdf,NCT00094497,0,"Arm B (Sz/M: Streptozotocin, Mitotane)",32.0,control,control,ACTIVE_COMPARATOR,Sz-M,0.7,confident_2arm,2,2,False
PMID 22551107 a_Summary_SoE.pdf,NCT00094497,0,"Arm A (EDP/M: Etoposide, Doxorubicin, Cisplatin, Mitotane)",78.0,intervention,control,ACTIVE_COMPARATOR,EDP-M,1.0,confident_2arm,2,2,True
PMID 22564989 a_Summary_SoE.pdf,NCT00457392,0,Placebo + Erlotinib,19.0,control,control,ACTIVE_COMPARATOR,2,1.0,confident_2arm,2,2,False
PMID 22564989 a_Summary_SoE.pdf,NCT00457392,0,Sunitinib + Erlotinib,19.0,intervention,intervention,EXPERIMENTAL,1,1.0,confident_2arm,2,2,False
PMID 22571200 a_Summary_SoE.pdf,NCT00405756,0,Arm C (MP plus placebo induction followed by placebo maintenance),25.0,control,intervention,OTHER,MPp+p,0.013,uncertain,3,3,True
PMID 22571200 a_Summary_SoE.pdf,NCT00405756,0,Arm A (MPR induction followed by lenalidomide maintenance),25.0,intervention,intervention,EXPERIMENTAL,MPR+R,0.158,uncertain,3,3,False
PMID 22571200 a_Summary_SoE.pdf,NCT00405756,1,Arm B (MPR induction followed by placebo maintenance),25.0,intervention,intervention,EXPERIMENTAL,MPR+p,0.333,uncertain,3,3,False
PMID 22571201 a_Summary_SoE.pdf,NCT00114101,0,Arm B (Placebo),19.0,control,control,PLACEBO_COMPARATOR,"Arm II (melphalan, autologous PBSCT, placebo)",0.5,confident_2arm,2,2,False
PMID 22571201 a_Summary_SoE.pdf,NCT00114101,0,Arm A (CC-5013 / Lenalidomide),19.0,intervention,intervention,EXPERIMENTAL,"Arm I (melphalan, autologous PBSCT, lenalidomide)",0.5,confident_2arm,2,2,False
PMID 22585697 a_Summary_SoE.pdf,NCT00317642,0,Arm A (Placebo + Intermediate Dose cytarabine [IDAC]),31.0,control,intervention,EXPERIMENTAL,placebo and cytarabine,0.8,confident_2arm,2,2,True
PMID 22585697 a_Summary_SoE.pdf,NCT00317642,0,Arm B (Clofarabine + Intermediate Dose cytarabine [IDAC]),31.0,intervention,intervention,EXPERIMENTAL,clofarabine (IV formulation) and cytarabine,0.571,confident_2arm,2,2,False
PMID 22663011 a_Summary_SoE.pdf,NCT01245062,0,Arm B (Chemotherapy - Dacarbazine or Paclitaxel),19.0,control,control,ACTIVE_COMPARATOR,Chemotherapy,0.143,uncertain,3,3,False
PMID 22663011 a_Summary_SoE.pdf,NCT01245062,0,Arm A (GSK1120212 / Trametinib),19.0,intervention,intervention,EXPERIMENTAL,GSK1120212,0.25,uncertain,3,3,False
PMID 22663011 a_Summary_SoE.pdf,NCT01245062,1,Arm C (Extension Arm - Crossover to GSK1120212),20.0,intervention,intervention,EXPERIMENTAL,Crossover,0.367,uncertain,3,3,False
PMID 22689805 a_Summary_SoE.pdf,NCT00260832,0,Arm A (Supportive Care or Low-dose Cytarabine),144.0,control,intervention,EXPERIMENTAL,A,1.0,confident_2arm,2,2,True
PMID 22689805 a_Summary_SoE.pdf,NCT00260832,0,Arm B (Decitabine),79.0,intervention,control,ACTIVE_COMPARATOR,B,0.75,confident_2arm,2,2,True
PMID 22735384 a_Summary_SoE.pdf,NCT01227889,0,Arm B (DTIC),20.0,control,control,ACTIVE_COMPARATOR,Dacarbazine (DTIC),0.8,count_mismatch,2,3,False
PMID 22735384 a_Summary_SoE.pdf,NCT01227889,0,Arm A (GSK2118436),20.0,intervention,intervention,EXPERIMENTAL,GSK2118436,0.5,count_mismatch,2,3,False
PMID 22808955 a_Summary_SoE.pdf,NCT00007644,0,Expectant Management (Watchful Waiting),6.0,control,control,NO_INTERVENTION,Watchful Waiting,0.5,confident_2arm,2,2,False
PMID 22808955 a_Summary_SoE.pdf,NCT00007644,0,Radical Prostatectomy,6.0,intervention,control,OTHER,Radical Prostatectomy,0.5,confident_2arm,2,2,True
PMID 22851564 a_Summary_SoE.pdf,NCT00449033,0,Placebo + Gemcitabine + Cisplatin,30.0,control,control,PLACEBO_COMPARATOR,Placebo + GC,1.0,confident_2arm,2,2,False
PMID 22851564 a_Summary_SoE.pdf,NCT00449033,0,Sorafenib + Gemcitabine + Cisplatin,30.0,intervention,intervention,EXPERIMENTAL,"Sorafenib (Nexavar, BAY43-9006) + GC",0.9,confident_2arm,2,2,False
PMID 22853014 a_Summary_SoE.pdf,NCT00075764,0,Arm 1 (Anastrozole alone),14.0,control,control,ACTIVE_COMPARATOR,Arm I,1.0,confident_2arm,2,2,False
PMID 22853014 a_Summary_SoE.pdf,NCT00075764,0,Arm 2 (Anastrozole and Fulvestrant),15.0,intervention,intervention,EXPERIMENTAL,Arm II,1.0,confident_2arm,2,2,False
PMID 22894553 a_Summary_SoE.pdf,NCT00974311,0,Arm B (Placebo),10.0,control,control,PLACEBO_COMPARATOR,Placebo,1.0,confident_2arm,2,2,False
PMID 22894553 a_Summary_SoE.pdf,NCT00974311,0,Arm A (MDV3100),10.0,intervention,intervention,EXPERIMENTAL,Enzalutamide,0.5,confident_2arm,2,2,False
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,0,Arm 3 (Aprepitant + Palonosetron + Dexamethasone),1.0,control,control,ACTIVE_COMPARATOR,Arm III,0.338,count_mismatch,5,4,False
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,1,"Arm 2: Granisetron + Dexamethasone (Day 1), Compazine + Placebo (Days 2 & 3)",1.0,control,intervention,EXPERIMENTAL,Arm II,0.533,count_mismatch,5,4,True
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,0,Arm 1 (Palonosetron + Dexamethasone + Compazine),1.0,intervention,control,ACTIVE_COMPARATOR,Arm I,0.133,count_mismatch,5,4,True
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,1,Arm 2 (Granisetron + Dexamethasone + Compazine),1.0,intervention,intervention,,,0.0,count_mismatch_leftover,5,4,False
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,2,Arm 4 (Palonosetron + Dexamethasone + Compazine + Dexamethasone),1.5,intervention,intervention,EXPERIMENTAL,Arm IV,0.133,count_mismatch,5,4,False
PMID 22949154 a_Summary_SoE.pdf,NCT00574873,0,Arm 2 (Imatinib 400mg daily),9.0,control,control,ACTIVE_COMPARATOR,2,0.5,confident_2arm,2,2,False
PMID 22949154 a_Summary_SoE.pdf,NCT00574873,0,Arm 1 (Bosutinib 500mg daily),9.0,intervention,intervention,EXPERIMENTAL,1,0.5,confident_2arm,2,2,False
PMID 22965961 a_Summary_SoE.pdf,NCT00384176,0,Bevacizumab + FOLFOX (Arm C),28.0,control,control,ACTIVE_COMPARATOR,1,0.5,confident_2arm,2,2,False
PMID 22965961 a_Summary_SoE.pdf,NCT00384176,0,Cediranib + FOLFOX (Arm A/B),28.0,intervention,intervention,EXPERIMENTAL,2,0.5,confident_2arm,2,2,False
PMID 22965962 a_Summary_SoE.pdf,NCT00532155,0,Arm B (Placebo + Docetaxel),36.0,control,control,PLACEBO_COMPARATOR,Placebo/Docetaxel,0.533,confident_2arm,2,2,False
PMID 22965962 a_Summary_SoE.pdf,NCT00532155,0,Arm A (Aflibercept + Docetaxel),36.0,intervention,intervention,EXPERIMENTAL,Aflibercept/Docetaxel,0.5,confident_2arm,2,2,False
PMID 22965965 a_Summary_SoE.pdf,NCT00399035,0,"Placebo + XELOX (Arms C, E)",20.0,control,control,PLACEBO_COMPARATOR,Xelox + placebo Cediranib,0.375,uncertain,4,4,False
PMID 22965965 a_Summary_SoE.pdf,NCT00399035,1,"Placebo + FOLFOX (Arms C, E)",28.0,control,control,PLACEBO_COMPARATOR,FOLFOX + placebo Cediranib,0.316,uncertain,4,4,False
PMID 22965965 a_Summary_SoE.pdf,NCT00399035,0,"Cediranib + XELOX (Arms A, B, D)",20.0,intervention,intervention,EXPERIMENTAL,XELOX + Cediranib,0.364,uncertain,4,4,False
PMID 22965965 a_Summary_SoE.pdf,NCT00399035,1,"Cediranib + FOLFOX (Arms A, B, D)",28.0,intervention,intervention,EXPERIMENTAL,FOLFOX + Cediranib,0.286,uncertain,4,4,False
PMID 22987089 a_Summary_SoE.pdf,NCT00091169,0,Arm B (Placebo),3.0,control,control,PLACEBO_COMPARATOR,Arm II,1.0,confident_2arm,2,2,False
PMID 22987089 a_Summary_SoE.pdf,NCT00091169,0,Arm A (Levocarnitine),3.0,intervention,intervention,EXPERIMENTAL,Arm I,0.7,confident_2arm,2,2,False
PMID 23075175 a_Summary_SoE.pdf,NCT00075816,0,Arm B (Marrow Transplantation),29.0,control,control,ACTIVE_COMPARATOR,Bone Marrow Transplant,0.5,confident_2arm,2,2,False
PMID 23075175 a_Summary_SoE.pdf,NCT00075816,0,Arm A (PBSC Transplantation),29.0,intervention,control,ACTIVE_COMPARATOR,Blood Stem Cell Transplant,0.5,confident_2arm,2,2,True
PMID 23177515 a_Summary_SoE.pdf,NCT01271712,0,Placebo,0.0,control,control,PLACEBO_COMPARATOR,Placebo,0.714,confident_2arm,2,2,False
PMID 23177515 a_Summary_SoE.pdf,NCT01271712,0,Regorafenib,0.0,intervention,intervention,EXPERIMENTAL,"Regorafenib (Stivarga, BAY73-4506)",0.5,confident_2arm,2,2,False
PMID 23228172 a_Summary_SoE.pdf,NCT00887198,0,Arm B (Placebo + Prednisone),17.0,control,control,PLACEBO_COMPARATOR,Placebo + prednisone,1.0,confident_2arm,2,2,False
PMID 23228172 a_Summary_SoE.pdf,NCT00887198,0,Arm A (Abiraterone Acetate + Prednisone),17.0,intervention,intervention,EXPERIMENTAL,Abiraterone + prednisone,1.0,confident_2arm,2,2,False
PMID 23234763 a_Summary_SoE.pdf,NCT00374322,0,Placebo,1.0,control,control,PLACEBO_COMPARATOR,Placebo,1.0,confident_2arm,2,2,False
PMID 23234763 a_Summary_SoE.pdf,NCT00374322,0,Lapatinib,1.0,intervention,intervention,EXPERIMENTAL,Lapatinib,1.0,confident_2arm,2,2,False
PMID 23248256 a_Summary_SoE.pdf,NCT00110019,0,Arm 1 (Carboplatin and Paclitaxel plus Placebo),18.0,control,control,ACTIVE_COMPARATOR,"Arm II (carboplatin, paclitaxel, placebo)",0.733,confident_2arm,2,2,False
PMID 23248256 a_Summary_SoE.pdf,NCT00110019,0,Arm 2 (Carboplatin and Paclitaxel plus Sorafenib),18.0,intervention,intervention,EXPERIMENTAL,"Arm I (paclitaxel, carboplatin, sorafenib tosylate)",0.643,confident_2arm,2,2,False
PMID 23295789 a_Summary_SoE.pdf,NCT00210353,0,Arm A (Chlorambucil alone),18.0,control,control,ACTIVE_COMPARATOR,ARM A,0.75,confident,3,3,False
PMID 23295789 a_Summary_SoE.pdf,NCT00210353,0,Arm B (Chlorambucil plus Rituximab),19.0,intervention,intervention,EXPERIMENTAL,ARM B,1.0,confident,3,3,False
PMID 23295789 a_Summary_SoE.pdf,NCT00210353,1,Arm C (Rituximab alone),19.0,intervention,intervention,EXPERIMENTAL,ARM C (Since April 2006),0.6,confident,3,3,False
PMID 23295793 a_Summary_SoE.pdf,NCT00106691,0,Arm B (Placebo),4.0,control,intervention,EXPERIMENTAL,Placebo,1.0,confident_2arm,2,2,True
PMID 23295793 a_Summary_SoE.pdf,NCT00106691,0,Arm A (Toremifene Citrate 20 mg),4.0,intervention,intervention,EXPERIMENTAL,20 mg Toremifene Citrate,0.7,confident_2arm,2,2,False
