filename,pmid,arm_name,pubmed_designation,evidence,abstract_states_roles,design_summary
PMID 22257673 a_Summary_SoE.pdf,22257673,Lapatinib alone,intervention,the two anti-HER2 agents given together would be better than single-agent therapy,True,established monotherapy comparator vs experimental dual blockade
PMID 22257673 a_Summary_SoE.pdf,22257673,Trastuzumab alone,control,pCR rate was significantly higher in the group given lapatinib and trastuzumab ... than in the group given trastuzumab alone,True,established monotherapy comparator vs experimental dual blockade
PMID 22257673 a_Summary_SoE.pdf,22257673,Lapatinib + Trastuzumab,intervention,pCR rate was significantly higher in the group given lapatinib and trastuzumab,True,established monotherapy comparator vs experimental dual blockade
PMID 22454414 a_Summary_SoE.pdf,22454414,Arm A (Docetaxel + Prednisone + Placebo),control,docetaxel ... plus prednisone ... (DP) with either bevacizumab ... or placebo,True,placebo-controlled add-on
PMID 22454414 a_Summary_SoE.pdf,22454414,Arm B (Docetaxel + Prednisone + Bevacizumab),intervention,evaluate the addition of bevacizumab to standard docetaxel and prednisone therapy,True,placebo-controlled add-on
PMID 22551107 a_Summary_SoE.pdf,22551107,"Arm B (Sz/M: Streptozotocin, Mitotane)",unresolved,,False,"head-to-head of two combination regimens, no SOC labeled"
PMID 22551107 a_Summary_SoE.pdf,22551107,"Arm A (EDP/M: Etoposide, Doxorubicin, Cisplatin, Mitotane)",unresolved,,False,"head-to-head of two combination regimens, no SOC labeled"
PMID 22571200 a_Summary_SoE.pdf,22571200,Arm C (MP plus placebo induction followed by placebo maintenance),control,melphalan-prednisone (MP) followed by placebo in patients 65 years of age or older,True,standard backbone vs experimental add-on (lenalidomide)
PMID 22571200 a_Summary_SoE.pdf,22571200,Arm A (MPR induction followed by lenalidomide maintenance),intervention,median progression-free survival was significantly longer with MPR-R (31 months) than with MPR ... or MP,True,standard backbone vs experimental add-on (lenalidomide)
PMID 22571200 a_Summary_SoE.pdf,22571200,Arm B (MPR induction followed by placebo maintenance),intervention,Response rates were superior with MPR-R and MPR ... vs. 50% with MP,True,standard backbone vs experimental add-on (lenalidomide)
PMID 22585697 a_Summary_SoE.pdf,22585697,Arm A (Placebo + Intermediate Dose cytarabine [IDAC]),control,Patients were randomly assigned to receive either clofarabine (Clo) 40 mg/m(2) or a placebo followed by Ara-C,True,placebo-controlled add-on
PMID 22585697 a_Summary_SoE.pdf,22585697,Arm B (Clofarabine + Intermediate Dose cytarabine [IDAC]),intervention,Clo+Ara-C significantly improved response rates and EFS,True,placebo-controlled add-on
PMID 22663011 a_Summary_SoE.pdf,22663011,Arm B (Chemotherapy - Dacarbazine or Paclitaxel),control,randomly assigned 322 patients ... to receive either trametinib ... or chemotherapy in a 2:1 ratio,True,chemo comparator vs experimental MEK inhibitor (with crossover arm)
PMID 22663011 a_Summary_SoE.pdf,22663011,Arm A (GSK1120212 / Trametinib),intervention,"Trametinib, as compared with chemotherapy, improved rates of progression-free and overall survival",True,chemo comparator vs experimental MEK inhibitor (with crossover arm)
PMID 22663011 a_Summary_SoE.pdf,22663011,Arm C (Extension Arm - Crossover to GSK1120212),intervention,Patients in the chemotherapy group who had disease progression were permitted to cross over to receive trametinib,True,chemo comparator vs experimental MEK inhibitor (with crossover arm)
PMID 22689805 a_Summary_SoE.pdf,22689805,Arm A (Supportive Care or Low-dose Cytarabine),control,compared the efficacy and safety of decitabine with treatment choice (TC),True,standard treatment-choice comparator vs experimental agent
PMID 22689805 a_Summary_SoE.pdf,22689805,Arm B (Decitabine),intervention,decitabine improved response rates compared with standard therapies,True,standard treatment-choice comparator vs experimental agent
PMID 22735384 a_Summary_SoE.pdf,22735384,Arm B (DTIC),control,randomly assigned (3:1) to receive dabrafenib ... or dacarbazine,True,standard chemo comparator vs experimental targeted agent
PMID 22735384 a_Summary_SoE.pdf,22735384,Arm A (GSK2118436),intervention,Dabrafenib significantly improved progression-free survival compared with dacarbazine,True,standard chemo comparator vs experimental targeted agent
PMID 22808955 a_Summary_SoE.pdf,22808955,Expectant Management (Watchful Waiting),control,"radical prostatectomy did not significantly reduce all-cause or prostate-cancer mortality, as compared with observation",True,observation/watchful-waiting vs active surgery
PMID 22808955 a_Summary_SoE.pdf,22808955,Radical Prostatectomy,intervention,The effectiveness of surgery versus observation for men with localized prostate cancer ... is not known,True,observation/watchful-waiting vs active surgery
PMID 22915657 a_Summary_SoE.pdf,22915657,Arm 3 (Aprepitant + Palonosetron + Dexamethasone),unresolved,,False,"comparative-effectiveness antiemetic trial, no intervention/control framing"
PMID 22915657 a_Summary_SoE.pdf,22915657,"Arm 2: Granisetron + Dexamethasone (Day 1), Compazine + Placebo (Days 2 & 3)",unresolved,,False,"comparative-effectiveness antiemetic trial, no intervention/control framing"
PMID 22915657 a_Summary_SoE.pdf,22915657,Arm 1 (Palonosetron + Dexamethasone + Compazine),unresolved,,False,"comparative-effectiveness antiemetic trial, no intervention/control framing"
PMID 22915657 a_Summary_SoE.pdf,22915657,Arm 2 (Granisetron + Dexamethasone + Compazine),unresolved,,False,"comparative-effectiveness antiemetic trial, no intervention/control framing"
PMID 22915657 a_Summary_SoE.pdf,22915657,Arm 4 (Palonosetron + Dexamethasone + Compazine + Dexamethasone),unresolved,,False,"comparative-effectiveness antiemetic trial, no intervention/control framing"
PMID 22965965 a_Summary_SoE.pdf,22965965,"Placebo + XELOX (Arms C, E)",control,FOLFOX/CAPOX with or without cediranib ... cediranib (20 or 30 mg per day) or placebo plus FOLFOX/CAPOX,True,placebo-controlled add-on
PMID 22965965 a_Summary_SoE.pdf,22965965,"Placebo + FOLFOX (Arms C, E)",control,cediranib (20 or 30 mg per day) or placebo plus FOLFOX/CAPOX,True,placebo-controlled add-on
PMID 22965965 a_Summary_SoE.pdf,22965965,"Cediranib + XELOX (Arms A, B, D)",intervention,The addition of cediranib to FOLFOX/CAPOX resulted in PFS prolongation,True,placebo-controlled add-on
PMID 22965965 a_Summary_SoE.pdf,22965965,"Cediranib + FOLFOX (Arms A, B, D)",intervention,The addition of cediranib to FOLFOX/CAPOX resulted in PFS prolongation,True,placebo-controlled add-on
PMID 23075175 a_Summary_SoE.pdf,23075175,Arm B (Marrow Transplantation),unresolved,,False,"head-to-head of two graft sources, no SOC labeled"
PMID 23075175 a_Summary_SoE.pdf,23075175,Arm A (PBSC Transplantation),unresolved,,False,"head-to-head of two graft sources, no SOC labeled"
PMID 23295793 a_Summary_SoE.pdf,23295793,Arm B (Placebo),control,randomly assigned 1:1 to receive toremifene citrate 20 mg or placebo,True,placebo-controlled prevention
PMID 23295793 a_Summary_SoE.pdf,23295793,Arm A (Toremifene Citrate 20 mg),intervention,We evaluated the efficacy of toremifene citrate 20 mg in PCa prevention,True,placebo-controlled prevention
PMID 23358971 a_Summary_SoE.pdf,23358971,Arm 2: Exemestane + Placebo,intervention,exemestane ... could prove superior to anastrozole regarding efficacy and toxicity,True,established AI comparator vs experimental AI (celecoxib factorial unaddressed)
PMID 23358971 a_Summary_SoE.pdf,23358971,Arm 4: Anastrozole + Placebo,control,exemestane ... could prove superior to anastrozole,True,established AI comparator vs experimental AI (celecoxib factorial unaddressed)
PMID 23358971 a_Summary_SoE.pdf,23358971,Arm 1: Exemestane + Celecoxib,intervention,exemestane ... could prove superior to anastrozole regarding efficacy and toxicity,True,established AI comparator vs experimental AI (celecoxib factorial unaddressed)
PMID 23358971 a_Summary_SoE.pdf,23358971,Arm 3: Anastrozole + Celecoxib,control,exemestane ... could prove superior to anastrozole,True,established AI comparator vs experimental AI (celecoxib factorial unaddressed)
PMID 23509322 a_Summary_SoE.pdf,23509322,Paclitaxel + Placebo,control,compared with placebo plus paclitaxel in patients with HER2-overexpressing metastatic breast cancer,True,placebo-controlled add-on
PMID 23509322 a_Summary_SoE.pdf,23509322,Paclitaxel + Lapatinib,intervention,The addition of lapatinib to paclitaxel significantly improved OS versus paclitaxel,True,placebo-controlled add-on
PMID 23509322 a_Summary_SoE.pdf,23509322,Arm A (Lapatinib + Paclitaxel),intervention,lapatinib combined with paclitaxel offers a significant ... survival advantage over paclitaxel alone,True,placebo-controlled add-on
PMID 23724913 a_Summary_SoE.pdf,23724913,Arm B (Standard of Care Chemotherapy),control,Crizotinib is superior to standard chemotherapy in patients with previously treated ... ALK rearrangement,True,standard chemo comparator vs experimental targeted agent
PMID 23724913 a_Summary_SoE.pdf,23724913,Arm A (PF-02341066),intervention,Crizotinib is superior to standard chemotherapy,True,standard chemo comparator vs experimental targeted agent
PMID 23835708 a_Summary_SoE.pdf,23835708,Arm A (Bevacizumab Maintenance),control,bevacizumab plus pemetrexed maintenance was associated with a significant PFS benefit compared with bevacizumab alone,True,maintenance backbone with/without added pemetrexed
PMID 23835708 a_Summary_SoE.pdf,23835708,Arm B (Bevacizumab + Pemetrexed Maintenance),intervention,evaluated the safety and efficacy of bevacizumab with or without pemetrexed as continuation maintenance treatment,True,maintenance backbone with/without added pemetrexed
PMID 23940216 a_Summary_SoE.pdf,23940216,Arm C (Lomustine + Placebo),control,cediranib ... either as monotherapy or in combination with lomustine versus lomustine,True,established comparator (lomustine) vs experimental agent (alone or add-on)
PMID 23940216 a_Summary_SoE.pdf,23940216,Arm A (Cediranib 30 mg Monotherapy),intervention,determine the efficacy of cediranib ... either as monotherapy or in combination with lomustine versus lomustine,True,established comparator (lomustine) vs experimental agent (alone or add-on)
PMID 23940216 a_Summary_SoE.pdf,23940216,Arm B (Cediranib 20 mg + Lomustine),intervention,cediranib ... in combination with lomustine versus lomustine,True,established comparator (lomustine) vs experimental agent (alone or add-on)
PMID 23940225 a_Summary_SoE.pdf,23940225,Group 1 (TAC),control,whether the incorporation of a fourth drug could improve outcomes relative to two standard regimens,True,two standard regimens vs experimental fourth-drug addition
PMID 23940225 a_Summary_SoE.pdf,23940225,Group 2 (DD AC -> P),control,incorporation of a fourth drug could improve outcomes relative to two standard regimens,True,two standard regimens vs experimental fourth-drug addition
PMID 23940225 a_Summary_SoE.pdf,23940225,Group 3 (DD AC -> PG),intervention,DD AC->P with four cycles of gemcitabine (G) added to the DD paclitaxel (DD AC->PG),True,two standard regimens vs experimental fourth-drug addition
PMID 23960180 a_Summary_SoE.pdf,23960180,Arm B (No further therapy/Observation),control,randomly assigned to rituximab maintenance (arm A) ... or to observation (arm B),True,observation vs experimental maintenance therapy
PMID 23960180 a_Summary_SoE.pdf,23960180,Arm A (Maintenance Rituximab),intervention,To evaluate the efficacy of rituximab maintenance ... responding to brief first-line chemoimmunotherapy,True,observation vs experimental maintenance therapy
PMID 24081940 a_Summary_SoE.pdf,24081940,Arm D (Casein protein powder + Placebo pill),control,"milk protein powder and placebo pill, venlafaxine and milk protein powder, soy protein powder and placebo pill, or venlafaxine and soy",True,2x2 factorial of venlafaxine and soy protein vs placebo/milk protein for hot flashes
PMID 24081940 a_Summary_SoE.pdf,24081940,Arm A (Soy protein powder + Placebo pill),intervention,Neither venlafaxine nor soy protein alone or in combination had a significant effect on HFSSS,True,2x2 factorial of venlafaxine and soy protein vs placebo/milk protein for hot flashes
PMID 24081940 a_Summary_SoE.pdf,24081940,Arm B (Casein protein powder + Effexor XR),intervention,Neither venlafaxine nor soy protein alone or in combination had a significant effect on HFSSS,True,2x2 factorial of venlafaxine and soy protein vs placebo/milk protein for hot flashes
PMID 24081940 a_Summary_SoE.pdf,24081940,Arm C (Soy protein powder + Effexor XR),intervention,venlafaxine and soy protein powder,True,2x2 factorial of venlafaxine and soy protein vs placebo/milk protein for hot flashes
PMID 24101040 a_Summary_SoE.pdf,24101040,Arm 1 (Standard Arm: RT + TMZ 5/28),control,Patients were randomly assigned to standard temozolomide (arm 1) or DD temozolomide (arm 2),True,Standard vs dose-dense temozolomide for newly diagnosed glioblastoma
PMID 24101040 a_Summary_SoE.pdf,24101040,Arm 2 (Experimental Arm: RT + TMZ 21/28),intervention,This trial tested whether DD temozolomide improves overall survival (OS) or progression-free survival,True,Standard vs dose-dense temozolomide for newly diagnosed glioblastoma
PMID 24297950 a_Summary_SoE.pdf,24297950,Arm B (Sorafenib),control,second-line temsirolimus did not demonstrate a PFS advantage compared with sorafenib,True,Temsirolimus vs sorafenib as second-line therapy in metastatic RCC
PMID 24297950 a_Summary_SoE.pdf,24297950,Arm A (Temsirolimus),intervention,Investigating Torisel As Second-Line Therapy... second-line temsirolimus did not demonstrate a PFS advantage compared with sorafenib,True,Temsirolimus vs sorafenib as second-line therapy in metastatic RCC
PMID 24297951 a_Summary_SoE.pdf,24297951,Arm 2: Placebo before and after FOLFOX,control,"randomly assigned to intravenous calcium/magnesium before and after oxaliplatin, a placebo before and after",True,IV calcium/magnesium vs placebo to prevent oxaliplatin neurotoxicity
PMID 24297951 a_Summary_SoE.pdf,24297951,Arm 1: CaMg before and after FOLFOX,intervention,This trial was designed to definitively test whether calcium/magnesium decreases oxaliplatin-related neurotoxicity,True,IV calcium/magnesium vs placebo to prevent oxaliplatin neurotoxicity
PMID 24297951 a_Summary_SoE.pdf,24297951,Arm 3: CaMg before and placebo after FOLFOX,intervention,calcium/magnesium before and placebo after,True,IV calcium/magnesium vs placebo to prevent oxaliplatin neurotoxicity
PMID 24401022 a_Summary_SoE.pdf,24401022,Arm C (Clb: Chlorambucil alone),control,"obinutuzumab-chlorambucil or rituximab-chlorambucil, as compared with chlorambucil monotherapy, increased response rates",True,Obinutuzumab-chlorambucil vs rituximab-chlorambucil vs chlorambucil alone in CLL
PMID 24401022 a_Summary_SoE.pdf,24401022,Arm B (RClb: Rituximab + Chlorambucil),control,obinutuzumab was superior to rituximab when each was combined with chlorambucil,True,Obinutuzumab-chlorambucil vs rituximab-chlorambucil vs chlorambucil alone in CLL
PMID 24401022 a_Summary_SoE.pdf,24401022,Arm A (GClb: Obinutuzumab + Chlorambucil),intervention,"We investigated the benefit of the type 2, glycoengineered antibody obinutuzumab... as compared with that of rituximab",True,Obinutuzumab-chlorambucil vs rituximab-chlorambucil vs chlorambucil alone in CLL
PMID 24450857 a_Summary_SoE.pdf,24450857,Arm B (Placebo + Rituximab),control,idelalisib... in combination with rituximab versus rituximab plus placebo,True,Idelalisib plus rituximab vs placebo plus rituximab in relapsed CLL
PMID 24450857 a_Summary_SoE.pdf,24450857,Arm A (Idelalisib + Rituximab),intervention,we assessed the efficacy and safety of idelalisib... in combination with rituximab versus rituximab plus placebo,True,Idelalisib plus rituximab vs placebo plus rituximab in relapsed CLL
PMID 24552320 a_Summary_SoE.pdf,24552320,Regimen I (Cisplatin + Paclitaxel),control,the addition of bevacizumab to chemotherapy was associated with increased overall survival,True,2x2 factorial of chemotherapy backbone and bevacizumab in advanced cervical cancer
PMID 24552320 a_Summary_SoE.pdf,24552320,Regimen II (Cisplatin + Paclitaxel + Bevacizumab),intervention,the addition of bevacizumab to chemotherapy was associated with increased overall survival,True,2x2 factorial of chemotherapy backbone and bevacizumab in advanced cervical cancer
PMID 24552320 a_Summary_SoE.pdf,24552320,Regimen III (Topotecan + Paclitaxel),intervention,We evaluated the effectiveness of bevacizumab and nonplatinum combination chemotherapy,True,2x2 factorial of chemotherapy backbone and bevacizumab in advanced cervical cancer
PMID 24552320 a_Summary_SoE.pdf,24552320,Regimen IV (Topotecan + Paclitaxel + Bevacizumab),intervention,We evaluated the effectiveness of bevacizumab and nonplatinum combination chemotherapy,True,2x2 factorial of chemotherapy backbone and bevacizumab in advanced cervical cancer
PMID 24733799 a_Summary_SoE.pdf,24733799,Doxepin then Placebo Crossover,intervention,to test the efficacy of doxepin hydrochloride in the reduction of radiotherapy-induced OM pain,True,Doxepin oral rinse vs placebo (crossover) for radiotherapy-induced oral mucositis pain
PMID 24733799 a_Summary_SoE.pdf,24733799,Placebo then Doxepin Crossover,control,patients were randomly allocated to a doxepin oral rinse or a placebo,True,Doxepin oral rinse vs placebo (crossover) for radiotherapy-induced oral mucositis pain
PMID 24881463 a_Summary_SoE.pdf,24881463,SOFT Arm A (Tamoxifen alone),unresolved,,False,Adjuvant exemestane plus ovarian suppression in premenopausal breast cancer (abstract body not available)
PMID 24881463 a_Summary_SoE.pdf,24881463,TEXT Arm A (GnRH analogue + Tamoxifen),unresolved,,False,Adjuvant exemestane plus ovarian suppression in premenopausal breast cancer (abstract body not available)
PMID 24881463 a_Summary_SoE.pdf,24881463,SOFT Arm B & C (OFS + Tamoxifen/Exemestane),unresolved,,False,Adjuvant exemestane plus ovarian suppression in premenopausal breast cancer (abstract body not available)
PMID 24881463 a_Summary_SoE.pdf,24881463,TEXT Arm A & B (GnRH analogue + Tamoxifen/Exemestane),unresolved,,False,Adjuvant exemestane plus ovarian suppression in premenopausal breast cancer (abstract body not available)
PMID 24881463 a_Summary_SoE.pdf,24881463,TEXT Arm A (GnRH analogue plus Tamoxifen),unresolved,,False,Adjuvant exemestane plus ovarian suppression in premenopausal breast cancer (abstract body not available)
PMID 24881463 a_Summary_SoE.pdf,24881463,TEXT Arm B (GnRH analogue plus Exemestane),unresolved,,False,Adjuvant exemestane plus ovarian suppression in premenopausal breast cancer (abstract body not available)
PMID 24888818 a_Summary_SoE.pdf,24888818,Arm A (Low Risk Group - Regular Treatment),control,Patients with MBC who did not have increased CTCs at baseline remained on initial therapy until progression (arm A),True,CTC-guided early switch of chemotherapy vs continued therapy in metastatic breast cancer (SWOG S0500)
PMID 24888818 a_Summary_SoE.pdf,24888818,Arm B (Moderate Risk Group - Maintain Current Therapy),control,Patients with initially increased CTCs that decreased after 21 days of therapy remained on initial therapy (arm B),True,CTC-guided early switch of chemotherapy vs continued therapy in metastatic breast cancer (SWOG S0500)
PMID 24888818 a_Summary_SoE.pdf,24888818,Arm C1 (High Risk Group - Maintain Current Therapy),control,randomly assigned to continue initial therapy (arm C1) or change to an alternative chemotherapy (arm C2),True,CTC-guided early switch of chemotherapy vs continued therapy in metastatic breast cancer (SWOG S0500)
PMID 24888818 a_Summary_SoE.pdf,24888818,Arm C2 (High Risk Group - Switch Therapy),intervention,tested whether changing chemotherapy after one cycle of first-line chemotherapy would improve the primary outcome of overall survival,True,CTC-guided early switch of chemotherapy vs continued therapy in metastatic breast cancer (SWOG S0500)
PMID 24934787 a_Summary_SoE.pdf,24934787,Arm 1: Cyclophosphamide and Doxorubicin (CA),control,whether single-agent paclitaxel (T) was inferior to doxorubicin and cyclophosphamide (AC),True,Single-agent paclitaxel vs doxorubicin-cyclophosphamide as adjuvant breast cancer therapy (CALGB 40101)
PMID 24934787 a_Summary_SoE.pdf,24934787,Arm 2: Paclitaxel (T),intervention,to address the noninferiority of single-agent T to AC,True,Single-agent paclitaxel vs doxorubicin-cyclophosphamide as adjuvant breast cancer therapy (CALGB 40101)
PMID 24934787 a_Summary_SoE.pdf,24934787,Arm 2: Paclitaxel,intervention,to address the noninferiority of single-agent T to AC,True,Single-agent paclitaxel vs doxorubicin-cyclophosphamide as adjuvant breast cancer therapy (CALGB 40101)
PMID 25092781 a_Summary_SoE.pdf,25092781,Arm A (Standard chemotherapy),control,randomly assigned to either standard five-course chemotherapy alone or to the same chemotherapy with two doses of GO,True,Standard chemotherapy with or without gemtuzumab ozogamicin in pediatric AML (AAML0531)
PMID 25092781 a_Summary_SoE.pdf,25092781,Arm B (Standard chemotherapy + GMTZ),intervention,determine whether adding GO to standard chemotherapy improved event-free survival (EFS) and overall survival,True,Standard chemotherapy with or without gemtuzumab ozogamicin in pediatric AML (AAML0531)
PMID 25184863 a_Summary_SoE.pdf,25184863,Arm C (MPT for 12 cycles),control,melphalan-prednisone-thalidomide (MPT) is considered a standard therapy for patients with myeloma who are ineligible for stem-cell transplantation,True,Lenalidomide-dexamethasone (continuous or 18 cycles) vs melphalan-prednisone-thalidomide in transplant-ineligible myeloma (FIRST)
PMID 25184863 a_Summary_SoE.pdf,25184863,Arm A (Rd until PD),intervention,The primary end point was progression-free survival with continuous lenalidomide-dexamethasone versus MPT,True,Lenalidomide-dexamethasone (continuous or 18 cycles) vs melphalan-prednisone-thalidomide in transplant-ineligible myeloma (FIRST)
PMID 25184863 a_Summary_SoE.pdf,25184863,Arm B (Rd for 18 cycles),intervention,lenalidomide and dexamethasone in 28-day cycles until disease progression... to the same combination for 72 weeks (18 cycles; 541 patients),True,Lenalidomide-dexamethasone (continuous or 18 cycles) vs melphalan-prednisone-thalidomide in transplant-ineligible myeloma (FIRST)
PMID 25267740 a_Summary_SoE.pdf,25267740,Arm S2 (DHAP +/- Rituximab),control,gemcitabine-based therapy before autologous stem-cell transplantation (ASCT) is as effective as and less toxic than standard treatment,True,Gemcitabine-based GDP vs standard DHAP before autologous transplant in relapsed/refractory lymphoma (LY.12)
PMID 25267740 a_Summary_SoE.pdf,25267740,Arm S1 (GDP),intervention,we hypothesized that gemcitabine-based therapy before autologous stem-cell transplantation (ASCT) is as effective as and less toxic than standard treatment,True,Gemcitabine-based GDP vs standard DHAP before autologous transplant in relapsed/refractory lymphoma (LY.12)
PMID 25267740 a_Summary_SoE.pdf,25267740,Arm S2 (DHAP),control,treatment with GDP is associated with a noninferior response rate... less toxicity and hospitalization,True,Gemcitabine-based GDP vs standard DHAP before autologous transplant in relapsed/refractory lymphoma (LY.12)
PMID 25311218 a_Summary_SoE.pdf,25311218,RER Standard (ABVE-PC x4 + IFRT),control,RERs with CR were randomly assigned to involved-field radiotherapy (IFRT) or no additional therapy,True,"Response-based therapy adjustment (RT omission for rapid responders, DECA augmentation for slow responders) in pediatric Hodgkin lymphoma (AHOD0031)"
PMID 25311218 a_Summary_SoE.pdf,25311218,SER Standard (ABVE-PC x4 + IFRT),control,Slow early responders (SERs) were randomly assigned to receive two additional ABVE-PC cycles with or without two cycles of... DECA,True,"Response-based therapy adjustment (RT omission for rapid responders, DECA augmentation for slow responders) in pediatric Hodgkin lymphoma (AHOD0031)"
PMID 25311218 a_Summary_SoE.pdf,25311218,RER Reduced (ABVE-PC x4),intervention,omitting radiotherapy in RERs with CR,True,"Response-based therapy adjustment (RT omission for rapid responders, DECA augmentation for slow responders) in pediatric Hodgkin lymphoma (AHOD0031)"
PMID 25311218 a_Summary_SoE.pdf,25311218,SER Augmented (ABVE-PC x2 + DECA x2 + ABVE-PC x2 + IFRT),intervention,augmenting chemotherapy in SERs with PET-positive disease,True,"Response-based therapy adjustment (RT omission for rapid responders, DECA augmentation for slow responders) in pediatric Hodgkin lymphoma (AHOD0031)"
