filename,nct,pos_idx,arm_name,tt_12mo,pipeline_label,ctgov_label,ctgov_type,pubmed_designation,pubmed_evidence,final_label,review_reason
PMID 33010094 CT_Summary_SoE.pdf,NCT01509612,1,Arm 2 (Placebo Homeopathic Treatment),6.0,intervention,control,PLACEBO_COMPARATOR,control,additive homeopathic treatment compared with placebo in patients with stage IV NSCLC,control,CORRECTION_APPLIED
PMID 33078978 a_Summary_SoE.pdf,NCT00063999,0,Regimen II (Carboplatin/Paclitaxel),24.0,control,intervention,EXPERIMENTAL,intervention,studied carboplatin plus paclitaxel (TC) as a noninferior alternative to TAP,intervention,CORRECTION_APPLIED
PMID 33078978 a_Summary_SoE.pdf,NCT00063999,1,Regimen I (Doxorubicin/Cisplatin/Paclitaxel + G-CSF),31.0,intervention,control,ACTIVE_COMPARATOR,control,carboplatin plus paclitaxel (TC) as a noninferior alternative to TAP [paclitaxel-doxorubicin-cisplatin],control,CORRECTION_APPLIED
PMID 33821899a_Summary_SoE.pdf,NCT01150045,0,Arm C (6 cycles FOLFOX + Placebo),10.0,intervention,intervention,,control,"addition of celecoxib for 3 years, compared with placebo, to standard adjuvant chemotherapy",control,CORRECTION_APPLIED
PMID 34092112 a_Summary_SoE.pdf,NCT02445391,1,Arm C (Capecitabine),10.0,intervention,control,ACTIVE_COMPARATOR,control,"high-risk for recurrence, which is reduced by adjuvant capecitabine ... assuming a 4-year iDFS of 67% with capecitabine",control,CORRECTION_APPLIED
PMID 34320285 a_Summary_SoE.pdf,NCT00295620,0,Arm B (Anastrozole 5 years),2.0,control,intervention,EXPERIMENTAL,intervention,"anastrozole for an additional 2 years ... or an additional 5 years (5-year group, receiving a total of 10 years)",intervention,CORRECTION_APPLIED
PMID 34320285 a_Summary_SoE.pdf,NCT00295620,0,Arm A (Anastrozole 2 years),2.0,intervention,intervention,EXPERIMENTAL,control,extending hormone therapy by 5 years provided no benefit over a 2-year extension,control,CORRECTION_APPLIED
PMID 36996380 a_Summary_SoE.pdf,NCT01949337,0,Arm A (Enzalutamide alone),17.0,intervention,intervention,,control,whether the addition of abiraterone acetate and prednisone (AAP) to enzalutamide prolongs overall survival,control,CORRECTION_APPLIED
PMID 37257422 CT_Summary_SoE.pdf,NCT03419403,0,Arm A (Standard Steroids),53.0,intervention,intervention,,control,randomized (1:1:1) to OSE prophylactic treatments ... (a) standard steroid eye drops,control,CORRECTION_APPLIED
PMID 26122726 a_Summary_SoE.pdf,NCT01519700,0,Arm B (Radiosurgery + WBRT),18.0,control,intervention,EXPERIMENTAL,unresolved,,control,PMID_MISMATCH
PMID 26122726 a_Summary_SoE.pdf,NCT01519700,0,Arm A (Radiosurgery alone),6.0,intervention,control,ACTIVE_COMPARATOR,unresolved,,intervention,PMID_MISMATCH
PMID 30105668 a_Summary_SoE.pdf,NCT02101021,0,Arm A (VMP),42.0,control,intervention,EXPERIMENTAL,unresolved,,control,PMID_MISMATCH
PMID 30105668 a_Summary_SoE.pdf,NCT02101021,0,Arm B (D-VMP),42.0,intervention,control,PLACEBO_COMPARATOR,unresolved,,intervention,PMID_MISMATCH
PMID 30995176 CT a_Summary_SoE.pdf,NCT01539291,0,Arm B (Standard-dose GS-1101),14.0,control,intervention,EXPERIMENTAL,unresolved,,control,PMID_MISMATCH
PMID 30995176 CT a_Summary_SoE.pdf,NCT01539291,0,Arm A (High-dose GS-1101),14.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PMID_MISMATCH
PMID 32496902 a_Summary_SoE.pdf,NCT02883049,0,Very High Risk (VHR) B-ALL (Control Arm),76.0,control,control,ACTIVE_COMPARATOR,unresolved,,control,PMID_MISMATCH
PMID 32496902 a_Summary_SoE.pdf,NCT02883049,1,Very High Risk (VHR) B-ALL - Control Arm,90.0,control,intervention,EXPERIMENTAL,unresolved,,control,PMID_MISMATCH
PMID 32496902 a_Summary_SoE.pdf,NCT02883049,0,High Risk (HR) B-ALL (Arm A/B),76.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PMID_MISMATCH
PMID 32496902 a_Summary_SoE.pdf,NCT02883049,1,Ph-like Dasatinib Arm,83.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PMID_MISMATCH
PMID 32496902 a_Summary_SoE.pdf,NCT02883049,2,Down Syndrome (DS) HR B-ALL,83.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PMID_MISMATCH
PMID 32496902 a_Summary_SoE.pdf,NCT02883049,3,Down Syndrome HR B-ALL Arm,84.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PMID_MISMATCH
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,0,Arm 3 (Aprepitant + Palonosetron + Dexamethasone),1.0,control,control,ACTIVE_COMPARATOR,unresolved,,control,PUBMED_UNRESOLVED
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,1,"Arm 2: Granisetron + Dexamethasone (Day 1), Compazine + Placebo (Days 2 & 3)",1.0,control,intervention,EXPERIMENTAL,unresolved,,control,PUBMED_UNRESOLVED
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,0,Arm 1 (Palonosetron + Dexamethasone + Compazine),1.0,intervention,control,ACTIVE_COMPARATOR,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,1,Arm 2 (Granisetron + Dexamethasone + Compazine),1.0,intervention,intervention,,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,2,Arm 4 (Palonosetron + Dexamethasone + Compazine + Dexamethasone),1.5,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 23075175 a_Summary_SoE.pdf,NCT00075816,0,Arm B (Marrow Transplantation),29.0,control,control,ACTIVE_COMPARATOR,unresolved,,control,PUBMED_UNRESOLVED
PMID 23075175 a_Summary_SoE.pdf,NCT00075816,0,Arm A (PBSC Transplantation),29.0,intervention,control,ACTIVE_COMPARATOR,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 24881463 a_Summary_SoE.pdf,NCT00066703,0,SOFT Arm A (Tamoxifen alone),5.0,control,control,ACTIVE_COMPARATOR,unresolved,,control,PUBMED_UNRESOLVED
PMID 24881463 a_Summary_SoE.pdf,NCT00066703,0,SOFT Arm B & C (OFS + Tamoxifen/Exemestane),14.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 24881463 a_Summary_SoE.pdf,NCT00066703,1,TEXT Arm A & B (GnRH analogue + Tamoxifen/Exemestane),14.0,intervention,intervention,,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 26412349 a_Summary_SoE.pdf,NCT00310180,0,Arm B (Hormonal Therapy Alone),4.0,control,intervention,EXPERIMENTAL,unresolved,,control,PUBMED_UNRESOLVED
PMID 26412349 a_Summary_SoE.pdf,NCT00310180,0,Arm C (Chemotherapy + Hormonal Therapy),8.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 27569442 CT_Summary_SoE.pdf,NCT00134030,0,Arm B (MAP + Pegylated Interferon alfa-2b),56.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 28384065 a_Summary_SoE.pdf,NCT00569127,0,Arm 2 (Depot Octreotide Plus Interferon Alpha-2b),18.0,control,intervention,EXPERIMENTAL,unresolved,,control,PUBMED_UNRESOLVED
PMID 28384065 a_Summary_SoE.pdf,NCT00569127,0,Arm 1 (Depot Octreotide Plus Bevacizumab),18.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 28438473 a_Summary_SoE.pdf,NCT00565851,1,Arm III/VII (Surgery + CT/GC),31.0,control,intervention,EXPERIMENTAL,unresolved,,control,PUBMED_UNRESOLVED
PMID 28438473 a_Summary_SoE.pdf,NCT00565851,0,Arm IV/VIII (Surgery + Chemotherapy + Bevacizumab),36.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 28438473 a_Summary_SoE.pdf,NCT00565851,2,Arm IV (Surgery + Carboplatin + Paclitaxel + Bevacizumab),34.0,intervention,control,ACTIVE_COMPARATOR,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 28632865 a_Summary_SoE.pdf,NCT00265850,0,Arm A (Bevacizumab + FOLFOX/FOLFIRI),27.0,control,control,ACTIVE_COMPARATOR,unresolved,,control,PUBMED_UNRESOLVED
PMID 28632865 a_Summary_SoE.pdf,NCT00265850,0,Arm B (Cetuximab + FOLFOX/FOLFIRI),53.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 29238824 a_Summary_SoE.pdf,NCT01067144,1,Observational Arm,3.0,control,control,,unresolved,,control,PUBMED_UNRESOLVED
PMID 31345387 CT_Summary_SoE.pdf,NCT01706939,1,Arm C (Non-responders: Standard CRT + Carboplatin + Erbitux + Paclitaxel),48.0,control,control,,unresolved,,control,PUBMED_UNRESOLVED
PMID 31693129 CT_Summary_SoE.pdf,NCT00127205,0,Arm 2 (Clodronate),8.0,control,control,ACTIVE_COMPARATOR,unresolved,,control,PUBMED_UNRESOLVED
PMID 31693129 CT_Summary_SoE.pdf,NCT00127205,0,Arm 1 (Zoledronic Acid),8.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 31693129 CT_Summary_SoE.pdf,NCT00127205,1,Arm 3 (Ibandronate),8.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 31693129 CT_Summary_SoE.pdf,NCT00127205,2,Arm 3 (Ibandronate),8.0,intervention,intervention,,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 33197226 a_Summary_SoE.pdf,NCT02625610,0,Best Supportive Care (BSC) Only,20.0,control,control,,unresolved,,control,PUBMED_UNRESOLVED
PMID 33657295 a_Summary_SoE.pdf,NCT03141177,0,Arm B (Nivolumab + Ipilimumab + Cabozantinib),25.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 34092112 a_Summary_SoE.pdf,NCT02445391,0,Arm A (Observation),4.0,control,control,NO_INTERVENTION,unresolved,,control,PUBMED_UNRESOLVED
PMID 34170389 CT_Summary_SoE.pdf,NCT00549848,1,Low-Risk (LR),78.0,intervention,intervention,,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 34383006a_Summary_SoE.pdf,NCT01459497,0,Arm B (Conventional radiation),34.0,control,control,ACTIVE_COMPARATOR,,,control,PUBMED_UNRESOLVED
PMID 34383006a_Summary_SoE.pdf,NCT01459497,0,Arm A (Accelerated hypofractionated IGRT),19.0,intervention,control,ACTIVE_COMPARATOR,,,intervention,PUBMED_UNRESOLVED
PMID 34997889 CT_Summary_SoE.pdf,NCT00500890,0,"Carboplatin Arm (Carboplatin, Etoposide, Vincristine)",33.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 34997889 CT_Summary_SoE.pdf,NCT00500890,1,"Cyclophosphamide Arm (Cyclophosphamide, Etoposide, Vincristine)",33.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 35403841 a_Summary_SoE.pdf,NCT02998528,0,Arm A (Nivolumab plus Ipilimumab),9.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 35810754 CT_Summary_SoE.pdf,NCT03336333,1,Arm D (Venetoclax + Zanubrutinib),17.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 36952634 a_Summary_SoE.pdf,NCT03748641,1,Arm C (Cohort 3: FDC Niraparib/AA + Prednisone),18.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 37379502 a_Summary_SoE.pdf,NCT04248829,1,Open-label Lazertinib 240 mg (Cross-over),13.0,intervention,intervention,,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 38060199 CT_Summary_SoE.pdf,NCT04177108,1,Arm B (Ipatasertib + Paclitaxel / Atezolizumab + Paclitaxel),41.5,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 38060199 CT_Summary_SoE.pdf,NCT04177108,2,Arm B - Cohort 2 (Atezolizumab + Paclitaxel + Placebo),40.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
PMID 38252907 a_Summary_SoE.pdf,NCT02864251,1,Arm B (Nivolumab plus Ipilimumab),27.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PUBMED_UNRESOLVED
