filename,nct,pos_idx,arm_name,tt_12mo,pipeline_label,ctgov_label,ctgov_type,pubmed_designation,pubmed_evidence,final_label,final_source,needs_human_review,match_status,n_pipeline_arms,n_ctgov_arms,pipeline_vs_final_flip
PMID 20525993 a_Summary_SoE.pdf,NCT00471497,0,Arm A (Nilotinib 300 mg BID),11.0,intervention,intervention,EXPERIMENTAL,intervention,Nilotinib ... was superior to imatinib in patients with newly diagnosed chronic-phase ... CML,intervention,pubmed,False,uncertain,3,3,False
PMID 20525993 a_Summary_SoE.pdf,NCT00471497,1,Arm B (Nilotinib 400 mg BID),11.0,intervention,intervention,EXPERIMENTAL,intervention,Nilotinib at a dose of either 300 mg or 400 mg twice daily was superior to imatinib,intervention,pubmed,False,uncertain,3,3,False
PMID 20525995 a_Summary_SoE.pdf,NCT00481247,0,Imatinib (400 mg daily),8.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 20525995 a_Summary_SoE.pdf,NCT00481247,0,Dasatinib (100 mg daily),8.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 20570559 CT a_Summary_SoE.pdf,NCT00312377,0,Placebo + Docetaxel,18.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 20570559 CT a_Summary_SoE.pdf,NCT00312377,0,Vandetanib + Docetaxel,18.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 20818862 a_Summary_SoE.pdf,NCT00065442,0,Arm B (Placebo),12.0,control,control,PLACEBO_COMPARATOR,control,randomly assigned 512 patients in a 2:1 ratio to receive either sipuleucel-T ... or placebo,control,pubmed,False,confident_2arm,2,2,False
PMID 20818862 a_Summary_SoE.pdf,NCT00065442,0,Arm A (Sipuleucel-T),12.0,intervention,control,ACTIVE_COMPARATOR,intervention,The use of sipuleucel-T prolonged overall survival among men with metastatic castration-resistant prostate cancer,intervention,pubmed,False,confident_2arm,2,2,False
PMID 20826719 a_Summary_SoE.pdf,NCT00075803,0,Fluconazole,4.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 20826719 a_Summary_SoE.pdf,NCT00075803,0,Voriconazole,4.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21121833 a_Summary_SoE.pdf,NCT00121992,0,Arm B (FAC),9.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21121833 a_Summary_SoE.pdf,NCT00121992,0,Arm A (TAC),9.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21282542 CT_Summary_SoE.pdf,NCT00364351,0,Arm B (Erlotinib / TARCEVA),16.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21282542 CT_Summary_SoE.pdf,NCT00364351,0,Arm A (ZD6474 / ZACTIMA),16.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21306237 a_Summary_SoE.pdf,NCT00428597,0,Arm B (Placebo),15.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21306237 a_Summary_SoE.pdf,NCT00428597,0,Arm A (Sunitinib),15.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21306238 a_Summary_SoE.pdf,NCT00510068,0,Arm B (Placebo plus best supportive care),15.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21306238 a_Summary_SoE.pdf,NCT00510068,0,Arm A (RAD001 10 mg/d plus best supportive care),15.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21410393 a_Summary_SoE.pdf,NCT00414648,0,Placebo,5.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21410393 a_Summary_SoE.pdf,NCT00414648,0,Sirolimus (Rapamycin),5.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21612468 a_Summary_SoE.pdf,NCT00638690,0,Arm B (Placebo + Prednisone),17.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21612468 a_Summary_SoE.pdf,NCT00638690,0,Arm A (Abiraterone Acetate + Prednisone),17.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21621716 CT_Summary_SoE.pdf,NCT00130728,0,Arm 1 (Tarceva + placebo),18.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21621716 CT_Summary_SoE.pdf,NCT00130728,0,Arm 2 (Tarceva + bevacizumab),18.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21631324 a_Summary_SoE.pdf,NCT00019682,0,Arm 2: High-dose IL-2 alone,103.0,control,intervention,EXPERIMENTAL,control,Patients were randomly assigned to receive interleukin-2 alone ... followed by interleukin-2,control,pubmed,False,confident_2arm,2,2,False
PMID 21631324 a_Summary_SoE.pdf,NCT00019682,0,Arm 1: gp100:209-217(210M) peptide vaccine + high-dose IL-2,103.0,intervention,intervention,EXPERIMENTAL,intervention,the response rate was higher and progression-free survival longer with vaccine and interleukin-2 than with interleukin-2 alone,intervention,pubmed,False,confident_2arm,2,2,False
PMID 21639808 a_Summary_SoE.pdf,NCT01006980,0,Arm B (Dacarbazine),19.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21639808 a_Summary_SoE.pdf,NCT01006980,0,Arm A (RO5185426),19.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21639810 a_Summary_SoE.pdf,NCT00324155,0,Arm B (Placebo + Dacarbazine),17.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21639810 a_Summary_SoE.pdf,NCT00324155,0,Arm A (Ipilimumab + Dacarbazine),17.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21751904 a_Summary_SoE.pdf,NCT00002597,0,Arm 2 (Radiation Therapy Alone),41.0,control,control,OTHER,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21751904 a_Summary_SoE.pdf,NCT00002597,0,Arm 1 (Neoadjuvant TAS + Radiation Therapy),42.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21962393 CT_Summary_SoE.pdf,NCT00075829,0,Arm B2 (Auto-Auto + Observation),36.0,control,control,ACTIVE_COMPARATOR,control,allogeneic HSCT ... compared with tandem autologous HSCT,control,pubmed,False,uncertain,3,3,False
PMID 21962393 CT_Summary_SoE.pdf,NCT00075829,0,Arm A (Auto-Allo: ASCT followed by NMSCT),45.0,intervention,control,ACTIVE_COMPARATOR,intervention,we aimed to assess effectiveness of allogeneic HSCT with non-myeloablative conditioning after autologous HSCT compared with tandem autologous HSCT,intervention,pubmed,False,uncertain,3,3,False
PMID 21962393 CT_Summary_SoE.pdf,NCT00075829,1,Arm B1 (Auto-Auto + Maintenance),51.0,intervention,control,ACTIVE_COMPARATOR,control,allogeneic HSCT ... compared with tandem autologous HSCT,control,pubmed,False,uncertain,3,3,True
PMID 21990397 a_Summary_SoE.pdf,NCT00281697,0,Arm B (Chemotherapy + Placebo),18.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21990397 a_Summary_SoE.pdf,NCT00281697,0,Arm A (Chemotherapy + Bevacizumab),18.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 21991949 a_Summary_SoE.pdf,NCT00021255,0,AC→T (Doxorubicin and Cyclophosphamide followed by Docetaxel),11.0,control,intervention,EXPERIMENTAL,control,"No significant differences in efficacy were found between the two trastuzumab regimens, whereas both were superior to AC-T.",control,pubmed,False,confident,3,3,False
PMID 21991949 a_Summary_SoE.pdf,NCT00021255,0,AC→TH (Doxorubicin and Cyclophosphamide followed by Docetaxel and Trastuzumab),26.0,intervention,intervention,EXPERIMENTAL,intervention,The addition of 1 year of adjuvant trastuzumab significantly improved disease-free and overall survival.,intervention,pubmed,False,confident,3,3,False
PMID 21991949 a_Summary_SoE.pdf,NCT00021255,1,"TCH (Docetaxel, Carboplatin and Trastuzumab)",31.0,intervention,intervention,EXPERIMENTAL,intervention,We wanted to evaluate the efficacy and safety of a new nonanthracycline regimen with trastuzumab.,intervention,pubmed,False,confident,3,3,False
PMID 22025146 CT_Summary_SoE.pdf,NCT00410761,0,Placebo,8.0,control,control,NO_INTERVENTION,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22025146 CT_Summary_SoE.pdf,NCT00410761,0,Vandetanib 300 mg,8.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22119496 a_Summary_SoE.pdf,NCT00412061,0,Arm B (Placebo + Sandostatin LAR Depot),15.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22119496 a_Summary_SoE.pdf,NCT00412061,0,Arm A (Everolimus 10 mg/d + Sandostatin LAR Depot),15.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22149875 a_Summary_SoE.pdf,NCT00567190,0,Arm A (Placebo + Trastuzumab + Docetaxel),25.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22149875 a_Summary_SoE.pdf,NCT00567190,0,Arm B (Pertuzumab + Trastuzumab + Docetaxel),25.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22149876 a_Summary_SoE.pdf,NCT00863655,0,Arm B (Placebo + Exemestane),11.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22149876 a_Summary_SoE.pdf,NCT00863655,0,Arm A (Everolimus + Exemestane),11.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22204724 a_Summary_SoE.pdf,NCT00262847,0,Arm I (Standard Chemotherapy + Placebo),30.0,control,control,ACTIVE_COMPARATOR,control,The control treatment was chemotherapy with placebo added in cycles 2 through 22,control,pubmed,False,uncertain,3,3,False
PMID 22204724 a_Summary_SoE.pdf,NCT00262847,0,Arm II (Concurrent Bevacizumab + Placebo Maintenance),30.0,intervention,intervention,EXPERIMENTAL,intervention,bevacizumab-initiation treatment was chemotherapy with bevacizumab ... added in cycles 2 through 6,intervention,pubmed,False,uncertain,3,3,False
PMID 22204724 a_Summary_SoE.pdf,NCT00262847,1,Arm III (Extended Bevacizumab),30.0,intervention,intervention,EXPERIMENTAL,intervention,Bevacizumab-throughout treatment was chemotherapy with bevacizumab added in cycles 2 through 22,intervention,pubmed,False,uncertain,3,3,False
PMID 22257673 a_Summary_SoE.pdf,NCT00553358,0,Lapatinib alone,21.0,intervention,intervention,EXPERIMENTAL,intervention,the two anti-HER2 agents given together would be better than single-agent therapy,intervention,pubmed,False,confident,3,3,False
PMID 22257673 a_Summary_SoE.pdf,NCT00553358,1,Trastuzumab alone,22.0,intervention,control,ACTIVE_COMPARATOR,control,pCR rate was significantly higher in the group given lapatinib and trastuzumab ... than in the group given trastuzumab alone,control,pubmed,False,confident,3,3,True
PMID 22257673 a_Summary_SoE.pdf,NCT00553358,2,Lapatinib + Trastuzumab,22.0,intervention,intervention,EXPERIMENTAL,intervention,pCR rate was significantly higher in the group given lapatinib and trastuzumab,intervention,pubmed,False,confident,3,3,False
PMID 22271472 a_Summary_SoE.pdf,NCT00004859,0,Arm A (Standard Treatment: Induction Chemo + Concurrent Chemoradiotherapy),36.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22271472 a_Summary_SoE.pdf,NCT00004859,0,Arm B (Induction Chemo + Concurrent Chemoradiotherapy + Thalidomide),47.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22375970 a_Summary_SoE.pdf,NCT00934544,0,Best-available therapy (BAT),13.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22375970 a_Summary_SoE.pdf,NCT00934544,0,INC424 (Ruxolitinib),14.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22375971 a_Summary_SoE.pdf,NCT00952289,0,Placebo,14.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22375971 a_Summary_SoE.pdf,NCT00952289,0,INCB018424,14.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22454414 a_Summary_SoE.pdf,NCT00110214,0,Arm A (Docetaxel + Prednisone + Placebo),18.0,control,intervention,EXPERIMENTAL,control,docetaxel ... plus prednisone ... (DP) with either bevacizumab ... or placebo,control,pubmed,False,confident_2arm,2,2,False
PMID 22454414 a_Summary_SoE.pdf,NCT00110214,0,Arm B (Docetaxel + Prednisone + Bevacizumab),18.0,intervention,intervention,EXPERIMENTAL,intervention,evaluate the addition of bevacizumab to standard docetaxel and prednisone therapy,intervention,pubmed,False,confident_2arm,2,2,False
PMID 22508813 a_Summary_SoE.pdf,NCT00602420,0,Matching Placebo,2.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22508813 a_Summary_SoE.pdf,NCT00602420,0,Naproxen 500mg twice daily,2.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22529265 a_Summary_SoE.pdf,NCT00434642,0,Arm B (Placebo + Carboplatin + Gemcitabine),24.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22529265 a_Summary_SoE.pdf,NCT00434642,0,Arm A (Bevacizumab + Carboplatin + Gemcitabine),24.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22551107 a_Summary_SoE.pdf,NCT00094497,0,"Arm B (Sz/M: Streptozotocin, Mitotane)",32.0,control,control,ACTIVE_COMPARATOR,control,Patients in the EDP-mitotane group had a significantly higher response rate than those in the streptozocin-mitotane group.,control,pubmed,False,confident_2arm,2,2,False
PMID 22551107 a_Summary_SoE.pdf,NCT00094497,0,"Arm A (EDP/M: Etoposide, Doxorubicin, Cisplatin, Mitotane)",78.0,intervention,control,ACTIVE_COMPARATOR,intervention,Rates of response and progression-free survival were significantly better with EDP plus mitotane than with streptozocin plus mitotane as first-line therapy.,intervention,pubmed,False,confident_2arm,2,2,False
PMID 22564989 a_Summary_SoE.pdf,NCT00457392,0,Placebo + Erlotinib,19.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22564989 a_Summary_SoE.pdf,NCT00457392,0,Sunitinib + Erlotinib,19.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22571200 a_Summary_SoE.pdf,NCT00405756,0,Arm C (MP plus placebo induction followed by placebo maintenance),25.0,control,intervention,OTHER,control,melphalan-prednisone (MP) followed by placebo in patients 65 years of age or older,control,pubmed,False,uncertain,3,3,False
PMID 22571200 a_Summary_SoE.pdf,NCT00405756,0,Arm A (MPR induction followed by lenalidomide maintenance),25.0,intervention,intervention,EXPERIMENTAL,intervention,median progression-free survival was significantly longer with MPR-R (31 months) than with MPR ... or MP,intervention,pubmed,False,uncertain,3,3,False
PMID 22571200 a_Summary_SoE.pdf,NCT00405756,1,Arm B (MPR induction followed by placebo maintenance),25.0,intervention,intervention,EXPERIMENTAL,intervention,Response rates were superior with MPR-R and MPR ... vs. 50% with MP,intervention,pubmed,False,uncertain,3,3,False
PMID 22571201 a_Summary_SoE.pdf,NCT00114101,0,Arm B (Placebo),19.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22571201 a_Summary_SoE.pdf,NCT00114101,0,Arm A (CC-5013 / Lenalidomide),19.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22585697 a_Summary_SoE.pdf,NCT00317642,0,Arm A (Placebo + Intermediate Dose cytarabine [IDAC]),31.0,control,intervention,EXPERIMENTAL,control,Patients were randomly assigned to receive either clofarabine (Clo) 40 mg/m(2) or a placebo followed by Ara-C,control,pubmed,False,confident_2arm,2,2,False
PMID 22585697 a_Summary_SoE.pdf,NCT00317642,0,Arm B (Clofarabine + Intermediate Dose cytarabine [IDAC]),31.0,intervention,intervention,EXPERIMENTAL,intervention,Clo+Ara-C significantly improved response rates and EFS,intervention,pubmed,False,confident_2arm,2,2,False
PMID 22663011 a_Summary_SoE.pdf,NCT01245062,0,Arm B (Chemotherapy - Dacarbazine or Paclitaxel),19.0,control,control,ACTIVE_COMPARATOR,control,randomly assigned 322 patients ... to receive either trametinib ... or chemotherapy in a 2:1 ratio,control,pubmed,False,uncertain,3,3,False
PMID 22663011 a_Summary_SoE.pdf,NCT01245062,0,Arm A (GSK1120212 / Trametinib),19.0,intervention,intervention,EXPERIMENTAL,intervention,"Trametinib, as compared with chemotherapy, improved rates of progression-free and overall survival",intervention,pubmed,False,uncertain,3,3,False
PMID 22663011 a_Summary_SoE.pdf,NCT01245062,1,Arm C (Extension Arm - Crossover to GSK1120212),20.0,intervention,intervention,EXPERIMENTAL,intervention,Patients in the chemotherapy group who had disease progression were permitted to cross over to receive trametinib,intervention,pubmed,False,uncertain,3,3,False
PMID 22689805 a_Summary_SoE.pdf,NCT00260832,0,Arm A (Supportive Care or Low-dose Cytarabine),144.0,control,intervention,EXPERIMENTAL,control,compared the efficacy and safety of decitabine with treatment choice (TC),control,pubmed,False,confident_2arm,2,2,False
PMID 22689805 a_Summary_SoE.pdf,NCT00260832,0,Arm B (Decitabine),79.0,intervention,control,ACTIVE_COMPARATOR,intervention,decitabine improved response rates compared with standard therapies,intervention,pubmed,False,confident_2arm,2,2,False
PMID 22735384 a_Summary_SoE.pdf,NCT01227889,0,Arm B (DTIC),20.0,control,control,ACTIVE_COMPARATOR,control,randomly assigned (3:1) to receive dabrafenib ... or dacarbazine,control,pubmed,False,count_mismatch,2,3,False
PMID 22735384 a_Summary_SoE.pdf,NCT01227889,0,Arm A (GSK2118436),20.0,intervention,intervention,EXPERIMENTAL,intervention,Dabrafenib significantly improved progression-free survival compared with dacarbazine,intervention,pubmed,False,count_mismatch,2,3,False
PMID 22808955 a_Summary_SoE.pdf,NCT00007644,0,Expectant Management (Watchful Waiting),6.0,control,control,NO_INTERVENTION,control,"radical prostatectomy did not significantly reduce all-cause or prostate-cancer mortality, as compared with observation",control,pubmed,False,confident_2arm,2,2,False
PMID 22808955 a_Summary_SoE.pdf,NCT00007644,0,Radical Prostatectomy,6.0,intervention,control,OTHER,intervention,The effectiveness of surgery versus observation for men with localized prostate cancer ... is not known,intervention,pubmed,False,confident_2arm,2,2,False
PMID 22851564 a_Summary_SoE.pdf,NCT00449033,0,Placebo + Gemcitabine + Cisplatin,30.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22851564 a_Summary_SoE.pdf,NCT00449033,0,Sorafenib + Gemcitabine + Cisplatin,30.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22853014 a_Summary_SoE.pdf,NCT00075764,0,Arm 1 (Anastrozole alone),14.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22853014 a_Summary_SoE.pdf,NCT00075764,0,Arm 2 (Anastrozole and Fulvestrant),15.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22894553 a_Summary_SoE.pdf,NCT00974311,0,Arm B (Placebo),10.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22894553 a_Summary_SoE.pdf,NCT00974311,0,Arm A (MDV3100),10.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,0,Arm 3 (Aprepitant + Palonosetron + Dexamethasone),1.0,control,control,ACTIVE_COMPARATOR,unresolved,,control,pipeline_fallback(pubmed_unresolved),True,count_mismatch,5,4,False
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,1,"Arm 2: Granisetron + Dexamethasone (Day 1), Compazine + Placebo (Days 2 & 3)",1.0,control,intervention,EXPERIMENTAL,unresolved,,control,pipeline_fallback(pubmed_unresolved),True,count_mismatch,5,4,False
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,0,Arm 1 (Palonosetron + Dexamethasone + Compazine),1.0,intervention,control,ACTIVE_COMPARATOR,unresolved,,intervention,pipeline_fallback(pubmed_unresolved),True,count_mismatch,5,4,False
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,1,Arm 2 (Granisetron + Dexamethasone + Compazine),1.0,intervention,intervention,,unresolved,,intervention,pipeline_fallback(pubmed_unresolved),True,count_mismatch_leftover,5,4,False
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,2,Arm 4 (Palonosetron + Dexamethasone + Compazine + Dexamethasone),1.5,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,pipeline_fallback(pubmed_unresolved),True,count_mismatch,5,4,False
PMID 22949154 a_Summary_SoE.pdf,NCT00574873,0,Arm 2 (Imatinib 400mg daily),9.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22949154 a_Summary_SoE.pdf,NCT00574873,0,Arm 1 (Bosutinib 500mg daily),9.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22965961 a_Summary_SoE.pdf,NCT00384176,0,Bevacizumab + FOLFOX (Arm C),28.0,control,control,ACTIVE_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22965961 a_Summary_SoE.pdf,NCT00384176,0,Cediranib + FOLFOX (Arm A/B),28.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22965962 a_Summary_SoE.pdf,NCT00532155,0,Arm B (Placebo + Docetaxel),36.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PMID 22965962 a_Summary_SoE.pdf,NCT00532155,0,Arm A (Aflibercept + Docetaxel),36.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
